Era,Name,Notes,Designer,Art Type,Image,Project Type,Use,Link(s),Info / Notes(radioLove invite here)
The OF Tape Vol. 1,The Odd Future Tape [Alternate Cover],,,,,,,/wolfgold/art/the-odd-future-tape-alternate-cover.png,"Alternate cover for ""The Odd Future Tape."""
The OF Tape Vol. 1,The Odd Future Tape [Original Alt Cover],,,,,,,/wolfgold/art/the-odd-future-tape-original-alt-cover.png,"Uncropped version of the alternate cover, also has no text."
The OF Tape Vol. 1,The Odd Future Tape [Back Cover],,,,,,,/wolfgold/art/the-odd-future-tape-back-cover.jpg,"Back cover for ""The Odd Future Tape."""
The OF Tape Vol. 1,Bitches Brewin' [Single Cover],,,,,,,/wolfgold/art/bitches-brewin-single-cover.jpg,"Single cover for ""Bitches Brewin'""."
The OF Tape Vol. 1,Bitches Brewin' [Single Cover] (Original Cover),,,,N/A,,,,Original image used for the Bitches Brewin' single cover. (NSFW)The photo is of Marilyn Monroe & was shot in 1950
(as Poly/Mono),PinkGoldSquarePixals,,,,,,,,
PinkGoldSquarePixals,PinkGoldSquarePixals [Cover],,,,,,,/wolfgold/art/pinkgoldsquarepixals-cover.png,"Cover for ""PinkGoldSquarePixals"". Apparently real."
(as Poly/Mono),SuperDuperSteezMonster,,,,,,,,
SuperDuperSteezMonster,SuperDuperSteezMonster [Cover],,,,,,,/wolfgold/art/superdupersteezmonster-cover.png,"Cover for ""SuperDuperSteezMonster"". Apparently real."
SuperDuperSteezMonster,SuperDuperSteezMonster [Cover] [Original Image],,,,,,,/wolfgold/art/superdupersteezmonster-cover-original-image.jpg,Original image used for the background of the SuperDuperSteezMonster cover.
SuperDuperSteezMonster,SuperDuperSteezMonster [Cover] [Original Image],,,,,,,/wolfgold/art/superdupersteezmonster-cover-original-image.jpg,Original image used for the front layer of the SuperDuperSteezMonster cover.
(as Ace Creator),IIl Cab TV Thief(III TV Cab Thief),,,,,,,,
III Cab TV Thief,III Cab TV Thief [Cover],,,,,,,/wolfgold/art/iii-cab-tv-thief-cover.png,"Cover for ""III Cab TV Thief."""
III Cab TV Thief,Ill Cab TV Thief [Cover] (Original Image),,,,,,,/wolfgold/art/ill-cab-tv-thief-cover-original-image.jpg,Uncropped and unedited version of the III Cab TV Thief cover.
