Era,Name,Notes,Designer,Art Type,Image,Project Type,Use,Link(s)
Man On The Moon II,,,,,,Front Cover,Used,
Man On The Moon II,,,,,,Back Cover,Used,
Man On The Moon II,Converse - All Summer,"Single artwork for the Converse track ""All Summer.""",,,,Single,Used,/cudigold/art/converse-all-summer.jpg
Man On The Moon II,Chip Tha Ripper - Independence Day [Front Cover],,,,,Front Cover,Used,/cudigold/art/chip-tha-ripper-independence-day-front-cover.jpg
Man On The Moon II,Chip Tha Ripper - Independence Day [Back Cover],,,,,Back Cover,Used,/cudigold/art/chip-tha-ripper-independence-day-back-cover.jpg
Man On The Moon II,,,,,,Front Cover,Used,
Man On The Moon II,,,,,,Back Cover,Used,
Man On The Moon II,,,,,,Single,Used,
Man On The Moon II,,,,,,Single,Used,
Man On The Moon II,,,,,,Single,Used,
Man On The Moon II,,,,,,Front Cover,Used,
Man On The Moon II,,,,,,Front Cover,Used,
Man On The Moon II,,,,,,Front Cover,Used,
Man On The Moon II,,,,,,Front Cover,Used,
A Man Named Scott,No One Believes Me,,,,,Front Cover,Used,https://mega.nz/file/CNg2CSZS#N4TksBUEZFPfdckSTnsVlycZ9luaXQYJDygbreTSuTs
A Man Named Scott,Bryan Greenberg - You Can Run(feat. Kid Cudi),,,,,Front Cover,Used,https://mega.nz/file/iMBG0Q4A#p5lAli59TuUYwGVyerI3UGQz24bMOgoLCLmBDPuKBnQ
A Man Named Scott,Dia Frampton - Don't Kick The Chair(feat. Kid Cudi),,,,,Front Cover,Used,https://mega.nz/file/OA4yWTYJ#lQLEnOXi2-JImgm_s6xuppULcsUCUfSagcq_n94ZFRc
A Man Named Scott,,,,,,Back Cover,Used,
A Man Named Scott,Travis Barker - Cool Head(feat. Kid Cudi),,,,,Front Cover,Used,https://mega.nz/file/yVIGzBJJ#vB2cnDwW9QawqdbtgSGlnVeWI_EA0eY89V144ourMtE
A Man Named Scott,,,,,,Back Cover,Used,
WZRD,Dose of Dopeness (2012 Soundcloud Release),Single artwork cover for Dose of Dopeness.,,,,Single,Used,/cudigold/art/dose-of-dopeness-2012-soundcloud-release.jpg
WZRD,,,,,,Single,Used,
WZRD,Brake,,,,,Front Cover,Used,https://mega.nz/file/eNQh1ABS#c3B17ENJWHuWSmGhUSByjZ-n3PemDobjk1bhEWoMoN4
WZRD,"Teleport 2 Me, Jamie",,,,,Front Cover,Used,https://mega.nz/file/7MRRWAjL#4dcdVDQTdJo29KpQuURRXdeEZkwVGVa0oQ6aCJPwHZg
WZRD,,WZRD Original artwork cover 1.,,,,Front Cover,Unused,
WZRD,,WZRD Original artwork cover 2.,,,,Front Cover,Unused,
WZRD,WZRD - [Front Cover],,,,,Front Cover,Used,https://mega.nz/file/vUwTnSyD#70yoldcXPAazLmAAfjQdHTwvz8IuFLWwZKCn3Sf1gDI
WZRD,WZRD - [Back Cover],,,,,Back Cover,Used,https://mega.nz/file/edxgESgB#-8K8Z1PhBQU4Jd1uVZTOu8WsKyZL36wOIy4klkODoh0
WZRD,,,,,,Other,Used,
WZRD,WZRD [Booklet PDF],,,,,Other,Used,https://mega.nz/folder/DJgBiCJB#GujQGDunejr92y5pv_ooJw
WZRD,,,,,,Front Cover,Used,
WZRD,,,,,,Back Cover,Used,
WZRD,,Vinyl Back cover.,,,,Back Cover,Used,
WZRD,,,,,,Front Cover,Used,
WZRD,,,,,,,,
WZRD,Consequence - Curb Certified [Front Cover],,,,,Front Cover,Used,/cudigold/art/consequence-curb-certified-front-cover.jpg
WZRD,Consequence - Curb Certified [Back Cover],,,,,Back Cover,Used,/cudigold/art/consequence-curb-certified-back-cover.jpg
WZRD,Chip Tha Ripper - Tell Ya Friends [Front Cover],,,,,Front Cover,Used,/cudigold/art/chip-tha-ripper-tell-ya-friends-front-cover.png
