Era,Name,Notes,Image / Length,Date,Type,Currently Available,In Circulation?,Link(s)
SFTSAFTM,"Be Clearr [V2]
(feat. Gucci Mane) (prod. RellyMade)","Before the release of the deluxe, 50 Cent mentioned he was waiting on a Gucci Mane guest verse: ""The deluxe is coming stop rushing,... Gwuapo🤷🏽‍♂️where TF is the verse.😠I will leave your ass off the project let’s work get it done."" Unknown if he ever recorded the verse. It was later revealed by a third party that he was intended for ""Be Clearr"" on April 27, 2024.",,"Jul 17, 2020",Other,"Never
Recorded",N/A,https://www.complex.com/music/2020/07/pop-smoke-shoot-for-the-stars-aim-for-the-moon-deluxe-teaser
SFTSAFTM,"For The Night
(feat. Lil Baby & NBA YoungBoy) (prod. CashMoneyAP, Palaze, Daniel Mxras, Jess Jackson, & Mike Dean)","In the SFTSAFTM Complex article, Steven Victor mentioned that ""the idea was to put Lil Baby and NBA YoungBoy on [For The Night], because [Pop Smoke] had been communicating with YoungBoy through CashMoneyAP"". CashMoneyAP mentioned that he ""was originally thinking about putting NBA YoungBoy on it, because it’s his type of music. He was down to do it, but the timing wasn’t right.""",,,Other,"Never
Recorded",N/A,https://www.complex.com/music/pop-smoke-2020-cover-story
SFTSAFTM,"Snitching
(feat. Quavo & JAY-Z) (prod. Buddah Bless & SethTheChef)","In the SFTSAFTM Complex article, Steven Victor said ""I was on FaceTime with [A&R] AE and Tyga, and they were like, “Hov or Future would sound really good in this song.” I thought that was a good idea, so I texted Hov and I was like, “Yo, this shit is fire. You should put a verse on there.” But he didn’t text me back. [Laughs.] So I’m like, maybe he didn’t like the song, because he always texts me back. No answer is a nice way of saying no. But then AE was like, “Yo, Future would sound great on this. You should put the Wizard on there.”",,,Other,"Never
Recorded",N/A,https://www.complex.com/music/pop-smoke-2020-cover-story
SFTSAFTM,"???
(feat. Bobby Shmurda)","Steven Victor mentioned that Pop ""definitely"" wanted Bobby Shmurda and Rowdy Rebel on his album. They managed to get Rowdy Rebel on ""Make It Rain"" by recording jail, however complications with Bobby being in jail left Pop's team unable to get him on a track in time for the album.",,,Other,"Never
Recorded",N/A,https://www.complex.com/music/pop-smoke-2020-cover-story
SFTSAFTM,"Quelly Woo - Bacc Out (Remix)
(feat. Pop Smoke) (prod. Chris Rich)","Quelly Woo mentioned in an interview with On The Radar Radio that Pop had reached out to Quelly the day before he passed, saying he wanted to hop on a remix to the song ""Bacc Out"", which was never able to happen.",,"Jul 7, 2021",Other,"Never
Recorded",N/A,https://youtu.be/gBQ4p2SQ0h8
SFTSAFTM,"Trump Turner - Body Different (Remix)
(feat. Remo the Hitmaker & Pop Smoke)","Pop Smoke was supposed to record a remix to Trump Turner's ""Body Different"" on February 18, 2020. However, he was too high and was then going to record the next day, however that same day he was fatally shot and the remix was sadly never recorded.",,"Feb 19, 2020",Remix,"Never
Recorded",N/A,Source needed
,Boogie: Original Motion Picture Soundtrack,,,,,,,
,Other,,,,,,,
Boogie,,,,,,,,
,Faith,,,,,,,
,Music Videos,, ,,,,,
Faith,"Mr. Jones [Alternate Music Video]
(feat. Future) (prod. JW Lucas, CashMoneyAP, Foreign Teck & LosTheProducer)","Listed for sale on December 20, 2022 and was privatesold.",,,Music Video,CDQ Snippet,Full CDQ,Link needed
,Ongoing,,,,,,,
,Videos,,,,,,,
Ongoing,FUNK FLEX ENERGY TAPE 9/29/22 (FF008),"Funk Flex played a censored version of Pop Smoke's unreleased song ""Baby Cry"" on the Hot 97 radio, which is about 25:30 into the recorded YouTube video.",,"Sep 29, 2022",Radio,Full CDQ,Full CDQ,https://youtu.be/O-PDSLwBYQs?t=1530
Ongoing,Hip Hop Homicides S1 E1 - Pop Smoke,"TV series lead by 50 Cent ""Hip Hop Homicides"" in which they investigate the deaths of rappers. Season 1, episode 1 analyzes Pop Smoke's death, the buildup and the aftermath. Description:
""Rising star Pop Smoke is gunned down in the Hollywood Hills in what was first labeled a “robbery gone wrong”... but the scene lacked the usual signs of forced entry and ransacking associated with those crimes. Was this a targeted hit?""",,"Nov 3, 2022",Film,Full CDQ,Full CDQ,https://www.wetv.com/shows/hip-hop-homicides/episodes/season-1-pop-smoke--1059412
