Era,Name,"Notes
(Join the Discord if you have any suggestions)",Designer,Art Type,Image,Project Type,Use,Link(s)
SFTSAFTM,Shoot For The Stars Aim For The Moon [Animated Cover 1],"Animated album art for Shoot For The Stars Aim For The Moon, used on Apple Music.",Ryder Ripps,Digital,,Front Cover,Alternate,/smokegold/art/shoot-for-the-stars-aim-for-the-moon-animated-cover-1.jpg
SFTSAFTM,Shoot For The Stars Aim For The Moon [Animated Cover 2],"Animated album art for Shoot For The Stars Aim For The Moon, used on Apple Music.",Ryder Ripps,Digital,,Front Cover,Alternate,/smokegold/art/shoot-for-the-stars-aim-for-the-moon-animated-cover-2.jpg
SFTSAFTM (Deluxe),Shoot For The Stars Aim For The Moon (Deluxe),Album art for Shoot For The Stars Aim For The Moon (Deluxe).,Ryder Ripps,Digital,,Front Cover,Used,/smokegold/art/shoot-for-the-stars-aim-for-the-moon-deluxe.jpg
Boogie,"Mood Swings [Remix]
(feat. Lil Tjay & Summer Walker)","Single art for ""Mood Swings (Remix)"", featuring Lil Tjay and Summer Walker.",Ryder Ripps,Digital,,Front Cover,Used,/smokegold/art/mood-swings-remix-feat-lil-tjay-summer-walker.jpg
Boogie,Mood Swings - EP,"Cover art used for EP Mood Swings, using the same art as the deluxe of Shoot For The Stars Aim For The Moon.",Ryder Ripps,Digital,,Front Cover,Used,/smokegold/art/mood-swings-ep.jpg
Boogie,Enjoy Yourself - EP,"Cover art used for EP Enjoy Yourself, using the same art as the deluxe of Shoot For The Stars Aim For The Moon.",Ryder Ripps,Digital,,Front Cover,Used,/smokegold/art/enjoy-yourself-ep.jpg
Boogie,For The Night - EP,"Cover art used for EP For The Night, using the same art as the deluxe of Shoot For The Stars Aim For The Moon.",Ryder Ripps,Digital,,Front Cover,Used,/smokegold/art/for-the-night-ep.jpg
Boogie,"Iced Out Audemars [Remix]
(feat. Lil Wayne)","Single art for ""Iced Out Audemars (Remix)"", featuring Lil Wayne.",Unknown,Digital,,Front Cover,Used,/smokegold/art/iced-out-audemars-remix-feat-lil-wayne.jpg
Boogie,"French Montana - Double G
(feat. Pop Smoke)","Single art for French Montana's ""Double G"", featuring Pop Smoke.",Unknown,Digital,,Front Cover,Used,/smokegold/art/french-montana-double-g-feat-pop-smoke.jpg
Boogie,"French Montana - Double G [Animated Art]
(feat. Pop Smoke)",Promo art used prior to the release.,Unknown,Digital,,Promo Art,Alternate,/smokegold/art/french-montana-double-g-animated-art-feat-pop-smoke.jpg
Boogie,"Jay Gwuapo - Black Mask
(feat. Pop Smoke)","Single art for Jay Gwuapo's ""Black Mask"", featuring Pop Smoke.",Unknown,Digital,,Front Cover,Used,/smokegold/art/jay-gwuapo-black-mask-feat-pop-smoke.jpg
Boogie,"AP (Music from the film ""Boogie"")","Single art for ""AP"".",Unknown,Digital,,Front Cover,Used,/smokegold/art/ap-music-from-the-film-boogie.jpg
Boogie,Various Artists - Boogie: Original Motion Picture Soundtrack,"Cover art for the soundtrack of the movie Boogie, in which Pop Smoke starred as the antagonist. The tracklist includes several of his songs, including ""AP"", ""Fashion"" featuring Polo G, ""No Cap (Remix)"" with M24, and ""Welcome To The Party"".",Unknown,Digital,,Front Cover,Used,/smokegold/art/various-artists-boogie-original-motion-picture-soundtrack.jpg
Faith,Faith [Placeholder],"Placeholder art used in the buildup before the release of Faith. It was used as the single art for ""Outro"", a track that was released in the buildup, but was eventually removed from streaming platforms.",Unknown,Digital,,Front Cover,Unused,/smokegold/art/faith-placeholder.jpg
Faith,Faith,Cover art for Pop Smoke's second posthumous album Faith.,Flixz,Digital,,Front Cover,Used,/smokegold/art/faith.jpg
Ongoing,"Tyga - Sunshine
(with Jhené Aiko & Pop Smoke)","Single art for Tyga's ""Sunshine"" with Jhené Aiko and Pop Smoke.",Unknown,Digital,,Front Cover,Used,/smokegold/art/tyga-sunshine-with-jhen-aiko-pop-smoke.jpg
Ongoing,"Lefty
(with Jay Gwuapo)","Single art for ""Lefty"" with Jay Gwuapo.",Unknown,Digital,,Front Cover,Unused,/smokegold/art/lefty-with-jay-gwuapo.jpg
Ongoing,"PopOutBoyz - Word Around Town
(feat. Pop Smoke)","Single art for PopOutBoyz's ""Word Around Town"", featuring Pop Smoke.",Valentin Basa,Digital,,Front Cover,Used,/smokegold/art/popoutboyz-word-around-town-feat-pop-smoke.jpg
