Era,Name,Notes,"File
Date",Leak Date,Full Length,BPM,Available Length,Quality,Link(s)
4L with us,"WAR 2
(prod. TREETIME)
(isolat3d)","OG Filename: isolat3d untagged
Original instrumental for ""WAR 2"". Uploaded to producer TREETIME's YouTube titled ""[FREE] PLAYBOI CARTI x WLR TYPE BEAT 2021 ""IS0LAT3D"" (PROD. TREETIME)"" on January 2, 2021.

""BPM 155
Key A# Minor""",,,2:29,155,OG File,CD Quality,"https://pillows.su/f/4dc0a1a79c1f26b6e70d4072cafc8028
https://youtu.be/547YB39jNkY
https://hypeddit.com/track/zr6e8t"
4L with us,"SeptembersRich - Duh
(feat. Yeat) (prod. Luca Malaspina)","OG Filename: 784 lancey foux type beat - ""CHAOS"" 150BPM Eb MINOR @lucamalaspinabeats
Original instrumental for ""Duh"" by SeptembersRich, featuring Yeat. Posted to the producer's SoundCloud and YouTube channel on November 22, 2020, titled ""LANCEY FOUX TYPE BEAT - ""CHAOS.""""",,,2:25,150,OG File,CD Quality,"https://pillows.su/f/5263d6bd426ea73388c78f615c9f4286
https://soundcloud.com/lucamalaspina/lancey-foux-type-beat-chaos"
,"4L
(4L with us [V2])",,,,,,,,
,Studio Stems,,,,,,,,
4L,"addict in general [Loop]
(prod. Synthetic)","Loop for ""addict in general."" Leaked on January 25, 2026.",,,2:54,,OG File,CD Quality,https://pillows.su/f/2ba576abee1b4c0518e6b9b6b6d43e60
,Instrumentals,,,,,,,,
4L,"All I See [Demo]
(prod. Nest)","OG Filename: 0064 opium 138BPM Fmin @nestxv
Original melody for track 13 on 4L, ""All I See."" Leaked on April 26, 2024.",,,,138,Partial,Lossless,https://pillows.su/f/0933503bb95ad9467d328e1843bb8bbd
4L,"BigBODY
(prod. YEAT)","OG Filename: BigBODY bpm 157 yeat
Filename teased by Yeat in an Instagram Live on June 7, 2021. Unknown whether or not the instrumental was used and/or previewed.",,,,157,Confirmed,Not Available,Source Needed
4L,"Big Stonëz [Original Instrumental]
(prod. sharkboy)
(Big Stonez)","Original instrumental for track 9 on 4L, ""Big Stonëz,"" only produced by sharkboy. Uploaded to YouTube under the title '[FREE] Ken Carson + Hyperpop + Playboi Carti Type Beat ""PresSur3"" [sharkboy],' however, now removed.",,,2:16,,Full,High Quality,https://pillows.su/f/aaaac7af30101de4bb2ff1b546e18515
4L,"big torch
(prod. YEAT & ???)","OG Filename (Partial): big torch 150 prod ye…rish
Filename teased by Yeat in an Instagram Live on June 7, 2021. Unknown whether or not the instrumental was used and/or previewed.",,,,150,Confirmed,Not Available,Source Needed
4L,"Different bootup [Original Instrumental]
(prod. Lukovic)
(Different boot up, X With The Bootup, X With The Boot Up)","Original instrumental for ""Different bootup."" Uploaded to Lukovic's YouTube on November 9, 2021, titled ""
Yeat - X With The Boot Up [Official Instrumental] [Prod. Lukovic] *OG INSTRUMENTAL*.""",,,2:50,,Full,High Quality,"https://pillows.su/f/acbc2509ed94b93c02ba80dcaab894ea
https://pillows.su/f/8bb1af6046f3df92911a33d5ef91d188
https://youtu.be/uyQn3v6IMfw"
4L,"Catch a vybe
(prod. YEAT)","OG Filename: Catch a vybe 147 prod yeat
Filename teased by Yeat in an Instagram Live on June 7, 2021. Unknown whether or not the instrumental was used and/or previewed.",,,,147,Confirmed,Not Available,Source Needed
4L,"Curtains
(prod. YEAT)","Instrumental for ""Curtains."" Previewed by Yeat in an Instagram Live on May 21, 2021.",,,,,Partial,Recording,https://pillows.su/f/617a752bbb7b9de6427eedf887d8018d
4L,"Dead Man
(prod. Arena, Cashheart & Retroblazed)","OG Filename (Partial): 8324 143bpm arena x cash...
Original instrumental previewed by co-producer Arena in a Tweet reply captioned ""@MeanXVI 🥸🥸"" on March 27, 2021.",,,,143,Snippet,High Quality,https://pillows.su/f/b5f7c3fc0250dcae80199892f2e773b5
4L,"Did wrong
(prod. YEAT)","Instrumental for ""Did wrong."" Previewed by Yeat in an Instagram Live on May 21, 2021. Later re-used by Yeat for the re-recorded version of the track, ""Bad bënd / DëMON."" ",,,,,Partial,Recording,https://pillows.su/f/b05fbf4e14bd9ee51d776b28f3fe8c3b
4L,"Dirty x
(prod. Bhristo & YEAT)
(Why they)","Instrumental for ""Dirty x."" Previewed by Yeat in an Instagram Live on May 8, 2021.",,,,,Snippet,Recording,https://pillows.su/f/c169c02677f05508fd453bc92e18096e
4L,"Forëally / 4Ly
(prod. BNYX®)","Instrumental for track 3 on 4L, ""Forëally / 4Ly."" Leaked on August 8, 2022.",,,3:15,,Full,CD Quality,https://pillows.su/f/f2f72d2e11f98f48cbdeb58dfe6777b8
4L,"Livë Hi
(prod. Luca Malaspina)
(Live Hi, Rëal life)","OG Filename: 877 - 157BPM @lucamalaspina
Original instrumental for track 19 on 4L,""Livë Hi."" Posted to the producer's SoundCloud and YouTube channel on April 22, 2021, titled ""LANCEY FOUX TYPE BEAT - ""DONT PANIC"".""",,,1:53,157,OG File,CD Quality,"https://pillows.su/f/720e5e21fe0a15279e94028b59206eee
https://youtu.be/kR9exQ1s2Gw?si=5BmNp90Vm5bOxs1R
https://soundcloud.com/lucamalaspina/lancey-foux-type-beat-dont-panic
https://air.bi/1GVXq"
4L,"luh wavey
(prod. YEAT)","OG Filename: luh wavey 144 yeat
Filename teased by Yeat in an Instagram Live on June 7, 2021. Unknown whether or not the instrumental was used and/or previewed.",,,,144,Confirmed,Not Available,Source Needed
4L,"mini me
(prod. YEAT)","OG Filename: mini me prod yeat bpm 152
Filename teased by Yeat in an Instagram Live on June 7, 2021. Unknown whether or not the instrumental was used and/or previewed.",,,,152,Confirmed,Not Available,Source Needed
4L,"mini perc [V1]
(prod. YEAT)"," 	Original version of an instrumental titled ""mini perc,"" which is inferred to exist due to the existence of a version 2.",,,,137,Confirmed,Not Available,Source Needed
4L,"mini perc [V2]
(prod. YEAT)","OG Filename: mini perc v2 137 bpm yeat
Second version of an instrumental titled ""mini perc."" Filename teased by Yeat in an Instagram Live on June 7, 2021.",,,,137,Confirmed,Not Available,Source Needed
4L,"mini perc [V3]
(prod. YEAT)","OG Filename: mini perc v3 137 bpm yeat
Third version of an instrumental titled ""mini perc."" Filename teased by Yeat in an Instagram Live on June 7, 2021. Unknown whether or not the instrumental was used and/or previewed.",,,,137,Confirmed,Not Available,Source Needed
4L,"New Chain
(prod. JuJu & Dynox)
(spaceship)","OG Filename: spaceship (juju x dynox)
Instrumental for ""New Chain."" Leaked on January 28, 2026.",,,2:08,,Full,CD Quality,https://pillows.su/f/a52fb6820a6e01997e9f941b01e5479f
