Era,Name,Notes,"File
Date",Leak Date,Full Length,BPM,Available Length,Quality,Link(s)
Lyfëstyle [V1],"??? [Demo]
(prod. 730hahah & omgzanoza)
(SKLUB, Tell u again)","Early instrumental for ""SKLUB."" Previewed on September 10, 2023.",,,,,Snippet,High Quality,https://pillows.su/f/0914fea132b81335e061c4587ea9dbd7
Lyfëstyle [V1],"BNYX® & Yeat - BACKROADS
(prod. BNYX®)
(BOOTUP (SPACE COWBOY))","OG Filename: BOOTUP (SPACE COWBOY) 120 BNYX®
Instrumental for ""backroads."" Created by BNYX® on December 2, 2022 and previewed in a Twitch stream on December 3, 2022.","Dec 2, 2022",,,120,Snippet,High Quality,Link Needed
,2093,,,,,,,,
,Studio Stems,,,,,,,,
2093,"As We Speak [Demo]
(prod. Caleb Bryant)
(Tenochtitlan)","OG Filename: Tenochtitlan
FLP of an early rendition of the ""As We Speak"" instrumental on Phase 2 of 2093. Filename teased by one of the coproducers of the song, @calebbryant_, in an Instagram Story captioned ""I remember the night I made this,new it could be something crazy"" on February 17, 2024. Made in December 2023, as the file dating says ""modified 2 months ago.""",,,,99,Confirmed,Not Available,Source Needed
2093,"take it for granted [Melody]
(prod. Synthetic, Radiate & Hitgirl)
(iluv2093)","OG Filename: NEURALINK 162 BPM - SYNTHETIC RADIATE HITGIRL
Melody for ""take it for granted."" Available through Synthetic's ""SYNTHETIC KEROSENE DRUM KIT"" on April 12, 2024. File is a 2024 copy, despite being originally made in 2023.",,,3:10,162,OG File,CD Quality,https://pillows.su/f/5f501781e729a2dc8726f7c33bfb11ab
2093,"Tell më [Melody]
(prod. Synthetic, Perdu, Yeat, Farsight, Radiate & LRBG)
(Tell me, live forever, more to lyfe)","OG Filename: u tell the doctor (BPM 125) - Farsight
Melody for track 10 on 2093, ""Tell më."" Filename teased by @downtime.tv.show in a TikTok on March 30, 2026.",,,,125,Confirmed,Not Available,Source Needed
,Instrumentals,,,,,,,,
2093,"As We Speak [Demo]
(prod. Caleb Bryant)
(Tenochtitlan)","OG Filename: [Caleb Bryant] 99bpm - Tenochtitlan
Early rendition of the ""As We Speak"" instrumental on Phase 2 of 2093. Filename teased by one of the coproducers of the song, @calebbryant_, in an Instagram Story captioned ""I remember the night I made this,new it could be something crazy"" on February 17, 2024. Made in December 2023, as the file dating says ""modified 2 months ago.""",,,,99,Confirmed,Not Available,Source Needed
2093,"ILUV
(prod. Synthetic & Rio Leyva)","OG Filename: ILUV 128 BPM - SYNTHETIC RIO LEYVA
Original instrumental for track 9 on 2093, ""ILUV."" Dated November 5, 2023. Previewed by Rio Leyva on in a 12-hour Twitch stream on January 1, 2024.","Nov 5, 2023",,2:46,128,Snippet,High Quality,https://pillows.su/f/5a79cc8ed74819b256d1bc1465bd01e8
2093,"out of my hands
(prod. GeoGotBands, swnkthekid & starboyrob)","Instrumental for ""out of my hands."" Created on December 27, 2023.","Dec 27, 2023",,,,Confirmed,Not Available,N/A
2093,"the last supper
(prod. BenjiCold)","Instrumental for ""the last supper."" Previewed by BenjiCold in an Instagram Live on February 2, 2024 and again in an Instagram post on June 5, 2025.",,,,,Snippet,High Quality,"https://pillows.su/f/9c05665ee3abf95bea8a8390f017dc62
https://pillows.su/f/4598de28cf3fec7e9de5d4640d87dcac"
2093,"??? [Instrumental 1]
(prod. zamorrahhh)
(Fuck The Cops, New Friends, No Friends, protect your energy, before the storm)","OG Filename: protect_your_energy_160bpm_v4__1
First instrumental used for the song titled ""protect your energy,"" combined with the second. Leaked on March 24, 2024.",,,1:54,160,OG File,High Quality,https://pillows.su/f/c830529d49b9f24804ea19383ca193c4
2093,"??? [Instrumental 2]
(prod. Keyon Christ, Ninetyniiine, Synthetic)
(Fuck The Cops, New Friends, No Friends, protect your energy, before the storm)","OG Filename: before_the_storm_keyon_ninetyniiine_synthetic_150bpm_1_Copy
Second instrumental used for the song titled ""before the storm,"" combined with the first. Leaked on March 24, 2024.",,,1:55,150,OG File,High Quality,https://pillows.su/f/a3da800fdc47d10b580d8ac398dd1cef
2093,"BNYX® & Yeat - GO AGAIN [V1]
(feat. Superheaven) (prod. BNYX®)
(VALORANT, Youngest Daughter)","OG Filename: VALORANT 134 BNYX® 
Original instrumental for ""GO AGAIN,"" titled ""VALORANT,"" first previewed by BNYX® in a TikTok video captioned ""Soundtrack to your life #bnyx"" on July 5, 2023, and again in another TikTok video on December 31, 2023. Samples ""Youngest Daughter"" by Superheaven.",,,,134,Snippet,High Quality,"https://pillows.su/f/8df137003328aa40883dc000bb8ab8d6
https://pillows.su/f/03199edf405b3a5ad5acfd4b747c2192"
,LYFESTYLE [V2],,,,,,,,
,Studio Stems,,,,,,,,
LYFESTYLE [V2],"FLYTROOP [808 Stem]
(prod. xbrvdy)
(SKARY, EMBARASSIN COMPARISON, KRAZY)","OG Filename: XB - FLYTROOP (808)
The 808 used in ""FLYTROOP"" shared by xbrvdy in his Telegram channel on July 17, 2024. ",,,0:04,,OG File,Lossless,https://pillows.su/f/f12df321b6e7af76c618edb0c943782d
LYFESTYLE [V2],"HeliMAn [Loop]
(prod. xbrvdy & Jack Zorana)
(LIKE THIS)","OG Filename: LIKE THIS 150BPM - XB JZ
Original loop for ""HeliMAn."" Leaked on August 28, 2025.",,,2:14,150,OG File,CD Quality,https://pillows.su/f/59370749682e540d9d994fa115ecceee
LYFESTYLE [V2],"King tonka [Sample Stem]
(prod. Synthetic & Spaceman)
(Geeky lyfestyle, Geek and geek 2)","After Yeat previewed the track in an Instagram post on April 10, 2024, co-producer Spaceman shared in an Instagram Story that he sampled the audio from an Instagram post by @cameronazi from March 8, 2024 for the instrumental.","Mar 8, 2024",,0:06,,Full,High Quality,"https://www.instagram.com/reel/C4Qkn0ysviO/?igsh=ZTV3OW82bmcyY3B2
https://pillows.su/f/7c2cfe6eed7d69b327472534ea57dade"
LYFESTYLE [V2],"STFU [Loop]
(prod. Ski Pass)
(GEEK PARTY)","OG Filename: test my og 149 ski loop
Loop by Ski Pass for ""STFU"" with the 2 Low Key sample, made in March 2024. Previewed by Ski Pass in an Instgaram story captioned ""SAMPLED 2 LOW KEY FOR THIS ONE"" on October 18, 2024, shortly after the album's release.",,,,149,Snippet,Recording,"https://pillows.su/f/129d7216e77575584c64e6c5ad7af382
https://pillows.su/f/566e067672edbe00f4cdf509c67cb0ff"
LYFESTYLE [V2],"STYLE LYFE [Loop]
(prod. sharkboy, upmadeit & Primo)
(STYLE LIFE, KING TONKA UNIVERSE, KTU, STYLE MY LYFE, ASTRO)","OG Filename: ASTRO 150 BPM SHARKBOY UP PRIMO
Original loop for ""STYLE LYFE."" that was sent to Synthetic. Leaked on October 4, 2025.",,,2:21,150,Full,CD Quality,https://pillows.su/f/f5f9b54f2be8dfcb7eeb39657cd935f0
,Acapellas,,,,,,,,
LYFESTYLE [V2],"try me
(prod. Synthetic, Perdu, Emildollaz & Prod Pil)
(my twin)","OG Filename: try me yeat bit 167bpm
Acapella previewed by Fred again.. while engineering the vocals in a Twitch stream with PlaqueBoyMax on March 4, 2025.",,,,167,Partial,Recording,https://pillows.su/f/e6d997a834d737c93266a80543ee5f72
LYFESTYLE [V2],"whenever i want
(prod. Synthetic)","OG Filename: yeat whenever i want 140
Acapella previewed by Fred again.. while engineering the vocals in a Twitch stream with PlaqueBoyMax on March 4, 2025.",,,,140,Snippet,Recording,https://pillows.su/f/981572036de906b7686dccc854801ff9
,Instrumentals,,,,,,,,
LYFESTYLE [V2],"5BRAZY [Original Instrumental]
(prod. upmadeit, sharkboy & Ski Pass)
(two pills three pills)","OG Filename: two pills three pills 148 up shark ski
Original instrumental for track 22 on the LYFESTYLE SIGNED CD (DRONE EDITION) copy, ""5BRAZY."" Previewed by co-producer Ski Pass on [untitled] in an Instagram post following the release of ""55BRAZY REMIX"" featuring Quavo on October 24, 2024.","Mar 12, 2024",,,148,Snippet,High Quality,"https://pillows.su/f/93dc374791df4435b53319972fc67829
https://pillows.su/f/0352b63fd7b6f53eb92b16bc5d131425"
LYFESTYLE [V2],"GEEK TIMË
(prod. Synthetic, xbrvdy, Primo & Yateski)
(GEEK TIME, Geek timë, SPACESTATION)","OG Filename: SPACESTATION 158BPM - SYNTHETIC XB PRIMO YATE
Instrumental for track 1 on LYFESTYLE, ""GEEK TIMË."" Leaked on February 8, 2025.",,,3:02,158,Full,CD Quality,https://pillows.su/f/14ba5d0ea21c4753fd2831c4deb9fb28
LYFESTYLE [V2],"GOD TALKIN SHHH [Original Instrumental]
(prod. FLOWRENCY, Yateski & Primo)
(HELIMAN PT. 2, seas of green)","OG Filename: seas of green 150BPM FLOWRENCY YATESKY PRIMO
Original instrumental for ""GOD TALKIN SHHH."" Surfaced on February 8, 2025.",,,1:55,150,OG File,CD Quality,https://pillows.su/f/167e0040aa8793d996759fbaafbb8361
LYFESTYLE [V2],"FLYTROOP [Original Instrumental]
(prod. sharkboy, xbrvdy & omgzanoza)
(flytroop, SKARY, EMBARASSIN COMPARISON, KRAZY)","OG Filename: FLYTROOP 150 BPM SHARKBOY XB OMG
Original instrumental for track 14 on LYFESTYLE, ""FLYTROOP."" Leaked on February 8, 2025.",,,2:08,150,OG File,CD Quality,https://pillows.su/f/a1001d0fb55ae9155c04e0979efa80c0
LYFESTYLE [V2],"GONE 4 A MIN
(prod. Sapjer)
(gone 4 a min, solar)","Instrumental titled ""solar"" listed by Sapjer on June 30, 2024. Labeled as ""(free) Kanye West x Ty Dolla $ign x Sapjer type beat ""solar"" (Prod. Sapjer).""

Key: A Minor.

Timestamps:
00:00 wait for it
00:50 what u been waiting for
01:30 verse
02:40 bridge
03:00 rise up
03:40 outro, thank you","Jun 30, 2024",,4:00,96,Full,High Quality,"https://pillows.su/f/09c1b85b1edaf2f96c2a0c7dae15c7d7
https://pillows.su/f/4af35dd721dcbb4eed5b158483ab7b5c
https://youtu.be/kjdhedmp9-0?si=eXAT3HF8iN59MFvh
https://sapjer.com/beat/solar-18997656?exclusive_access=c29sYXItMTg5OTc2NTZfMTg5OTc2NTY
https://www.beatstars.com/beat/solar-18997656"
LYFESTYLE [V2],"GRAVËYARD [Demo]
(prod. Synthetic, Primo, PourItUpSoda & caiburns)
(GRAVEYARD, LYFESTYLE PARTY)",Extended intro of the instrumental.,,,,,Snippet,High Quality,https://pillows.su/f/075ac1268b91c4e24a9d08fb7eb9ee56
LYFESTYLE [V2],"HeliMAn
(prod. Synthetic, FLOWRENCY, xbrvdy & Jack Zorana)
(LIKE THIS)","OG Filename: LIKE THIS 150 BPM SYNTHETIC FLOWRENCY XB JZ
Original instrumental for Yeat's SoundCloud throwaway ""HeliMAn."" Leaked on October 4, 2025.",,,3:12,150,Full,CD Quality,https://pillows.su/f/cad83c460b2cfd9b0d7190c3c5b06fa6
LYFESTYLE [V2],"Lost [Original Instrumental]
(prod. venny, Rafe & 33empathy)","OG Filename: venny + rafe + empathy lost 147bpm
Original instrumental for ""Lost,"" prior to Synthetic contributions. Leaked on August 28, 2025.",,,2:27,147,OG File,CD Quality,https://pillows.su/f/b86a940ddbf85fb5e1b99fad0be6fe6b
LYFESTYLE [V2],"LYFE PARTY [Original Instrumental]
(prod. venny, Rafe & 33empathy)
(Lyfe party)","OG Filename: venny + rafe + empathy exodus 150bpm
Original instrumental for track 21 on LYFESTYLE, ""LYFE PARTY,"" prior to Synthetic contributions. Leaked on August 28, 2025.",,,2:20,150,OG File,CD Quality,https://pillows.su/f/2aa5d6b1a5f26ab8197d8cf6735698a3
LYFESTYLE [V2],"LYING 5 FUN [Original Instrumental]
(prod. Synthetic & Rafe)","OG Filename: LYING4FUN YEAT THOUGHTIWASDONE 139 SYNTHETIC RAFE
Original instrumental for ""LYING 5 FUN"" that wasn't used by Yeat. Previewed by co-producer Rafe on TikTok on November 19, 2024. Leaked on October 4, 2025.",,,3:02,139,Full,CD Quality,https://pillows.su/f/1624bbe1715c9ca05928ea4d44cb6d43
LYFESTYLE [V2],"ON 1 [Original Instrumental]
(prod. sharkboy, xbrvdy & Primo)
(ON ONE, I DID THIS)","OG Filename: I DID THIS 146 BPM SHARKBOY XB PRIMO
Original instrumental for track 13 on LYFESTYLE, ""ON 1."" Leaked on February 8, 2025.",,,2:25,146,OG File,CD Quality,https://pillows.su/f/bbe5f078658626371fc06b8d03bb703c
LYFESTYLE [V2],"PROJECT LYFESTYLE
(prod. Synthetic, sharkboy, Aunix, xbrvdy & Rxiz Palmer)
(BURN THA CITY DOWN, MOB TIES)","Instrumental previewed by sharkboy and xbrvdy in a ""PROTOTYPE"" pack on July 19, 2024.",,,,,Snippet,High Quality,https://pillows.su/f/84e83a47c47869e25f54b4ee05e80fbc
LYFESTYLE [V2],"SO WHAT [Original Instrumental]
(prod. venny, Rafe & 33empathy)
(so what?, geekrealm)","OG Filename: venny + rafe + empathy geekrealm 143bpm
Original instrumental for track 18 on LYFESTYLE, ""SO WHAT,"" prior to Synthetic contributions. Leaked on August 28, 2025.",,,2:28,143,OG File,CD Quality,https://pillows.su/f/bb8da26c31610de8347e589e2eea1072
LYFESTYLE [V2],"stepp back
(prod. Synthetic, xbrvdy, Rafe & 33empathy)
(Know no better, KNOW BETTER, AM I WRONG, BOURBAN TALK)","OG Filename: YEAT BOURBAN TALK 146BPM SYNTHETIC XB RAFE EMPATHY
Instrumental for ""stepp back."" Leaked on August 28, 2025.",,,2:24,146,OG File,CD Quality,https://pillows.su/f/fc633961c2b6d88fa2ad61dfd92b70df
LYFESTYLE [V2],"STFU
(prod. Synthetic, sharkboy, upmadeit & Ski Pass)
(keep tellin em, GEEK PARTY)","Instrumental previewed by co-producer sharkboy in an Instagram Story on May 4, 2024. Samples 1994 Memphis rap track “Test My Nutz"" by 2 Low Key.",,,,,Snippet,High Quality,https://pillows.su/f/6e2f81e7844b28da909e25f737c9f3eb
LYFESTYLE [V2],"???
(prod. Synthetic & Radiate)
(3093, Over There)","Instrumental previewed by co-producer Radiate (@imradiate) in a TikTok video on April 6, 2024.",,,,,Snippet,Recording,https://pillows.su/f/ff9351eb6ec7f74bd9184fa5f0b2efd4
LYFESTYLE [V2],"Don Toliver - GEEKED UP
(feat. Yeat) (prod. 206derek, BBYKOBE, Bugz Ronin & Brian Yepes)
(Geeked)","OG Filename: Geeked_Instrumental_mstr 08-15_48k
Filename teased by co-producer 206derek while showing instrumental filenames for tracks on HARDSTONE PSYCHO by Don Toliver in an Instagram Story on August 16, 2024.",,,,,Confirmed,Not Available,https://api.pillows.su/api/download/05d35fc18804d3a2b1f300e21d78fbda
LYFESTYLE [V2],"Summrs & PlaqueBoyMax - Hercules
(prod. Swish)
(Rino Hercules, face one)","OG Filename: face one 144 bpm (prod. by swish)
Original instrumental for ""Rino Hercules"" by Summrs and PlaqueBoyMax, titled ""face one."" Filename teased in a PlaqueBoyMax Twitch stream on September 28, 2024.",,,,144,Confirmed,Not Available,Source Needed
,A DANGEROUS LYFE [V1],,,,,,,,
,Instrumentals,,,,,,,,
A DANGEROUS LYFE [V1],"crash out
(prod. Sapjer)
(crashout)","Uploaded to Sapjer's BeatStars and YouTube on May 19, 2023, titled ""(free) [BEATSWITCH] 070 Shake x Travis Scott x Experimental type beat ""storm inside"" (Prod. Sapjer).""

BPM: 139
Key: A♭ minor

00:00 - 00:40 INTRO
00:40 - 01:09 HOOK
01:09 - 01:36 BRIDGE 
01:36 - 02:06 HOOK 2
02:06 - 03:00 SWITCH",,,3:00,139,Full,CD Quality,"https://youtu.be/HKDCVh0ymU8
https://sapjer.com/beat/storm-inside-beatswitch-15132613
https://www.beatstars.com/beat/storm-inside-beatswitch-15132613
https://imgur.gg/f/906CdQV
https://imgur.gg/f/eV3jkuQ
https://imgur.gg/f/yJa79ID"
A DANGEROUS LYFE [V1],"Lose ur mind w me [Original Instrumental]
(prod. xbrvdy)
(LOSE YA SHIT)","OG Filename: LOSE YA SHIT 126BPM
Original instrumental for ""Lose ur mind w me,"" originally titled ""LOSE YA SHIT."" Previewed by xbrvdy in an Instagram Story on September 6, 2024. Surfaced on February 8, 2025.",,,4:20,126,OG File,CD Quality,https://pillows.su/f/506f2e18f162de90e1691a2ace01196e
A DANGEROUS LYFE [V1],"never catch on
(prod. Sapjer & LOU STRYDER)
(LET IT ALL BURN, never again)","Instrumental titled ""never again"" listed by Sapjer on May 26, 2024. Labeled as ""(free) Tame Impala x The Weeknd x Kanye West type beat ""never again"" (Prod. Sapjer)."" Key: D Minor.

Timestamps:
00:00 intrororooo
00:25 hoooooook
00:53 versssse
01:20 synths
02:00 bridgggge
02:27 hooooooooki","May 26, 2024",,3:12,1:44,Full,High Quality,"https://pillows.su/f/06b49a4f2a79a0636008b43d81b594ba
https://pillows.su/f/48ee2b00bdead51aced16aeb9f9fd266
https://youtu.be/zVsuz_mWe-A?si=pSYRlu_JT_BtSxOi
https://sapjer.com/beat/never-again-18627230?exclusive_access=bmV2ZXItYWdhaW4tMTg2MjcyMzBfMTg2MjcyMzA
https://www.beatstars.com/beat/never-again-18627230"
A DANGEROUS LYFE [V1],"One wish
(prod. Synthetic, xbrvdy, Orin & Chronic)
(genie in a bottle, feelin myself)","Original instrumental for ""One wish."" Previewed by xbrvdy in a Twitch stream on July 15, 2025.",,,,,Partial,High Quality,https://pillows.su/f/597c601ec72742fd351588e8ad9bc2cd
A DANGEROUS LYFE [V1],"stand still
(prod. Sapjer)","Uploaded to Sapjer's YouTube titled ""(free) Kanye West x Ty Dolla $ign x 070 Shake type beat ""high&lost"" (Prod. Sapjer)"" on November 28, 2023. Instrumental samples ""High"" by ThandoBleu. Has a 148 BPM and a C# minor key.",,,2:36,148,Full,High Quality,"https://pillows.su/f/a92fa05eb06fa19ba297702b43eaea8f
https://pillows.su/f/d5121fc6de4bac9c501f3228b08d1139
https://pillows.su/f/77d5be68fc77979616d3048d4b6a3b47
https://youtu.be/olaBojjazow
https://sapjer.com/beat/highandlost-16969695
https://www.beatstars.com/beat/high-lost-16969695"
A DANGEROUS LYFE [V1],"take back
(prod. Sapjer & Synthetic)","Uploaded to Sapjer's YouTube titled ""(free) Kanye West x Ty Dolla $ign x Vultures type beat ""burn"" (Prod. Sapjer)"" on February 13, 2024.

BPM: 127
Key: c # major

timestamps:
00:00 intro
00:30 time to float up to heaven
01:00 verse
01:31 organ
02:01 floating all the way to a new realm
02:31 outro",,,3:03,127,Full,High Quality,"https://youtu.be/xhBXJLwbtuI
https://bsta.rs/334be8fb5
https://bsta.rs/0e169806e
https://www.beatstars.com/beat/burn-17701069
https://pillows.su/f/0bfdf0cb8fef09b5e601dc1aad69b73c
https://pillows.su/f/8eab6e42a1e34bdaa453648d5d9ed880"
A DANGEROUS LYFE [V1],"???
(prod. Sapjer)
(Come outside, Come inside, resurrected)","Instrumental titled ""resurrected"" listed by Sapjer on February 9, 2024. Labeled as ""(free) Kanye West x Playboi Carti x A$ap Rocky type beat ""resurrected"" (Prod. Sapjer)."" Key: C Minor.

Timestamps:
00:00 intro
00:08 hook
00:42 verse
01:16 hook
01:49 bridge
02:06 verse/finale","Feb 9, 2024",,2:32,114,Full,High Quality,"https://pillows.su/f/60a4b5b2b243db0140cd82d49258eb82
https://pillows.su/f/eaed972d3525bdd3103886d8e14592ad
https://youtu.be/uwKXqzj9pJw?si=rXT-uoiCv8sinE5v
https://sapjer.com/beat/resurrected-17630466?exclusive_access=cmVzdXJyZWN0ZWQtMTc2MzA0NjZfMTc2MzA0NjY
https://www.beatstars.com/beat/resurrected-17671211"
A DANGEROUS LYFE [V1],"??? [Original Instrumental]
(prod. Doza)
(EVERYBODY DANCE, Everybody dance now)","Original instrumental for ""Everybody dance now"" prior to Sapjer contributions. Labeled as ""[FREE] ""EVERYBODY DANCE"" KANYE WEST X VULTURES 2 TYPE BEAT"" and uploaded on March 26, 2024. Doza replied to a fan asking if Yeat used the instrumental: ""Yeahh I sent the sample and bass I used here to sapjer and he made the beat fit for yeat and he’s dropping our song on his next album I heard 🙏.""

Key: A# Minor

0:00 - INTRO
0:02 - PRE HOOK
0:20 - HOOK
0:38 - KANYE VERSE
1:13 - HOOK
1:31 - TY VERSE
2:07 - HOOK
2:24 - OUTRO","Mar 26, 2024",,2:34,107,Full,High Quality,"https://pillows.su/f/201fd9cfbb044cbd6b6b30ba32608b6a
https://youtu.be/AGmAgXiGQtU?si=fr9xQ3bYvikSV6ui
https://www.beatstars.com/beat/everybody-dance-kanye-west-vultures-2-3-everybody-18126629"
A DANGEROUS LYFE [V1],"???
(prod. Sapjer & LOU STRYDER)
(dangerous stuff, resurrection)","Uploaded to Sapjer's YouTube titled ""(free) Kanye West x MBDTF x Sapjer type beat ""resurrection"" (Prod. Sapjer)"" on December 8, 2024. Has a 122 BPM and a g minor key.",,,3:20,122,Full,High Quality,"https://pillows.su/f/fd283e742463ec86e60b0f37fbb7e1c9
https://pillows.su/f/0ea3cb180dd764809585679d8c52a124
https://pillows.su/f/61191a96464fa7062d30dda5e5b00487
https://youtu.be/tmKGt3fXhcc
https://sapjer.com/beat/resurrection-20742663
https://www.beatstars.com/beat/resurrection-20742663"
A DANGEROUS LYFE [V1],"???
(prod. Synthetic, xbrvdy, Bred & damnboyo)
(Regular ppl 1st, Regular Person, Scared Of Me, Troll, NON TRIVIAL)","OG Filename: [ADL] NON TRIVIAL 72BPM SYNTHETIC XB BRED DAMNBOYO
Instrumental leaked on August 28, 2025.",,,2:40,72,OG File,CD Quality,https://pillows.su/f/30b28291efd14dfa673b245ad3ef67e0
A DANGEROUS LYFE [V1],"???
(prod. Synthetic, xbrvdy, jello & Shazy)
(I Feel Alive 4 A Min, Alive 4 A Minute, Gun2yahead, TIMEZONEZ)","OG Filename: [ADL] TIMEZONEZ 96 SYNTHETIC XB JELLO SHAZY
Instrumental leaked on August 28, 2025.",,,3:30,96,OG File,CD Quality,https://pillows.su/f/19a8a0299e66ac11bf1ebda5ee6da8cb
,ADL [V2],,,,,,,,
,Instrumentals,,,,,,,,
ADL [V2],"Mëssy
(prod. Synthetic & Bass)
(Messy, UNTRUE)","OG Filename: UNTRUE 164 SYNTHETIC BASS
Original instrumental for ""Mëssy."" Previewed by producer Bass via a TikTok by @silverlightsarchive on August 13, 2025.",,,,164,Snippet,Recording,https://pillows.su/f/a7f4d47b59baad509ad773f36bc8f4de
,DANGEROUS SUMMER,,,,,,,,
,Instrumentals,,,,,,,,
DANGEROUS SUMMER,"??? [Original Instrumental]
(prod. Sapjer & ghosteen2x)
(Better, gone)","OG Filename: !!! sapjer 4473 + ghosteen2x 93bpm
Uploaded to ghosteen2x's Telegram on June 26, 2025 at 1:54:40 PM. Instrumental titled ""gone"" listed by Sapjer on July 6, 2025. Labeled as ""(free) Clams Casino x A$ap Rocky x 070 Shake type beat ""gone"" (Prod. Sapjer).""

BPM: 93
Key: F minor

timestamps:
00:00 intro
00:10 guitar
00:20 pre- hook
00:41 hook
01:22 verse
01:43 guitar solo
02:03 hooook
02:24 strings outro",,,2:45,93,OG File,CD Quality,"https://pillows.su/f/b4b0928333e76749490a917accbe71d8
https://pillows.su/f/718387568ff4f50db8dba50a15555c51
https://pillows.su/f/e751be8597ba6a6ef4e60516b3cb4192
https://www.youtube.com/watch?v=Pek01A-JzyQ
https://sapjer.com/beat/gone-23065030
https://www.beatstars.com/beat/gone-23065030"
,Studio Stems,,,,,,,,
DANGEROUS SUMMER,"Julia Wolf - BIG DOG [V1]
(prod. Scro)
(DOG HOUSE, DOGHOUSE, DØGHOUSE)","Tabs for the original ""BIG DOG"" demo by Julia Wolf for ""DOG HOUSE"" with Drake and Yeat. Shared by Scro via Patreon on September 9, 2025, captioned:

""watsup yall. this was quite crazy to find out that i played guitar for a drake song AND a yeat song in one go haha

i send demos and guitar loops to julia all the time and this just happened to be one of the demo songs she sent over to drake when they were talking about collabing. everything after that they just cooked it up. i think rest of the track is produced by BNYX

anyways hope u dig, thanks""",,,0:26,,Full,Lossless,"https://www.patreon.com/posts/big-dogo-drake-138529345
https://pillows.su/f/c6add764d0953ddc67db8acb94391ea1
https://pillows.su/f/9a04d047600903a50a8057bc45d61851"
,"ADL
(𝕬 𝕯𝖆𝖓𝖌𝖊𝖗𝖔𝖚𝖘 𝕷𝖞𝖋𝖊 / 𝒜 𝒟𝒶𝓃𝑔𝑒𝓇𝑜𝓊𝓈 𝐿𝑜𝓋𝑒)",,,,,,,,
,Studio Stems,,,,,,,,
ADL [V3],"Back Home [Original Melody]
(prod. Synthetic, Lucid, Orin & Gleero)","OG Filename: ORIN_TRAINBACKHOME_131BPM
Original melody for track 20 on ADL, ""Back Home."" Previewed by Orin in an Instagram Reel and TikTok on May 2, 2026.","Aug 25, 2025",,3:06+,131,Snippet,High Quality,Link Needed
ADL [V3],"Back Home [Melody]
(prod. Synthetic, Orin & Gleero)","OG Filename: (YEAT) BACKHOME 114 SYNTHETIC ORIN GLEERO
Melody for track 20 on ADL, ""Back Home."" Filename teased by Orin while previewing the original melody for the track in an Instagram Reel and TikTok on May 2, 2026.",,,,114,Confirmed,Not Available,N/A
ADL [V3],"Griddlë [Melody]
(prod. Benny Henny & Ashe)","OG Filename: * freakshow 135 benny henny ashr
Original melody for track 4 on ADL, ""Griddlë."" Previewed by Mathaius Young in a beat breakdown with RapTV on May 2, 2026.",,,,,Full,Recording,Link Needed
ADL [V3],"Face The Flamë [Original Loop]
(prod. Flames)
(I SOMËTIMES DO X, The Most Dangerous Man in the World)","OG Filename: predator 130 bpm — idea @prodbyflames
Teased by co-producer Flames in an Instagram Story on March 29, 2026 captioned: ""i saw a few comments on ""face the flame"" saying the beat sounds like an ""alien invasion"" .. fun fact: i'm a fan of the alien series, and the original beat was actually ""predator"" because it felt like something... not from this world. so yeah _ it really is an alien invasion"".""",,,0:28,130,Confirmed,Not Available,https://i.ibb.co/5WgRtCZp/prodbyflames-2026-03-29-T100258.jpg
,Instrumentals,,,,,,,,
ADL [V3],"Dangerous House [Original Instrumental]
(prod. Sapjer)","Original instrumental for track 10 on ADL: 𝕬 𝕯𝖆𝖓𝖌𝖊𝖗𝖔𝖚𝖘 𝕷𝖞𝖋𝖊, ""Dangerous House."" Samples ""loyal & marie"" by Dijon.  Uploaded to Sapjer's YouTube titled ""(free) Kanye West x Bon Iver x Frank Ocean type beat ""howcome"" (Prod. Sapjer)"" on August 31, 2025.",,,2:21,153,Full,High Quality,"https://pillows.su/f/222d86051746e13307d0db06465cd33a
https://youtu.be/MUfRhIREnV0
https://sapjer.com/beat/howcome-23607711"
,Ongoing,,,,,,,,
,Instrumentals,,,,,,,,
Ongoing,"BNYX® - fuëgo
(prod. BNYX® & Bizarrap)
(ALL U WANT, Juice)","Official instrumental for track 7 on GENESIS FM by BNYX®, ""fuëgo"" with Bizarrap, Yeat, and Peso Pluma. Released as track 21 on GENESIS FM (Deluxe) by BNYX®.",,,3:47,,Full,Lossless,"https://music.apple.com/us/song/fu%C3%ABgo-instrumental/6769925231
https://open.spotify.com/track/3dNaH7URyF89s7v19Ytv4T?si=22f50fec1acb4c82
https://pillows.su/f/f66b8c4175d8b29e37c553bfca4910a3"
