Era,Name,Notes,Image / Length,Date Made,Type,Available Length,Quality,Link(s)
ADL [V2],"MANIA
(prod. Synthetic, xbrvdy & Radiate)","OG Filename: MANIA 140 SYNTHETIC XB RADIATE
Instrumental potentially intended for A DANGEROUS LYFE. Shared by xbrvdy in his Telegram channel on May 14, 2025.",2:58,,Instrumental,Never   Recorded,CD Quality,https://pillows.su/f/6de00a66cf3ad55d3af9dda9d55f9520
ADL [V2],"TONKA TRUKKIN
(prod. Synthetic, xbrvdy & Nico Baran)","OG Filename: TONKA TRUKKIN 150 SYNTHETIC XB NICO
Instrumental potentially intended for A DANGEROUS LYFE. Shared by xbrvdy in his Telegram channel on May 14, 2025.",2:22,,Instrumental,Never   Recorded,CD Quality,https://pillows.su/f/a8a3bdd231992fb11456bde97d865d69
ADL [V2],"WE 2 HIGH
(prod. Synthetic, xbrvdy & kesh)","OG Filename: WE 2 HIGH 157 SYNTHETIC BRADY KESH
Instrumental potentially intended for A DANGEROUS LYFE. Shared by xbrvdy in his Telegram channel on May 29, 2025.",2:39,,Instrumental,Never   Recorded,CD Quality,https://pillows.su/f/064d1acd0bd84fa6d01b020aeebc9b2b
ADL [V2],"Babytron - ???
(feat. Yeat)","On February 19, 2025, Babytron posted a question in an Instagram Story titled ""WHO Y'ALL WANNA SEE ON HERE? 🤔🏆"" in reference to his LUKA TRONIC 2 project. A fan submitted ""Yeat,"" which prompted Babytron to post the response and then tagged Yeat, ""@yeat 🤔.""",,,Other,Never   Recorded,Not Available,"https://api.pillows.su/api/download/ef7593057876275dac628ee71ba3bafd.jpg
https://api.pillows.su/api/download/76ed05a7ee91bf1989307df6ee28c89c.jpg"
ADL [V2],"Lunchbox - farther
(feat. Yeat) (prod. Amir)","OG Filename: farther open 140
Previewed by Lunchbox in his Discord server on April 18, 2025 alongside two other open verse demos, saying ""I never snipped none of dese cause I sent em all to yeat."" However, Yeat never recorded over them.",,,Other,Never   Recorded,Not Available,https://pillows.su/f/50d4521c2dd301773edcc44653056c11
ADL [V2],"Lunchbox - find me
(feat. Yeat) (prod. Amir)","OG Filename: find me 142 open
Previewed by Lunchbox in his Discord server on April 18, 2025 alongside two other open verse demos, saying ""I never snipped none of dese cause I sent em all to yeat."" However, Yeat never recorded over them.",,,Other,Never   Recorded,Not Available,https://pillows.su/f/903a6029fa8c8e16900a1b187d217b73
ADL [V2],"Lunchbox - thoueyy
(feat. Yeat) (prod. Amir)","OG Filename: thoueyy open 142
Previewed by Lunchbox in his Discord server on April 18, 2025 alongside two other open verse demos, saying ""I never snipped none of dese cause I sent em all to yeat."" However, Yeat never recorded over them.",,,Other,Never   Recorded,Not Available,https://pillows.su/f/4babd4d5a02bc35ff5f222a28c01a87a
ADL [V2],"Lunchbox - ???
(feat. Yeat)","On April 25, 2025 following the release of his project L.B. Cooper, Lunchbox mentioned in his Discord server that ""[he] was posed to have da yeat feat but he focused on his project rn.""",,,Other,Never   Recorded,Not Available,https://i.ibb.co/1twcmm9m/2025-04-25-Lunchbox-x-Yeat-lunchboxlunchbox.png
ADL [V2],"Summrs - The Bell (Remix)
(prod. Synthetic, Primo & Cai Burns)
(Real Lyfe Shit)","Summrs remix of Yeat's single ""The Bell."" Previewed by Summrs in an Instagram Story captioned ""😂😂😂"" on May 26, 2025.",,,Remix,Snippet,Recording,"https://pillows.su/f/06876973507d916080b2278a5de76b3c
https://pillows.su/f/a0f7f7b7439b040b4dd4d36317d2c2f5"
,Other,,,,,,,
ADL [V2],"Can't stop mysëlf (Tour Version) [V1]
(prod. BNYX®)
(CANT STOP MYSELF)","First live mix version of ""Can't stop mysëlf."" Inferred to exist due to the existence of a version 2.",,,Other,Confirmed,Not Available,N/A
ADL [V2],"Can't stop mysëlf (Tour Version) [V2]
(prod. BNYX®)
(CANT STOP MYSELF)","OG Filename: 134 CANT STOP MYSELF TOUR VERSION 2
Second live mix version of ""Can't stop mysëlf,"" which was performed by Yeat and BNYX® at the Sahara tent at Coachella on April 18, 2025. Transitions from ""No morë talk"" to ""bigger thën everything"" to ""Mysëlf."" File from BNYX® is dated April 20, 2025. OG file surfaced on June 5, 2025.",2:43,"Apr 20, 2025",Other,OG File,CD Quality,https://pillows.su/f/3e04c93c7a65adc8cbad33dc41eea9e4
,DANGEROUS SUMMER,,,,,,,
,Never Recorded,,,,,,,
DANGEROUS SUMMER,"LOCO
(with Sheck Wes) (prod. Synthetic, Sapjer, Empathy & Maru)","OG Filename: LOCO
Track name seen in a Saint-Tropez, France tracklist for DANGEROUS SUMMER, seen in the background of an ""IM YEAT"" teaser posted by Yeat on Instagram on July 15, 2025, where it showed that Sheck Wes was considered as a feature.",,,Unknown,Never   Recorded,Not Available,Link Needed
DANGEROUS SUMMER,"???
(feat. Sexyy Red)","An unknown track with a Sexyy Red feature seen in a Saint-Tropez, France whiteboard tracklist for DANGEROUS by BNYX® in an Instagram Carousel post on July 31, 2025.",,,Unknown,Never   Recorded,Not Available,https://www.instagram.com/p/DMzGc-2xpFz
DANGEROUS SUMMER,Unknown [Harold Harper Collaborations],"In a Discord Q&A with fans on July 1, 2025, producer Harold Harper said that he is ""sending shit for yeat"" when asked who else he makes beats for. However, it is currently unclear whether Yeat has recorded any tracks over them.",,,Instrumental,Never   Recorded,Not Available,https://i.ibb.co/v6zbFj6P/2025-07-01-harper-Discord.jpg
,ADL [V3],,,,,,,
,Never Recorded,,,,,,,
ADL [V3],"???
(feat. Billie Eilish)","On December 13, 2025, Billie Eilish posted an Instagram Carousel post dump which she captioned ""lyfe"" at 3:16:21 PM ET. Yeat then commented ""stylë"" on the post at 8:13:32 PM ET, which the Lyfestyle Corporation then reposted to its story twice. This led to rumors of a potential collaboration between the pair, however, this is highly unlikely.",,,Unknown,Never   Recorded,Not Available,https://www.instagram.com/p/DSN3qxnkhh9
ADL [V3],"bbno$ - Truck
(feat. Yeat)","In a September 25, 2025 Instagram Story, bbno$ teased a chalkboard tracklist titled BBNO$ The Album, where track 16 was ""Truck ft Yeat."" However, it was later confirmed not to exist; it is possible that Yeat was a wanted feature, not that a verse was ever sent back. However, it was most likely that bbno$ was trolling.",,,Unknown,Never   Recorded,Not Available,"https://pillows.su/f/9a99855d6dc292e64e324ef616f68648
https://i.ibb.co/1fHBnR2r/bbnomula-2025-09-25-T223820.jpg"
ADL [V3],"BIGBABYGUCCI - No Molly (Remix)
(feat. Yeat) (prod. Sapjer & smo)
(no molly)","OG Filename: no molly.OPEN.theomx.bbg.10.1.25
Open verse version of track 6 on And When I’m Alone (Early Listen Edition) by BIGBABYGUCCI, ""No Molly,"" dated October 1, 2025 that was sent out to Yeat to record over. However, it is unlikely Yeat ever recorded for it.",,,Other,Never   Recorded,Not Available,"https://x.com/bigbabygucci/status/1983213508834582697
https://pbs.twimg.com/media/G4XKLQmXsAAw2EW?format=jpg&name=large
https://youtu.be/zDe7LbA5U40"
