Era,Name,Notes,Image / Length,Date Made,Type,Available Length,Quality,Link(s)
Hold Ön,"Juice WRLD & Young Thug - Bad Boy [V8]
(prod. Pi'erre Bourne)
(Will Smith And Martin Lawrence, 2 up)","OG Filename: THUG x JUICEWRLD - BAD BOY v4 ML mix v11
Alternate demo version of ""Bad Boy"" by Juice WRLD and Young Thug. File exported on July 7, 2020. Yeat recorded his own remix of the track titled ""2 up,"" over a re-produced instrumental by Curesful.",2:47,"Jul 7, 2020",Other,OG File,Lossless,"https://pillows.su/f/842597ea2c817a8aee66b64b7985da0c
https://pillows.su/f/97e24fa91394bf5232752d4ceaea4bf1"
Hold Ön,"Juice WRLD & Young Thug - Bad Boy [V9]
(prod. Pi'erre Bourne)
(Will Smith And Martin Lawrence, 2 up)","OG Filename: THUG x JUICEWRLD - BAD BOY v4 ML mix v11 premaster
Premaster version of ""Bad Boy"" by Juice WRLD and Young Thug. File exported on July 7, 2020. Yeat recorded his own remix of the track titled ""2 up,"" over a re-produced instrumental by Curesful.",2:47,"Jul 7, 2020",Other,OG File,Lossless,https://pillows.su/f/173efd51413076c924ba246ee8c2c352
,Alivë,,,,,,,
,Never Recorded,,,,,,,
Alivë,"London
(feat. Lancey Foux) (prod. 2sided & Nadddot)","The leaked demo contains an open verse that was intended for Lancey Foux, however, it is unknown if he ever recorded for it.",,,Other,Never   Recorded,Not Available,Source Needed
Alivë,"heaven w demons
(prod. Curesful & Yeat)","OG Filename: curse x yeat heaven w demons MEL 163 2
Unused melody with a 163 BPM co-produced by Yeat. Leaked on February 14, 2025.",0:47,,Stems,Never   Recorded,CD Quality,https://pillows.su/f/7599db14e5d57dd3ad2738d108188ab1
Alivë,"Untitled
(prod. Curesful & Yeat)","OG Filename: 3.28 157 Curesful X Yeat.mp3
Unused instrumental dated March 28, 2021 with a 157 BPM, co-produced by Yeat. Leaked on February 14, 2025.",1:50,"Mar 28, 2021",Instrumental,Never   Recorded,CD Quality,https://pillows.su/f/aff9ef50b197c28edb5c6f907079b03e
Alivë,"???
(feat. Autumn! & Weiland) (prod. 2sided & mTwenty)
(W wick n weiland)","An open verse demo intended for Autumn! and Weiland was previewed by Yeat in an Instagram post captioned ""W wick n weiland 🙀🙀🙀🚳🚳🚳,"" however, it is rumored that only Autumn! sent back a verse. Era unconfirmed.",,,Other,Never   Recorded,Not Available,N/A
,Other,,,,,,,
Alivë,ad-libs,"OG Filename: adlibs yeat
From March of 2021. Filename teased by Yeat in an Instagram Live on June 7, 2021.",,,Other,Confirmed,Not Available,Source Needed
Alivë,"2 in
(feat. Autumn!) (prod. PinkGrillz)
(Intö)","The leaked demo contains an open verse in which the filename suggests it is intended for Autumn!, however, he seemingly did not record a verse.",,,Other,Never   Recorded,Not Available,N/A
Alivë,"Autumn! - I'm Knowing!
(prod. iankon)
(FLUENTLY)","Uses the same instrumental as ""FLUENTLY."" Leaked on October 27, 2023.",2:27,,Other,Full,CD Quality,https://pillows.su/f/baaaa880161b584f649a9378bec7d159
Alivë,"Juice WRLD & Young Thug - Bad Boy [V10]
(prod. Pi'erre Bourne)
(Will Smith And Martin Lawrence, 2 up)","OG Filename: THUG x JUICEWRLD - BAD BOY v4 ML mix v12 premaster
Premaster version of ""Bad Boy"" by Juice WRLD and Young Thug. File exported on December 18, 2020. Yeat recorded his own remix of the track titled ""2 up,"" over a re-produced instrumental by Curesful.",2:53,"Dec 18, 2020",Other,OG File,Lossless,https://pillows.su/f/aa24811421f54b99b1c2581bb8a5111d
