Year,YearTotal,Era,Name,Content,Price,Start,End,Type,Status,Link
2024,"$5,440",Multi-Era,⭐️ Untitled + ⭐️ Fuck Isis,"⭐️ Untitled
(perf. A$AP Rocky, A$AP Nast, KEY!, Post Malone & Treez Lowkey)
(Got What You Need, Killing, Track 1)
⭐ Fuck Isis
(prod. Metro Boomin)
(Burn Ya)",$750,"Apr 26, 2024","May 5, 2024",Normal,Yes,
2024,"$5,440",LONG.LIVE.A$AP,💎 4Wheelers,"💎 4Wheelers
(prod. A$AP Ty Beats)
(Dipset Forever)",$450,"Apr 11, 2024","Apr 16, 2024",Normal,Yes,
2024,"$5,440",ALL $MILE$,⭐ Scarface,"⭐ Scarface
(prod. Kelvin Krash, Héctor Delgado & Boys Noize)",$600,"Mar 25, 2024","Mar 29, 2024",Normal,Yes,
2024,"$5,440",GRIM,I Cried Alone In My Truck,"Cristoforo Donadi - I Cried Alone In My Truck
(feat. A$AP Rocky)
BONUS CONTENT:
🗑️ Medicated Generation
(feat. A$AP Ferg) (prod. Pharrell Williams)",$250,"Mar 7, 2024",Info needed,Normal,Yes,
2024,"$5,440",GRIM,⭐️ Untitled (Apparently),"⭐️ Untitled
(feat. slowthai) (prod. Paul White)
(Apparently, Follow Me)",$300,"Feb 21, 2024","Feb 29, 2024",Normal,Yes,
2024,"$5,440",TESTING,🏆 Untitled (Never Snitching),"🏆 Untitled
(feat. Genetikk)
(Never Snitching)",$370,"Feb 16, 2024","Feb 21, 2024",Reworked,No,
2024,"$5,440",Pre-TESTING,✨ Black,"✨ Black
(feat. Dean Blunt) (prod. Dean Blunt)",$315,"Feb 4, 2024","Feb 7, 2024",Normal,Yes,
2024,"$5,440",LONG.LIVE.A$AP,⭐👑 Savage,"⭐👑 Savage
(prod. A$AP Ty Beats)",$400,"Jan 22, 2024","Jan 25, 2024",Normal,Yes,
2023,"$3,085",TESTING,✨ Untitled (Give Em' Hell),"✨ Untitled
(feat. Blood Orange) (prod. Southside)
(Give Em' Hell, Give Em' Help, Kmajorsizle)",$400,Info needed,Info needed,Normal,No,
2023,"$3,085",TESTING,🏅 Yeezy My,"🏅 Yeezy My
(feat. Kanye West & A$AP Ferg)",$600,"Dec 14, 2023",Info needed,Normal,No,
2023,"$3,085",Cozy Tapes Vol. 3,✨ Lil Ol' Me,"✨ Lil Ol' Me
(perf. A$AP Rocky, A$AP Ferg & A$AP Twelvvy)",$265,"Dec 1, 2023","Dec 9, 2023",Normal,Yes,
2023,"$3,085",TESTING,✨ Untitled (Rocket),"✨ Untitled
(feat. A$AP Ferg) (prod. Pi'erre Bourne)
(Rocket, Bad Habit)",$400,"Nov 9, 2023",Info needed,Normal,Yes,
2023,"$3,085",GRIM,⭐️ Back Of Da Beeper,"⭐️ Back Of Da Beeper [V3]
(feat. THOTTWAT) (prod. ICYTWAT & Héctor Delgado)",$250,"Oct 21, 2023","Oct 21, 2023",Blind,Yes,
