Era,Name,Notes,Designer,Date,Image,Art Type,Use,Link(s)
TESTING,"G-Eazy - No Limit REMIX
(feat. A$AP Rocky, French Montana, Juicy J & Belly) (prod. Boi-1da & Allen Ritter)","Remix art for G-Eazy's ""No Limit"", featuring A$AP Rocky, French Montana, Juicy J & Belly.",,"Dec 11, 2017",,Front Cover,Used,
TESTING,"FTW (Fuck The World)
(with Tom Morello) (prod. DJ Khalil & Tom Morello)","Single art for ""FTW (Fuck The World)"", Apart of the soundtrack for the movie Bright.",,"Dec 15, 2017",,Front Cover,Used,
TESTING,TESTING [Early Cover],"Early cover for ""TESTING"" that was shared on January 23rd, 2018 along with the single ""☆☆☆☆☆ 5IVE $TAR$"".",Cary Fagan & Moonbase,"Jan 23, 2018",,Front Cover,Unused,
TESTING,"Cocky
(with Gucci Mane & 21 Savage) (feat. London on da Track) (prod. Héctor Delgado & London on da Track)","Single art for ""Cocky"", later used and apart of the soundtrack for the movie Uncle Drew.",,"Feb 16, 2018",,Front Cover,Used,
TESTING,"Thirty Seconds to Mars - One Track Mind
(feat. A$AP Rocky) (prod. Jared 'Morbius' Leto & Robopop)","Remix art for Thirty Seconds to Mars' ""One Track Mind"" featuring A$AP Rocky.",,"Mar 23, 2018",,Front Cover,Used,
TESTING,Bad Company,"Single art for ""Bad Company"". Features Rocky in a car with a test dummy, a common theme with his album ""TESTING"", although this song never made the tracklist.",Cary Fagan & Moonbase,"Mar 28, 2018",,Front Cover,Used,
TESTING,A$AP Forever,"Single art for ""A$AP Forever"".",Cary Fagan & Moonbase,"Apr 5, 2018",,Front Cover,Used,https://cdn.discordapp.com/attachments/1113173027048411166/1152683958635606067/IMG_3212.jpg
TESTING,TESTING [Alternate Cover #1],"Alternate cover for ""TESTING"" seen in ads for the project.",Cary Fagan & Moonbase,"Apr 21, 2018",,Front Cover,Alternate,
TESTING,TESTING [Alternate Cover #2],"Alternate cover for ""TESTING"" seen in ads for the project.",Cary Fagan & Moonbase,"Apr 21, 2018",,Front Cover,Alternate,
TESTING,TESTING [Alternate Cover #3],"Alternate cover for ""TESTING"" seen in ads for the project.",Cary Fagan & Moonbase,"Apr 21, 2018",,Front Cover,Alternate,
TESTING,TESTING [Alternate Cover #4],"Alternate cover for ""TESTING"" seen in ads for the project.",Cary Fagan & Moonbase,"Apr 21, 2018",,Front Cover,Alternate,
TESTING,TESTING [Alternate Cover #5],"Alternate cover for ""TESTING"" seen in ads for the project.",Cary Fagan & Moonbase,"Apr 21, 2018",,Front Cover,Alternate,
TESTING,TESTING [Alternate Cover #6],"Alternate cover for ""TESTING"" seen in ads for the project.",Cary Fagan & Moonbase,"Apr 21, 2018",,Front Cover,Alternate,
TESTING,Herojuana Blunts,"Single art for ""Herojuana Blunts"". ",,"Apr 28, 2018",,Front Cover,Used,
TESTING,TESTING,"Cover art for A$AP Rocky's third studio album ""TESTING"". The cover art features “dummies” all styled very similarly to Rocky, with his iconic French braids. The photo taken for the cover was taken by Cary Fagan and was designed by Moonbase. The art is a direct reference to Smif-N-Wessun's 1995 album ""Dah Shinin'"". The title to that album most likely influenced the name for ""Praise The Lord (Da Shine)"" aswell. The cover is often misinterpreted as many people believe it to be referencing N.W.A.'s 1988 album ""Straight Outta Compton"" rather than ""Dah Shinin"".",Cary Fagan & Moonbase,"May 26, 2018",,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music115/v4/5f/fb/df/5ffbdfb9-34ba-7ff7-0a62-bf87ab47df5d/886447076446.jpg
TESTING,"TESTING [Alternate Cover]
(STILL TESTING)","An alternate cover for ""TESTING"" posted by Rocky on his Instagram a few days after the albums release. This post had the caption ""STILL TESTING"" leading some people to think this was a potential deluxe cover to ""TESTING"", but this is not yet confirmed.",Cary Fagan & Moonbase,"May 28, 2018",,Front Cover,Unused,
TESTING,Praise The Lord (Da Shine),"Single art for ""Praise The Lord (Da Shine)"".",Cary Fagan & Moonbase,"Jun 26, 2018",,Front Cover,Used,
WANG$AP,Potato Salad,"Single art for ""Potato Salad"". Features a picture from the time the music video was being recorded. The cover obviously features Rocky and Tyler, The Creator, but has a notable appearance from Jaden Smith.",,"Jul 23, 2018",,Front Cover,Used,
WANG$AP,WANG$AP [Logo],"The logo for the ""WANG$AP"" album shown at the end of the ""Potato Salad"" music video with the words ""coming soon"" underneath. ",N/A,N/A,,Other,Unused,
WANG$AP,WANG$AP [Covers + Photoshoot],"It has been said by insiders that there are multiple cover arts for the ""WANG$AP"" album. They also stated there was a full photoshoot for this. Potentially may have been their photoshoot in Paris for the ""Potato Salad"" music video, but that is not confirmed.",N/A,N/A,N/A,Other,Unused,
ALL $MILE$,"A$AP Ant - Mario Cart
(feat. A$AP Rocky) (prod. AR & Frans)","Remix art for A$AP Ant's ""Mario Cart"" featuring A$AP Rocky.",,"Aug 16, 2018",,Front Cover,Used,
ALL $MILE$,"Sundress
(prod. A$AP Rocky, Danger Mouse, Syk Sense, Héctor Delgado & Kevin Parker)","Single art for ""Sundress"".",,"Nov 20, 2018",,Front Cover,Used,
ALL $MILE$,"Comethazine - Walk (Remix)
(perf. A$AP Rocky) (prod. BHUNNA & Phlexnproductions)","Remix art for Comethazine's ""Walk"" perf. A$AP Rocky.",,"Mar 18, 2019",,Front Cover,Used,
ALL $MILE$,"BURNS - Energy
(perf. A$AP Rocky & Sabrina Claudio) (prod. BURNS)","Single art for BURNS' ""Energy"" perf. A$AP Rocky & Sabrina Claudio.",,"Apr 30, 2019",,Front Cover,Used,
ALL $MILE$,"A$AP Ferg - Pups
(feat. A$AP Rocky) (prod. Frankie P)","Single art for A$AP Ferg's ""Pups"" featuring A$AP Rocky.",,"May 9, 2019",,Front Cover,Used,
ALL $MILE$,Babuska Boi,"Single art for ""Babushka Boi"". First Rocky single to feature film-like themes on its cover. Other covers that would follow this idea are ""D.M.B."", ""Shittin' Me"" and ""Taylor Swift"".",,,,Front Cover,Used,
ALL $MILE$,Babuska Boi [Unused Cover],,MOONBASE,,,,,
GRIM,"Distraction [Alternate Cover]
(prod. Héctor Delgado)","Alternate cover of ""Distraction"" posted by HidjiWorld on his Instagram on Yams Day 2021, or January 18th. This cover is square unlike the ""G-Unit Rice"" and the other ""Distraction"" cover. ",HidjiWorld,"Jan 18, 2021",,Front Cover,Unused,
GRIM,"Distraction
(prod. Héctor Delgado)","The main ""Distraction"" cover posted by HidjiWorld on Instagram with the song on February 2nd, 2021. This cover is not high quality but rather seemingly a photo of a computer screen possibly. The cover uses elements of the music video which was previewed on Yams Day 2021, or January 18th. This cover matches the ""G-Unit Rice"" cover as well which was posted the same day and also designed by HidjiWorld.",HidjiWorld,"Feb 2, 2021",,Front Cover,Unused,
GRIM,"G-Unit Rice
(feat. Jean Dawson) (prod. Jean Dawson & Zach Fogarty)
(Racks On Me)","Cover art for ""G-Unit Rice"" posted by HidjiWorld on Instagram with the song on February 2nd, 2021. The cover uses elements of the music video posted by HidjiWorld on the same day. This cover matches the ""Distraction"" cover as well which was posted the same day and also designed by HidjiWorld.",Hidji World,"Feb 2, 2021",,Front Cover,Unused,
GRIM,"Rich Nigga Problems
(prod. DDot Omen, Dauphin Amir & Ali P)","Single art for the song ""Rich Nigga Problems"" which was featured on the ""Judas and the Black Messiah: The Inspired Album"" which was released on February 12th,  2021 and shares an identical cover to it.",N/A,"Feb 12, 2021",,Front Cover,Used,
GRIM,THE GRIM ,"It is possible that HidjiWorld created album art for ""THE GRIM"" similar to ""Distraction"" and ""G-Unit Rice"", but this is just speculation.",HidjiWorld,N/A,N/A,Front Cover,Rumored,
GRIM,"Dean Blunt - STOOZY
(feat. A$AP Rocky) (prod. Dean Blunt)","Cover art for ""STOOZY"" by Dean Blunt. The image is of stylist and designer Misa Hylton. The original photo seemingly comes from some sort of hair magazine section with Misa's style being called ""blonde pig tails"".",N/A,"Jun 8, 2021",,Front Cover,Used,
GRIM,"Dean Blunt - STOOZY [Original Image]
(feat. A$AP Rocky) (prod. Dean Blunt)","The original photo seemingly comes from some sort of hair magazine section with Misa's style being called ""blonde pig tails"".",N/A,N/A,,Other,Original Image,
GRIM,LIVE.LOVE.A$AP [Anniversary Cover] ,"The cover for the 10 year anniversary edition of A$AP Rocky's mixtape ""LIVE.LOVE.A$AP"" and is what is featured on streaming services. Features a different font and a birthmark on Rocky's eye representing A$AP Mob founder and Rocky's mentor, A$AP Yams.",Brock Fetch,"Oct 29, 2021",,Front Cover,Used,https://media.discordapp.net/attachments/1113173027048411166/1152677010288681010/IMG_2316.jpg
GRIM,LIVE.LOVE.A$AP [Alternate Anniversary Cover] ,"An alternate 10th anniversary cover for A$AP Rocky's mixtape ""LIVE.LOVE.A$AP"" with the image being colored instead of the normal black and white and doesn't feature A$AP Yams's birthmark.",Brock Fetch,"Oct 29, 2021",,Front Cover,Alternate,https://cdn.discordapp.com/attachments/1113173027048411166/1152677010565496903/IMG_3177.jpg
GRIM,LIVE.LOVE.A$AP [Animated Anniversary Cover] ,"A animated cover for the 10th anniversary edition of A$AP Rocky's mixtape ""LIVE.LOVE.A$AP"".",Brock Fetch,"Oct 29, 2021",,Other,Alternate,https://cdn.discordapp.com/attachments/1113173027048411166/1152677010938798110/IMG_3178.gif
GRIM,Arya,"Single art for Rocky and Nigo's ""Arya"" which features a picture of the two on a polaroid camera. Similar to the rest of the single covers from ""I Know NIGO!"".",N/A,"Jan 28, 2022",,Front Cover,Used,
GRIM,"$NOT - Doja
(feat. A$AP Rocky) (prod. Dee B)","The single art for the song ""Doja"" by $NOT which released on February 4th, 2022. The cover is identical to the cover for $NOT's ""Ethereal"" album.",N/A,"Feb 4, 2022",,Front Cover,Used,
GRIM,"A$AP Ant - The God Hour
(feat. A$AP Rocky) (prod. SpizzleDoe & Mannyvelli)","Single art for A$AP Ant's ""The God Hour"" featuring A$AP Rocky.",N/A,"Apr 1, 2022",,Front Cover,Used,
GRIM,"D.M.B. [Alternate Cover]
(prod. D33J, Shlohmo, Kelvin Krash, Skepta, Héctor Delgado & A$AP Rocky)","Early version of the ""D.M.B."" cover from when the song was teased a few days prior to release on May 3rd, 2022. This version has a brown tint on it compared to the main cover.",N/A,"May 3, 2022",,Front Cover,Alternate,
GRIM,"D.M.B.
(prod. D33J, Shlohmo, Kelvin Krash, Skepta, Héctor Delgado & A$AP Rocky)","Single art for ""D.M.B."". Reads ""A GHETTO LOVE TALE"" across the top of the cover which Rocky described his upcoming album to sound like. Follows the film-like theme from Babushka Boi.",N/A,"May 5, 2022",,Front Cover,Used,
GRIM,"Danger Mouse & Black Thought - Strangers
(feat. A$AP Rocky & Run The Jewels) (prod. Danger Mouse)","Single art for Danger Mouse & Black Thought's ""Strangers"" featuring A$AP Rocky & Run The Jewels.",N/A,,,Front Cover,Used,
GRIM,GRIM,"Fan art for ""GRIM"" made around Rolling Loud 2022 by an unknown artist. Seemingly officially acquired by Rocky at some point. Rocky was seen in 2023 holding a small briefcase with an alternate version of the artwork and later versions of the cover reworked for ""Don't Be Dumb"" also exist, suggesting this was most likely the main cover in use for ""GR1M"".",N/A,Sep 2022,,Front Cover,Unused,https://ibb.co/M1MHQ8t
GRIM,GRIM [Alternate Covers],While recording a music video in 2023 some alternate covers of the above is shown on his shirt with some white text in the top right not seen above and a separate cover similar to the two but with Japanese text. If someone can translate let us know.,N/A,N/A,,Front Cover,Unused,
GRIM,GRIM [Artwork/Cover] ,,N/A,Sep 2022,,Other,Rumored,
GRIM,GR1M,"Design with the ""GR1M"" seen in 2022 merch. This design could very possibly be a cover art, or just general artwork for the album at the time, but it is not confirmed. The high quality rip of the design is taken from AWGE.com.",N/A,N/A,,Other,Rumored,
GRIM,GRIM / GR1M [Belt/Logo],"Rocky's custom made $300,000 dollar ""GRIM"" or ""GR1M"" belt made by Alex Moss. In the main cover we use on the tracker the belt design is used but the red R is more pink so it's safe to assume there is more artwork made with a more accurate representation of the belt's colors.",Alex Moss,N/A,,Other,Rumored,
MISSING PARENTS,MISSING PARENTS,"Rocky and Lou had a DJ Group called ""Missing Parents"" for a portion of 2022, this being the profile picture of the group Instagram account.",,2022,,Promo,Used,
MISSING PARENTS,MISSING PARENTS,Album cover style art,,2022,,Front Cover,Used,
MISSING PARENTS,MISSING PARENTS,Promo used for their London set on the 28th of June 2022.,,2022,,Promo,Used,
DON'T BE DUMB,"Praise The Lord (Da Shine [Durdenhauer Edit]
(feat. Skepta) (prod. Durdenhauer & Skepta)","Single art for ""Praise The Lord (Da Shine) [Durdenhauer Edit]"" when it released on streaming on November 18th, 2022. Very similar to the ""TESTING"" album cover (the album the song is originally from) except in this version the color is purple instead of yellow and says the remix name instead of the album name.",,"Nov 18, 2022",,Front Cover,Used,
DON'T BE DUMB,"Dean Blunt - LONDON TONIGHT FREESTYLE
(feat. A$AP Rocky, Novelist & Skepta) (prod. Dean Blunt)","Single art for Dean Blunt's ""LONDON TONIGHT FREESTYLE"" featuring A$AP Rocky, Novelist & Skepta.",N/A,"Nov 21, 2022",,Front Cover,Used,
DON'T BE DUMB,"Smooky MarGielaa - Mamacita
(feat. A$AP Rocky) (prod. Héctor Delgado)","Single art for Smooky MarGielaa's ""Mamacita"" featuring A$AP Rocky.",N/A,"Dec 25, 2022",,Front Cover,Used,
DON'T BE DUMB,"Shittin' Me
(prod. Kelvin Krash)","Single art for ""Shittin' Me"", a song for the Need For Speed soundtrack and Rocky's upcoming album. Follows the film-like theme from some previous singles such as ""D.M.B."" & ""Babushka Boi"". Also features a bandaid that states the title of Rocky's upcoming album ""DON'T BE DUMB"".",N/A,"Dec 2, 2022",,Front Cover,Used,
DON'T BE DUMB,"Sh*ttin' Me
(prod. Kelvin Krash)","Single art for clean version of ""Sh*ttin' Me"", a song for the Need For Speed soundtrack and Rocky's upcoming album. Follows the film-like theme from some previous singles such as ""D.M.B."" & ""Babushka Boi"". Also features a bandaid that states the title of Rocky's upcoming album ""DON'T BE DUMB"".",N/A,"Dec 2, 2022",,Front Cover,Used,
DON'T BE DUMB,"Tailor Swif [V1]
(prod. Hitkidd)","Presumably earlier single art for the leaked track ""Taylor Swift"", also known as ""Wetty"". The cover was posted by Rocky in late 2022 / early 2023 and was deleted shortly after. Merch with the cover was put out in early 2023 as well but the song never got an official release, and as Rocky stated in a Complex interview it won't be on his album ""DON'T BE DUMB"". Follows the film-like theme from many previous singles ""Babushka Boi"", ""D.M.B."" and ""Shittin' Me"".",N/A,"Dec 8, 2022",,Front Cover,Unused,https://cdn.discordapp.com/attachments/1113173027048411166/1136874578510106686/9kpbsilez0va1.png
DON'T BE DUMB,"French Montana - Chit Chat
(feat. A$AP Rocky, Smooky MarGielaa, DJ Drama) (prod. DJ Drama)","Single art for French Montana's ""Chit Chat"" featuring A$AP Rocky, Smooky Margielaa & DJ Drama.",N/A,"Jan 6, 2023",,Front Cover,Used,
DON'T BE DUMB,Same Problems?,"Single art for ""Same Problems?"". Designed by Pierre Fischer who shared the image without text on his Instagram page. The cover shows Rocky with a American flag wrapped around him which may be a reference to his first studio album, ""LONG.LIVE.A$AP"" but this is unconfirmed.",Pierre Fischer,"Jan 18, 2023",,Front Cover,Used,
DON'T BE DUMB,RIOT (Rowdy Pipe'n),"Single art for ""RIOT (Rowdy Pipe'n)"". The original image without the text and Rocky in the middle was posted on Instagram.",N/A,"Jul 20, 2023",,Front Cover,Used,https://cdn.discordapp.com/attachments/1113173027048411166/1136875591547768923/IMG_4213.jpg
DON'T BE DUMB,"RIOT (Rowdy Pipe'n) 
[Unused Cover 1]",,Peter Cepeda,,,,,
DON'T BE DUMB,"RIOT (Rowdy Pipe'n) 
[Unused Cover 2]",,Pierre Fischer,,,,,
DON'T BE DUMB,DON'T BE DUMB [Placeholder Cover],"In July 2023 Metro Boomin posted a ""DON'T BE DUMB"" cover on his Instagram story. It is very similar to the all white placeholders but with some shadow effect at the top.",N/A,"Jul 21, 2023",,Front Cover,Alternate,
DON'T BE DUMB,"I Smoked Away My Brain (I’m God x Demons Mashup)
(with Clams Casino & Imogen Heap) (prod. Clams Casino)","Single art for ""I Smoked Away My Brain (I’m God x Demons Mashup)"". The image is just the 2021 re-release cover for the mixtape LIVE.LOVE.A$AP without the A$AP Yams birthmark.",Brock Fetch,"Aug 18, 2023",,Front Cover,Used,https://i1.sndcdn.com/artworks-oiVjwydmBDjh-0-original.jpg
DON'T BE DUMB,"Free Nationals - Gangsta
(with A$AP Rocky & Anderson .Paak) (prod. Anderson .Paak & Free Nationals)",,N/A,,,Front Cover,Used,https://i1.sndcdn.com/artworks-8DTso08DQ7kG-0-original.jpg
DON'T BE DUMB,DON'T BE DUMB [Placeholder Cover],"Placeholder art used for A$AP Rocky's 4th studio album ""DON'T BE DUMB""'s pre save page, not the final album art.",N/A,"Jun 21, 2024",,Front Cover,Alternate,https://cdn.smehost.net/formssonymusicfanscom-appirioprod/wp-content/uploads/2023/07/Image-10-scaled.jpeg
DON'T BE DUMB,DON'T BE DUMB [Placeholder Cover],,N/A,"Jun 21, 2024",,Front Cover,Alternate,
DON'T BE DUMB,"HIGHJACK
(feat. Jessica Pratt) (prod. Greg Kurstin, Jordan Patrick, Zach Fogarty & Hitkidd)",,N/A,"Aug 2, 2024",,Front Cover,Used,https://i1.sndcdn.com/artworks-TsYT7ib50S1T-0-original.jpg
DON'T BE DUMB,"DON'T BE DUMB [Concept Covers]
(art dir. Tim Burton)","In his Billboard interview, Rocky said that he played his album to Tim Burton and also wanted him to create the main cover though it never came through due to scheduling conflicts. It's heavily presumed there are concept covers for this.",Tim Burton,N/A,N/A,Concept Art,Rumored,
DON'T BE DUMB,"Tailor Swif [V2]
(prod. Hitkidd)",,N/A,"Aug 30, 2024",,Front Cover,Used,https://i1.sndcdn.com/artworks-m6YoX2c7MQCL-0-original.jpg
DON'T BE DUMB,"Ruby Rosary 
(feat. J. Cole) (prod. The Alchemist)",,Pierre Fischer,"Sep 6, 2024",,Front Cover,Used,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/83/49/46/834946f3-6c8d-6390-9f8e-f487cdc4facc/196872424621.jpg/3000x3000bb.jpg
DON'T BE DUMB,"Hanumankind & Kalmi - Big Dawgs (Remix)
(feat. A$AP Rocky) (prod. Kalmi)",,N/A,"Dec 6, 2024",,Front Cover,Used,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/3f/87/8d/3f878d59-1189-e53e-fb9c-1aa4490befa3/24UM1IM30934.rgb.jpg/3000x3000bb.jpg
DON'T BE DUMB,"Rolling Loud Los Angeles 2025 
[Promo #1]","Promo for Rocky's Rolling Loud Los Angeles 2025 performance on March 15th, 2025. Posted by AWGE on their Instagram story on March 14th, 2025. The design(s) take heavy inspiration from 1930's silent German films, aka German Expressionism.",N/A,"Mar 14, 2025",,Promo,Used,
DON'T BE DUMB,"Rolling Loud Los Angeles 2025 
[Promo #2]","Promo for Rocky's Rolling Loud Los Angeles 2025 performance on March 15th, 2025. Posted by AWGE on their Instagram story on March 14th, 2025. The design(s) take heavy inspiration from 1930's silent German films, aka German Expressionism.",N/A,"Mar 14, 2025",,Promo,Used,
DON'T BE DUMB,"Rolling Loud Los Angeles 2025 
[Promo #3]","Promo for Rocky's Rolling Loud Los Angeles 2025 performance on March 15th, 2025. Posted by AWGE on their Instagram story on March 14th, 2025. The design(s) take heavy inspiration from 1930's silent German films, aka German Expressionism.",N/A,"Mar 14, 2025",,Promo,Used,
DON'T BE DUMB,"Rolling Loud Los Angeles 2025 
[Promo #4]","Promo for Rocky's Rolling Loud Los Angeles 2025 performance on March 15th, 2025. Posted by AWGE on their Instagram story on March 14th, 2025. The design(s) take heavy inspiration from 1930's silent German films, aka German Expressionism.",N/A,"Mar 14, 2025",,Promo,Used,
DON'T BE DUMB,"Rolling Loud Los Angeles 2025 
[Promo #5]","Promo for Rocky's Rolling Loud Los Angeles 2025 performance on March 15th, 2025. Posted by AWGE on their Instagram story on March 14th, 2025. The design(s) take heavy inspiration from 1930's silent German films, aka German Expressionism.",N/A,"Mar 14, 2025",,Promo,Used,
DON'T BE DUMB,Rolling Loud Los Angeles 2025 [Unused #1],"Promo outtakes for Rocky's Rolling Loud Los Angeles 2025 performance on March 15th, 2025. The design(s) take heavy inspiration from 1930's silent German films, aka German Expressionism. One image features a parental advisory logo, potentially meaning it was an album cover.",N/A,N/A,,Promo,Unused,
DON'T BE DUMB,"pray4dagang
(feat. Kaycyy)",,,7/4/2025,,Front Cover,Used,
DON'T BE DUMB,"DON'T BE DUMB
[Official Album Cover]",,A$AP Rocky & Tim Burton,12/16/2025,,Front Cover,Used,
DON'T BE DUMB,"DON'T BE DUMB
[Mr Mayers Version]",,A$AP Rocky & Tim Burton,12/19/2025,,Front Cover,Used,
DON'T BE DUMB,"DON'T BE DUMB
[Mr Mayers Alternate Version]",,A$AP Rocky & Tim Burton,12/19/2025,,Back Cover,Used,
DON'T BE DUMB,"DON'T BE DUMB
[Mr Mayers Tracklist]",,A$AP Rocky & Tim Burton,,,Back Cover,Used,
DON'T BE DUMB,"DON'T BE DUMB
[Mr Mayers Booklet; Front Cover]",,A$AP Rocky,,,Packaging,Used,
DON'T BE DUMB,"DON'T BE DUMB
[Mr Mayers Booklet; Page 1]",,A$AP Rocky & Tim Burton,,,Packaging,Used,
DON'T BE DUMB,"DON'T BE DUMB
[Mr Mayers Booklet; Page 2]",,A$AP Rocky,,,Packaging,Used,
DON'T BE DUMB,"DON'T BE DUMB
[Mr Mayers Booklet; Page 3]",,A$AP Rocky & Tim Burton,,,Packaging,Used,
DON'T BE DUMB,"DON'T BE DUMB
[Mr Mayers Booklet; Page 4]",,A$AP Rocky & Tim Burton,,,Packaging,Used,
DON'T BE DUMB,"DON'T BE DUMB
[Mr Mayers Booklet; Page 5]",,A$AP Rocky & Tim Burton,,,Packaging,Used,
DON'T BE DUMB,"DON'T BE DUMB
[Mr Mayers Booklet; Page 6]",,A$AP Rocky & Tim Burton,,,Packaging,Used,
DON'T BE DUMB,"DON'T BE DUMB
[Mr Mayers Booklet; Back Cover]",,A$AP Rocky & Tim Burton,,,Packaging,Used,
DON'T BE DUMB,"DON'T BE DUMB
[Mr Mayers Printed Sleeve;
SIDE A & B]",,A$AP Rocky & Tim Burton,,,Packaging,Used,
DON'T BE DUMB,"DON'T BE DUMB
[Mr Mayers Printed Sleeve;
SIDE C & D]",,A$AP Rocky & Tim Burton,,,Packaging,Used,
DON'T BE DUMB,"DON'T BE DUMB
[GR1M Version]",,A$AP Rocky & Tim Burton,12/20/2025,,Front Cover,Used,
DON'T BE DUMB,"DON'T BE DUMB
[GR1M Alternate Version]",,A$AP Rocky & Tim Burton,12/20/2025,,Back Cover,Used,
DON'T BE DUMB,"DON'T BE DUMB
[GR1M Booklet; Front Cover]",,A$AP Rocky & Tim Burton,,,Packaging,Used,
DON'T BE DUMB,"DON'T BE DUMB
[GR1M Booklet; Page 1]",,,,,Packaging,Used,
DON'T BE DUMB,"DON'T BE DUMB
[GR1M Booklet; Page 2]",,A$AP Rocky & Tim Burton,,,Packaging,Used,
DON'T BE DUMB,"DON'T BE DUMB
[GR1M Booklet; Page 3]",,,,,Packaging,Used,
DON'T BE DUMB,"DON'T BE DUMB
[GR1M Booklet; Page 4]",,,,,Packaging,Used,
DON'T BE DUMB,"DON'T BE DUMB
[GR1M Booklet; Page 5]",,A$AP Rocky & Tim Burton,,,Packaging,Used,
DON'T BE DUMB,"DON'T BE DUMB
[GR1M Booklet; Page 6]",,,,,Packaging,Used,
DON'T BE DUMB,"DON'T BE DUMB
[GR1M Booklet; Back Cover]",,,,,Packaging,Used,
DON'T BE DUMB,"DON'T BE DUMB
[GR1M Insert]",,A$AP Rocky & Tim Burton,,,Packaging,Used,
DON'T BE DUMB,"DON'T BE DUMB
[Shirthead Version]",,A$AP Rocky & Tim Burton,12/20/2025,,Front Cover,Used,
DON'T BE DUMB,"DON'T BE DUMB
[Shirthead Alternate Version]",,A$AP Rocky & Tim Burton,12/20/2025,,Back Cover,Used,
DON'T BE DUMB,"DON'T BE DUMB
[Babushka Version]",,A$AP Rocky & Tim Burton,12/20/2025,,Front Cover,,
DON'T BE DUMB,"DON'T BE DUMB
[Babushka Alternate Version]",,A$AP Rocky & Tim Burton,12/20/2025,,Back Cover,,
DON'T BE DUMB,"DON'T BE DUMB
[Babushka Booklet; Front Page]",,,,,Packaging,Used,
DON'T BE DUMB,"DON'T BE DUMB
[Babushka Booklet; Page 1]",,,,,Packaging,Used,
DON'T BE DUMB,"DON'T BE DUMB
[Babushka Booklet; Page 2]",,,,,Packaging,Used,
DON'T BE DUMB,"DON'T BE DUMB
[Babushka Booklet; Page 3]",,,,,Packaging,Used,
DON'T BE DUMB,"DON'T BE DUMB
[Babushka Booklet; Page 4]",,,,,Packaging,Used,
DON'T BE DUMB,"DON'T BE DUMB
[Babushka Booklet; Back Cover]",,,,,Packaging,Used,
DON'T BE DUMB,"DON'T BE DUMB
[Rugahand Version]",,A$AP Rocky & Tim Burton,12/20/2025,,Front Cover,Used,
DON'T BE DUMB,"DON'T BE DUMB
[Rugahand Alternate Version]",,A$AP Rocky & Tim Burton,12/20/2025,,Back Cover,Used,
DON'T BE DUMB,"DON'T BE DUMB
[Dummy Version]",,A$AP Rocky & Tim Burton,12/20/2025,,Front Cover,Used,
DON'T BE DUMB,"DON'T BE DUMB
[Dummy Alternate Version]",,A$AP Rocky & Tim Burton,12/18/2025,,Back Cover,Used,
DON'T BE DUMB,"DON'T BE DUMB
[Mayers Family Version]",,A$AP Rocky & Tim Burton,"Jan 16, 2026",,Front Cover,Used,
DON'T BE DUMB,"DON'T BE DUMB
[Mayers Family Alternate Version]",,A$AP Rocky & Tim Burton,"Jan 16, 2026",,Back Cover,Used,
DON'T BE DUMB,"DON'T BE DUMB
[Group Version]",,A$AP Rocky & Tim Burton,"Jan 16, 2026",,Front Cover,Used,
DON'T BE DUMB,"DON'T BE DUMB
[Group Alternate Version]",,A$AP Rocky & Tim Burton,"Jan 16, 2026",,Back Cover,Used,
DON'T BE DUMB,"DON'T BE DUMB
[Mr Mayers + Group Version]",,A$AP Rocky & Tim Burton,,,Back Cover,Used,
DON'T BE DUMB,Punk Rocky,"Single cover art for ""Punk Rocky"", lead single for the 2026 version of DON'T BE DUMB. Art inspired by PaRappa the Rapper.",Kaden Peach & Pierre Fischer,"Jan 6, 2026",,Front Cover,Used,
DON'T BE DUMB,"Punk Rocky
[Alternate Cover]",Posted to Rocky's Instagram after Punk Rocky released.,,"Jan 6, 2026",,Back Cover,Unused,
DON'T BE DUMB,HELICOPTER,"Single cover art for ""HELICOPTER"", second single for the 2026 version of DON'T BE DUMB. Art inspired by the GTA series.",Pierre Fischer,"Jan 11, 2026",,Front Cover,Used,
DON'T BE DUMB,STOLE YA FLOW,"Single cover art for ""STOLE YA FLOW"", track 4 on the 2026 version of DON'T BE DUMB. Art inspired by Syphon Filter.",Pierre Fischer,"Jan 17, 2026",,Front Cover,Used,
DON'T BE DUMB,STOLE YA FLOW,"Disk style single cover art for ""STOLE YA FLOW"", track 4 on the 2026 version of DON'T BE DUMB. Art inspired by Syphon Filter.",Pierre Fischer,"Jan 17, 2026",,Front Cover,Used,
DON'T BE DUMB,BLACK DEMARCO,"Single cover art for ""AIR FORCE (BLACK DEMARCO"", track 11 on the 2026 version of DON'T BE DUMB. Art inspired by Crazy Taxi.",Pierre Fischer,"Jan 20, 2026",,Front Cover,Used,
DON'T BE DUMB,BLACK DEMARCO,"Disk style single cover art for ""AIR FORCE (BLACK DEMARCO)"", track 11 on the 2026 version of DON'T BE DUMB. Art inspired by Crazy Taxi.",Pierre Fischer,"Jan 20, 2026",,Front Cover,Used,
