Era,Name,Notes,Designer,Date,Image,Art Type,Use,Link(s)
LONG.LIVE.A$AP,"Wild for the Night
(with Skrillex & Birdy Nam Nam) (prod. Skrillex, A$AP Rocky, Birdy Nam Nam)","The single art for the song titled ""Wild for the Night"" with Skrillex and Birdy Nam Nam which was released with this cover on SoundCloud on January 12th, 2013, but later released as a single on March 26th, 2013. The cover which was designed by Joe Perez shows Rocky standing with three people with skulls as heads. The cover is very similar to the ""Long Live A$AP"" and ""Fashion Killa"" single arts.",Joe Perez,"Jan 12, 2013",,Front Cover,Used,https://ibb.co/py9j3mH
LONG.LIVE.A$AP,"Pretty Flacko (Remix)
(feat. Waka Flocka Flame, Gucci Mane & Pharrell Williams) (prod. SpaceGhostPurrp)","Due to the beef between Rocky and SpaceGhostPurrp the song ""Pretty Flacko (Remix)"", which was originally intended to appear on the album, was instead included with the the purchase of ""LONG.LIVE.A$AP"" on January 15th, 2013. The covers original imagine is a photo of Rocky sipping on a cup of whine while wearing a hat that states ""VSVP"". The cover colors his ring gold as well which makes it stand out amongst other covers.",Joe Perez,"Jan 15, 2013",,Front Cover,Used,https://ibb.co/WFTDP5S
LONG.LIVE.A$AP,LONG.LIVE.A$AP (Deluxe) [V2]," Updated deluxe cover for Rocky's first studio album ""LONG.LIVE.A$AP"" which was released on January 15th, 2013 and overtime has became the 'main' album cover even though this is just for the deluxe. The cover was designed by Joe Perez with a photo taken by Phil Knott shows Rocky wrapping an American flag around his body which is a call back to Rocky's first mixtape ""LIVE.LOVE.A$AP"" while a flag would appear again on ""AT.LONG.LAST.A$AP"". The difference from the original cover is that this is the full image of Rocky rather than him being split, but this cover is different from both versions as the coloration is different making Rocky's skin noticeably brighter.",Joe Perez,"Jan 15, 2013",,Front Cover,Used,
LONG.LIVE.A$AP,LONG.LIVE.A$AP [CD Back Cover],"Back cover for the CD version of the album ""LONG.LIVE.A$AP"" which was released on January 15th, 2013. The cover features the tracklist for the album but does not list the producer for each track as the deluxe pre-order tracklist did. The bottom of the cover features a lot of information along with several of Rocky's social medias and websites.",Joe Perez,"Jan 15, 2013",,Back Cover,Used,
LONG.LIVE.A$AP,LONG.LIVE.A$AP (Deluxe) [Vinyl Back Cover],"Back cover for the vinyl version of the album ""LONG.LIVE.A$AP"" which was released on January 15th, 2013. The cover features the tracklist for the album but does not list the producer for each track as the deluxe pre-order tracklist did. The bottom of the cover features a lot of information along with several of Rocky's social medias and websites. The cover also features sides one through four all featuring four tracks each.",Joe Perez,"Jan 15, 2013",,Back Cover,Used,
LONG.LIVE.A$AP,LONG.LIVE.A$AP [CD Showcase #1],"Frontside of the CD packaging for LONG.LIVE.A$AP, posted on Joe Perez's portfolio.",Joe Perez,"Jan 15, 2013",,Packaging,Used,
LONG.LIVE.A$AP,LONG.LIVE.A$AP [CD Showcase #2],"Backside of the CD packaging for LONG.LIVE.A$AP, posted on Joe Perez's portfolio.",Joe Perez,"Jan 15, 2013",,Packaging,Used,
LONG.LIVE.A$AP,LONG.LIVE.A$AP (Deluxe) [CD Disc Tray],"The CD disc tray for the album ""LONG.LIVE.A$AP"" which was released on January 15th, 2013. The disc that was designed by Joe Perez has the static effect with Rocky and the albums name along with credits at the bottom.",Joe Perez,"Jan 15, 2013",,Packaging,Used,
LONG.LIVE.A$AP,LONG.LIVE.A$AP (Deluxe) [CD Booklet Front & Back Cover],"The cover for the ""LONG.LIVE.A$AP"" CD booklet which was released on January 15th, 2013 and shared by the designer Joe Perez himself. Features the main cover on the front and a continuation of it for the back half. ",Joe Perez,"Jan 15, 2013",,Packaging,Used,
LONG.LIVE.A$AP,LONG.LIVE.A$AP (Deluxe) [CD Booklet Page #1 & #2],"The first two pages to the CD booklet for the ""LONG.LIVE.A$AP"" album which was released on January 15th, 2013 shared by the designer Joe Perez himself. This is the first tracklist page featuring the songs ""Long Live A$AP"", ""Goldie"" and ""PMW (All I Really Need)"" while also stating each tracks credits. The second page also shows the tracklist featuring the songs ""LVL"", ""Hell"" and ""Pain"" also stating the credits for each track. The pages along with the rest of the booklet follow the style of government documents.",Joe Perez,"Jan 15, 2013",,Packaging,Used,
LONG.LIVE.A$AP,LONG.LIVE.A$AP (Deluxe) [CD Booklet Page #3 & #4],"The third and fourth pages to the CD booklet for the ""LONG.LIVE.A$AP"" album which was released on January 15th, 2013 shared by the designer Joe Perez himself. The third page shows an ID of Rocky with his name listed as A$AP Rocky, his preferred name as LONG.LIVE.A$AP, his real birthday as well as the issue date being June 9th, 2012, but it is unknown what significance this date holds as of now. The fourth page in the booklet continues the tracklist featuring the songs ""F***kin' Problems"" and ""Wild for the Night"" while also stating the credits for the songs. The pages along with the rest of the booklet follow the style of government documents.",Joe Perez,"Jan 15, 2013",,Packaging,Used,
LONG.LIVE.A$AP,LONG.LIVE.A$AP (Deluxe) [CD Booklet Page #5 & #6],"The fifth and sixth pages to the CD booklet for the ""LONG.LIVE.A$AP"" album which was released on January 15th, 2013 shared by the designer Joe Perez himself. The fifth page continues the tracklists featuring the songs ""1Train"" and ""Fashion Killa"" while stating the credits for both songs. The sixth page also continues the tracklist featuring ""Phoenix"", ""Suddenly"" and lists the first of the bonus tracks ""Jodye"" while staying the credits for each of those songs. The pages along with the rest of the booklet follow the style of government documents.",Joe Perez,"Jan 15, 2013",,Packaging,Used,
LONG.LIVE.A$AP,LONG.LIVE.A$AP (Deluxe) [CD Booklet Page #7 & #8],"The sixth and seventh pages to the CD booklet for the ""LONG.LIVE.A$AP"" album which was released on January 15th, 2013 shared by the designer Joe Perez himself. The sixth page shows one half of the same photo used in the ""Wild for the Night"" single art with much less editing. In the top left corner of this page, in fashion of government documents, shows a declassified stamp which did not appear in the vinyl version of this photo. The seventh page is a continuation of the photo and shows Rocky leaned against a wall.",Joe Perez,"Jan 15, 2013",,Packaging,Used,
