Year,YearTotal,Era,Name,Content,Price,Start,End,Type,Status,Link
2025,,LOVE LASTS FOREVER [V1],1x Blind with Bonuses,"Main Song
🏆 All I Know (Crushed Up) - $6,000

Bonus
Diamondback ($2,500/$6,000) - REACHED
🏆 Duffle Bag (Jackie Chan) ($3,000/$6,000) - REACHED
Know We Lit ($3,500/$6,000) - REACHED
🏆 Tycoon (Designer) ($4,500/$6,000) - REACHED","$6,000","May 16, 2025","May 17, 2025",Blind,Completed,
2025,,LOVE LASTS FOREVER [V2],1x BLIND LLF era,"Main Song
Where TF My Plug","$1,350","May 8, 2025","May 15, 2025",Blind,Completed,
2025,,Multiple Eras,2x BLIND previewed,"Main Song
All Day (2024) - $650
Didn't Care (2023) - $650","$1,300","Apr 28, 2025","Apr 29, 2025",Blind,Completed,
2025,,LOVE LASTS FOREVER [V2],1x BLIND LLF grail,"Main Song
🥇 Made For Me (Japanese)","$2,500","Mar 24, 2025",N/A,Blind,Completed,
2025,,LOVE LASTS FOREVER [V2],1x BLIND LLF grail,"Main Song
🏆 Say Nun (Chain Talk)",$2250,"Mar 21, 2025",N/A,Blind,Completed,
2025,,LOVE LASTS FOREVER [V1],1x BLIND wanted LLF song,"Main Song
🥇 I'm Stuntin'",$2250,"Mar 20, 2025",N/A,Blind,Completed,
2025,,LOVE LASTS FOREVER [V1],"Head Hurting
(prod. star boy, Outtatown, MISOGI & SILENTHEAVEN)
(Right Wrist)","Main Song
Head Hurting","$3,333","Mar 1, 2025",N/A,Normal,Completed,
2025,,LOVE LASTS FOREVER [V2],Tryna Find You + Pneumonia,"Main Song
Tryna Find You - $1,500
Pneumonia - $3,000","$3,000","Feb 21, 2025","Feb 24, 2025",Normal,Completed,
2025,,If Looks Could Kill,"BLIND 1 Ken X Lone per $1,000 donated","Main Song
🏆 Real Deal Vampire (Hentai/Crashout) - $1,000
🥇 Hellcat (Lean Sipper) - $2,000","$2,000","Feb 15, 2025","Feb 15, 2025",Bundle,Completed,
2025,,LOVE LASTS FOREVER [V1],3x Love Lasts Forever,"Main Song
Listen 2 
Get Back
Ask Everybody","$3,000",N/A,Feb 15. 2025,Blind,Completed,
2025,,LOVE LASTS FOREVER [V1],Digital Seizure (Breathe),"Main Song
Digital Seizure (Breathe)

Bonus
Digital Seizure [Instrumental]","$1,000","Jan 26, 2025",Jan 27. 2025,Normal,Completed,
2025,,LOVE LASTS FOREVER [V1],1x BLIND LOVE LASTS FOREVER ERA,"Main Song
She Wanna Pop That","$1,400","Jan 17, 2025","Jan 18, 2025",Blind,Completed,
2025,,LOVE LASTS FOREVER [V1],"🏆 Cost 
(prod. Ginseng, MISOGI, star boy & Outtatown)
(Fatal Attraction)","Main Song
🏆 Cost","$4,444",,"Jan 22, 2025",Normal,Completed,
2024,,LOVE LASTS FOREVER [V2],"Off The Ground
(prod. Cade, RAFMADE, ‎xgiannii & BeatsByJuko)
(Come Alive)","Main Song
Off The Ground
Buy raised 46 dollars in one day, resulting in tune cancelling the buy alongside any future buys for a while 💀","$2,000","Oct 1, 2024",Cancelled,Normal,Cancelled,
2024,,LOVE LASTS FOREVER [V1],"🏆 HOLDING IT DOWN
(prod. Zodiac, Bhristo, Turro & FlyGuy, star boy)","Main Song
🏆 Holding It Down

Bonus
Holding It Down [Instrumental] - $2,000
The song leaked the same day starboy finally agreed to clear the song for release, resulting in it being scrapped from the LLF deluxes.","$4,000","Sep 8, 2024","Sep 10, 2024",Normal,Completed,
2024,,LOVE LASTS FOREVER [V2],Drowsy,"Main Song
Drowsy - $3,000","$3,000",Oct 2024,,Normal,Completed,
2024,,LOVE LASTS FOREVER [V2],"🏆 DOUBT IT
(prod. Lil 88, Clayco, Nick Spiders & 1Velveteen)
(Money Counter)","Main Song
🏆 Doubt It
Was on the tracklist for LLF at the time of the groupbuy.",N/A,Aug 2024,N/A,Normal,Completed,
2024,,LOVE LASTS FOREVER [V2],"🥇 LOVE HURTS
(feat. Lil Uzi Vert) (prod. Lil 88, Dylxn & ​yugen)
(Babymoneyvert)","Main Song
🥇 Love Hurts (with Lil Uzi Vert) 
Was on the tracklist for LLF at the time of the groupbuy.",N/A,Aug 2024,N/A,Normal,Completed,
2024,,LOVE LASTS FOREVER [V2],Creeping + She Know What To Do,,,May 2024,"May 30, 2024",,Completed,
2023,,NO STYLIST [V2],"Dark Escape
(prod. Clayco)","Main Song
Dark Escape
Barely any funds were raised for the buy, resulting in it being cancelled shortly after.",N/A,Sep 2023,Cancelled,Normal,Cancelled,
2022,,If Looks Could Kill,"🏆 Gone [V2]
(prod. Bhristo & Clayco)
(ROCK THA SHOW)","Main Song
🏆Gone (Rock Tha Show)
First ever Destroy Lonely groupbuy, finished in just 22 minutes.",$600,"Sep 28, 2022","Sep 28, 2022",Normal,Completed,
