Era,Name,Tracklist,Image,Date Made,Quality,Source,Link(s)
2093,2093,"Tracklist for 2093 as of February 12, 2024. Yeat previewed the filename for ""Lyfestylë"" in an Instagram Story, where above it had the text ""9.)Lyfestylë (ft wayne)✅,"" suggesting it was track 9 for 2093, but ended up being track 8 in final release. It is possible that the version of ""Familia"" on this tracklist included a Drake feature. Had 24 songs on the list but released with 22 in the final list, with the extra tracks according to an insider being ""The last supper"" and ""Out of my hands.""

9. Lyfestylë (feat. Lil Wayne)",,"Feb 12, 2024",Blocked,Yeat,N/A
2093,2093,"Leaked album copy tracklist for 2093 between February 12 to February 15, 2024. Leaked on December 28, 2024.

#?. 1093
#?. 2093
#?. As we speak (As We Speak)
#?. bought the earth (Bought The Earth)
#?. breathe (Breathe)
#?. familia (Familia)
#?. If We being real (If We Being Rëal)
#?. ILUV
#?. keep pushin (Keep Pushin)
#?. Lyfestyle (with Lil Wayne) [Lyfestylë]
#?. More (Morë)
#?. mr.inbetweenit (Mr. Inbetweenit)
#?. nothing change (Nothing Changë)
#?. out of my hands
#?. Power trip (feat. Childish Gambino) [Power Trip]
#?. Psycho CEO
#?. psychocaine (Psychocainë)
#?. RIOt / set it off (Riot & Set it off)
#?. RUN THEY MOUTH (Run Thëy Mouth)
#?. shade (Shadë)
#?. stand on it (feat. Future) [Stand On It]
#?. Team CEO (Team ceo)
#?. tell me (Tell më)
#?. the last supper
#?. time passed (Timë Passed)
#?. u should know (U Should Know)",,,Clear,Leaked,Link Needed
2093,2093,"Official tracklist for Phase 1 of 2093, announced the day before release.

1. Psycho CEO
2. Power Trip (feat. Childish Gambino)
3. Breathe
4. Morë
5. Bought The Earth
6. Nothing Changë
7. U Should Know
8. Lyfestylë (with Lil Wayne)
9. ILUV
10. Tell më
11. Shade
12. Keep Pushin
13. Riot & Set it off
14. Team ceo
15. 2093
16. Stand On It (with Future)
17. Familia
18. Mr. Inbetweenit
19. Psychocainë
20. Run Thëy Mouth
21. If We Being Rëal
22. 1093",,"Feb 16, 2024",Clear,Yeat,https://cdn.discordapp.com/attachments/977232637074767913/1207620494849998909/IMG_6440.png?ex=65e04f3a&is=65cdda3a&hm=8bc6c8084acee0dcd4c3a15e589a64495bd068adde372153b51d1b40a8704223&
2093,2093 (P2),"Official tracklist for Phase 2 of 2093, with the addition of 2 new songs, ""As We Speak"" featuring Drake, and ""Never quit."" Phase 2 was announced to release the moment Phase 2 released, with the titles of the two additional tracks being announced at the end of the ""Riot & Set it off"" music video, which was released later that day.

1. Psycho CEO
2. Power Trip (feat. Childish Gambino)
3. Breathe
4. Morë
5. Bought The Earth
6. Nothing Changë
7. As We Speak (feat. Drake)
8. U Should Know
9. Lyfestylë (with Lil Wayne)
10. ILUV
11. Tell më
12. Shade
13. Never quit
14. Keep Pushin
15. Riot & Set it off
16. Team ceo
17. 2093
18. Stand On It (with Future)
19. Familia
20. Mr. Inbetweenit
21. Psychocainë
22. Run Thëy Mouth
23. If We Being Rëal
24. 1093",,"Feb 17, 2024",Clear,Yeat,Link Needed
2093,2093 (P3),"Official tracklist for Phase 3 of 2093, with the addition of 4 new songs, ""Timë Passed"" (which leaked the day before), ""Oh My Pockëts,"" ""SKLUB,"" and ""H.A.B."" Exclusively available on 2093.shop.

1. Psycho CEO
2. Power Trip (feat. Childish Gambino)
3. Breathe
4. Morë
5. Bought The Earth
6. Nothing Changë
7. As We Speak (feat. Drake)
8. U Should Know
9. Lyfestylë (with Lil Wayne)
10. ILUV
11. Tell më
12. Shade
13. Never quit
14. Keep Pushin
15. Riot & Set it off
16. Team ceo
17. 2093
18. Stand On It (with Future)
19. Familia
20. Mr. Inbetweenit
21. Psychocainë
22. Run Thëy Mouth
23. If We Being Rëal
24. 1093
25. Timë Passed
26. Oh My Pockëts
27. SKLUB
28. H.A.B",,"Feb 21, 2024",Clear,Yeat,https://cdn.discordapp.com/attachments/1189275789590528097/1209940551642775672/IMG_2570.png?ex=65e8bff3&is=65d64af3&hm=3c185925cc5b8fc58ca5fc17f05b7fab35dd905535599ed4dbfb90fbb256b431&
LYFESTYLE [V2],King tonka - Single,"Official tracklist for ""King tonka - Single.""

1. King tonka
2. Heavy stunts (with Don Toliver)",Official Release,"May 3, 2024",Clear,Yeat,Link Needed
LYFESTYLE [V2],LYFESTYLE," A fan asked Zack Bia in DMs if ""STFU"" would appear on A DANGEROUS LYFE, in which he responded ""LS."" 

#?. STFU",,"May 13, 2024",N/A,Secondary,https://pillows.su/f/549b9766a8b4c2d9967a78a96eb45b08
LYFESTYLE [V2],LYFESTYLE,"Tracklist teased by @yeatupdates while previewing ""Geek timë"" in an Instagram post on May 28, 2024.

#?. ???
#?. Hit the ground
#?. so what? (SO WHAT)
#?. Geek timë (GEEK TIMË)
#?. The Coste (THE COSTËS)",,"May 28, 2024",Blocked,Secondary,Link Needed
LYFESTYLE [V2],LYFESTYLE,"Original tracklist for LYFESTYLE as of September 17, 2024 with 22 tracks.

1. ???
2. ???
3. ???
4. ???
5. ???
6. ???
7. ???
8. ???
9. ???
10. ???
11. ???
12. ???
13. ???
14. ???
15. ???
16. ???
17. ???
18. ???
19. ???
20. ???
21. LYFE PARTY
22. FATË (BONUS)",,"Sep 17, 2024",Blocked,Yeat,"https://api.pillows.su/api/download/492b84688361a96c6de880b619094d3f
https://api.pillows.su/api/download/ec3b5eb86d5cc8ffee137026f48bfeb0"
LYFESTYLE [V2],LYFESTYLË,"Early LYFESTYLE tracklist shared by Zack Bia in an Instagram Story on October 31, 2024.

1. GEEK TIMË
2. STFU (feat. ???)
3. THEY TELL ME
4. U DON'T KNOW LYFE
5. ORCHESTRATË
6. COSTËS (THE COSTËS)
7. BE QUIËT (feat. ???)
8. GO2WORK (feat. Summrs)
9. LUMINATE (ELIMINATË)
10. SO WHAT
11. GONE 4 A MIN
12. FOREVER AGAIN
13. ON 1
14. GOD TALKIN SHHH
15. LYFESTYLE (feat. Lil Durk)
16. GONË
17. NEW HIGH (feat. Don Toliver)
18. BARBARIAN
19. ???
5. SPEEDBALL (placed in between UDKL and ORCHESTRATË)",,,Blocked,Secondary,https://api.pillows.su/api/download/bfc29775dc365d81c12496126dc6050e
LYFESTYLE [V2],LYFESTYLE SIGNED 2LP VINYL,"Original tracklist for LYFESTYLE, indicated by merch (CPFM LYFESTYLE TRACKLIST TEE from LYFESTYLE CPFM BOX SET 2) listed for sale on October 14, 2024. Includes ""BARBARIAN"" instead of ""HEARD OF MË,"" with the former being removed last second and becoming a bonus track on the CD DRONE EDITION instead. Due to the last minute change, the original tracklist is what is pressed onto the signed 2LP vinyl.

1. GEEK TIMË
2. STFU
3. THEY TËLL ME
4. U DON'T KNOW LYFE
5. SPEEDBALL
6. ORCHESTRATE
7. THE COSTËS
8. BE QUIET (with LAZER DIM 700)
9. GO2WORK (with Summrs)
10. SO WHAT
11. GONE 4 A MIN
12. FOREVER AGAIN
13. ON 1
14. FLYTROOP
15. ELIMINATE
16. GOD TALKIN SHHH
17. LYFESTYLE (with Lil Durk)
18. NEW HIGH (with Don Toliver)
19. BARBARIAN
20. LYFE PARTY
21. FATË (BONUS)",,"Oct 14, 2024",Clear,Yeat,Link Needed
LYFESTYLE [V2],LYFESTYLE,"Official tracklist for the standard edition of LYFESTYLE, confirmed on October 15, 2024.

1. GEEK TIMË
2. STFU
3. THEY TËLL ME
4. U DON'T KNOW LYFE
5. SPEEDBALL
6. ORCHESTRATE
7. THE COSTËS
8. BE QUIET (with LAZER DIM 700)
9. GO2WORK (with Summrs)
10. SO WHAT
11. GONE 4 A MIN
12. FOREVER AGAIN
13. ON 1
14. FLYTROOP
15. ELIMINATE
16. GOD TALKIN SHHH
17. LYFESTYLE (with Lil Durk)
18. NEW HIGH (with Don Toliver)
19. HEARD OF MË
20. LYFE PARTY
21. FATË (BONUS)",,"Oct 15, 2024",Clear,Yeat,Link Needed
LYFESTYLE [V2],LYFESTYLE SIGNED CD (DUNE EDITION),"Tracklist for the DUNE EDITION of the LYFESTYLE SIGNED CD, including unique exclusive tracks 1 (""STYLE LYFE"") and 2 (""BACK THËN"").

1. GEEK TIMË
2. STFU
3. THEY TËLL ME
4. U DON'T KNOW LYFE
5. SPEEDBALL
6. ORCHESTRATË
7. THE COSTËS
8. BË QUIET (with LAZER DIM 700)
9. GO2WORK (with Summrs)
10. SO WHAT
11. GONE 4 A MIN
12. FOREVER AGAIN
13. ON 1
14. FLYTROOP
15. ELIMINATË
16. GOD TALKIN SHHH
17. LYFESTYLE (with Lil Durk)
18. NEW HIGH (with Don Toliver)
19. HEARD OF MË
20. LYFE PARTY
21. FATË (BONUS)
22. STYLE LYFE
23. BACK THËN",,"Oct 15, 2024",Clear,Yeat,Link Needed
LYFESTYLE [V2],LYFESTYLE SIGNED CD (DRONE EDITION),"Tracklist for the DRONE EDITION of the LYFESTYLE SIGNED CD, including unique exclusive tracks 3 (""5BRAZY"") and 4 (""BARBARIAN"").

1. GEEK TIMË
2. STFU
3. THEY TËLL ME
4. U DON'T KNOW LYFE
5. SPEEDBALL
6. ORCHESTRATE
7. THE COSTËS
8. BE QUIET (with LAZER DIM 700)
9. GO2WORK (with Summrs)
10. SO WHAT
11. GONE 4 A MIN
12. FOREVER AGAIN
13. ON 1
14. FLYTROOP
15. ELIMINATE
16. GOD TALKIN SHHH
17. LYFESTYLE (with Lil Durk)
18. NEW HIGH (with Don Toliver)
19. HEARD OF MË
20. LYFE PARTY
21. FATË (BONUS)
22. 5BRAZY
23. BARBARIAN",,"Oct 15, 2024",Clear,Yeat,Link Needed
LYFESTYLE [V2],LYFESTYLE SIGNED CD (HORSE EDITION),"Tracklist for the HORSE EDITION of the LYFESTYLE SIGNED CD, including unique exclusive track 5 (""GRAVËYARD"") and 6 (""GONË"").

1. GEEK TIMË
2. STFU
3. THEY TËLL ME
4. U DON'T KNOW LYFE
5. SPEEDBALL
6. ORCHESTRATE
7. THE COSTËS
8. BE QUIET (with LAZER DIM 700)
9. GO2WORK (with Summrs)
10. SO WHAT
11. GONE 4 A MIN
12. FOREVER AGAIN
13. ON 1
14. FLYTROOP
15. ELIMINATE
16. GOD TALKIN SHHH
17. LYFESTYLE (with Lil Durk)
18. NEW HIGH (with Don Toliver)
19. HEARD OF MË
20. LYFE PARTY
21. FATË (BONUS)
22. GRAVËYARD
23. GONË",,"Oct 15, 2024",Clear,Yeat,Link Needed
LYFESTYLE [V2],LYFESTYLE DIGITAL ALBUM,"Tracklist for the LYFESTYLE DIGITAL ALBUM, including unique exclusive track 7 (""PROJECT LYFESTYLE"").

1. GEEK TIMË
2. STFU
3. THEY TËLL ME
4. U DON'T KNOW LYFE
5. SPEEDBALL
6. ORCHESTRATE
7. THE COSTËS
8. BE QUIET (with Kodak Black & LAZER DIM 700)
9. GO2WORK (with Summrs)
10. SO WHAT
11. GONE 4 A MIN
12. FOREVER AGAIN
13. ON 1
14. FLYTROOP
15. ELIMINATE
16. GOD TALKIN SHHH
17. LYFESTYLE (with Lil Durk)
18. NEW HIGH (with Don Toliver)
19. HEARD OF MË
20. LYFE PARTY
21. FATË (BONUS)
22. PROJECT LYFESTYLE",Official Release,"Oct 15, 2024",Clear,Yeat,Link Needed
LYFESTYLE [V2],LYFESTYLE,"Final tracklist for LYFESTYLE, including ""LYING 5 FUN.""

1. GEEK TIMË
2. STFU
3. THEY TELL MË
4. HEARD OF MË
5. SPEEDBALL
6. U DON’T KNOW LYFE
7. ORCHESTRATË
8. BË QUIET (with Kodak Black & LAZER DIM 700)
9. THE COSTËS
10. GO2WORK (with Summrs)
11. GONE 4 A MIN
12. FOREVER AGAIN
13. ON 1
14. FLYTROOP
15. ELIMINATË
16. LYING 5 FUN
17. NEW HIGH (with Don Toliver)
18. SO WHAT
19. LYFESTYLE (with Lil Durk)
20. GOD TALKIN SHHH
21. LYFE PARTY
22. FATË (BONUS)",Official Release,"Oct 18, 2024",Clear,Yeat,Link Needed
LYFESTYLE DIGITAL DELUXE,LYFESTYLE DIGITAL DELUXE,"Tracklist for the original LYFESTYLE DIGITAL DELUXE sent out, accidentally missing ""FOR LYFE.""

1. GEEK TIMË
2. STFU
3. THEY TELL MË
4. HEARD OF MË
5. SPEEDBALL
6. U DON’T KNOW LYFE
7. ORCHESTRATË
8. BË QUIET (with Kodak Black & LAZER DIM 700)
9. THE COSTËS
10. GO2WORK (with Summrs)
11. GONE 4 A MIN
12. FOREVER AGAIN
13. ON 1
14. FLYTROOP
15. ELIMINATË
16. LYING 5 FUN
17. NEW HIGH (with Don Toliver)
18. SO WHAT
19. LYFESTYLE (with Lil Durk)
20. GOD TALKIN SHHH
21. LYFE PARTY
22. FATË (BONUS)
23. PROJECT LYFESTYLE
24. NIGHT COME
25. 5BRAZY REMIX (feat. Quavo)",Official Release,"Oct 24, 2024",Clear,Yeat,Link Needed
LYFESTYLE DIGITAL DELUXE,LYFESTYLE DIGITAL DELUXE,"Tracklist for LYFESTYLE DIGITAL DELUXE.

1. GEEK TIMË
2. STFU
3. THEY TELL MË
4. HEARD OF MË
5. SPEEDBALL
6. U DON’T KNOW LYFE
7. ORCHESTRATË
8. BË QUIET (with Kodak Black & LAZER DIM 700)
9. THE COSTËS
10. GO2WORK (with Summrs)
11. GONE 4 A MIN
12. FOREVER AGAIN
13. ON 1
14. FLYTROOP
15. ELIMINATË
16. LYING 5 FUN
17. NEW HIGH (with Don Toliver)
18. SO WHAT
19. LYFESTYLE (with Lil Durk)
20. GOD TALKIN SHHH
21. LYFE PARTY
22. FATË (BONUS)
23. PROJECT LYFESTYLE
24. FOR LYFE
25. NIGHT COME
26. 5BRAZY REMIX (feat. Quavo)",Official Release,"Oct 24, 2024",Clear,Yeat,Link Needed
A DANGEROUS LYFE [V1],A DANGEROUS LYFE,"On March 12, 2026, Tonka News revealed information about a December 2024 tracklist for A DANGEROUS LYFE: ""MOLLYKUP, U Could (feat will be revealed after ADL if it don’t drop) and a finished near 3 minute version of suk it under a different name were both on ADL 2024 tracklist."" The track ""Detach"" was revealed to be track 4 during the ""REUP"" groupbuy on May 25, 2026.

4. Detach (Let go)

#?. MOLLYKUP
#?. U COULD (with Travis Scott)
#?. cant go back",N/A,"Dec --, 2024",N/A,Leaked,N/A
DANGEROUS SUMMER,DANGEROUS SUMMER,"Tracklist for DANGEROUS SUMMER that was worked on in Saint-Tropez, France between June 30, 2025 to July 3, 2025. A covered whiteboard was seen in the background of a video posted to Instagram by @yeatbodyguard on July 3, 2025. The whiteboard was later partially seen in the background of an ""IM YEAT"" teaser posted by Yeat on Instagram on July 15, 2025.

#?. PUT IT ON GOD THO (feat. BNYX®)
#?. M.F.U. (feat. SahBabii)

Add
#?. loco? (Sheck?)
#?. 2much?
#?. Fly nite (???)",,,Blocked,Yeat,"https://i.ibb.co/Gv0QXh3G/2025-07-15-ADL-Tracklist-Saint-Tropez-yeat-IG-Post.png
https://pillows.su/f/8f1c77bbd92b6cb8737bd4ab8218aa1b"
DANGEROUS SUMMER,,"Tracklist for DANGEROUS SUMMER that was worked on in Saint-Tropez, France between June 30, 2025 to July 3, 2025.

#?. PUT IT ON GOD THO (feat. BNYX®)
#?. M.F.U. (feat. SahBabii)
#?. ??? (feat. Sexyy Red)

Add
#?. loco? (Sheck?)
#?. 2much?
#?. Fly nite (???)
#?. New Trip
#?. Messy",,,Blocked,Secondary,Link Needed
DANGEROUS SUMMER,DANGEROUS SUMMER [Physical Editions],"Original tracklist for DANGEROUS SUMMER for physical releases.

1. PUT IT ONG
2. LOCO
3. LOOSE LEAF
4. OH I DID (with NGeeYL)
5. COMË N GO
6. IM YEAT (with BNYX®)
7. M.F.U. (with SahBabii)
8. 2TONE (with Don Toliver)
9. FLY NITË
10. GROWING PAINS",Official Release,,N/A,Yeat,N/A
DANGEROUS SUMMER,DANGEROUS SUMMER,"Official tracklist for DANGEROUS SUMMER. Announced by Yeat in an Instagram Story on July 29, 2025.

1. PUT IT ONG
2. LOCO
3. LOOSE LEAF
4. OH I DID (with NGeeYL)
5. COMË N GO
6. [ADL IS COMING]
7. IM YEAT (with BNYX®)
8. M.F.U. (with SahBabii)
9. 2TONE (with Don Toliver)
10. FLY NITË (with FKA twigs)
11. GROWING PAINS",,"Aug 1, 2025",Clear,Yeat,Link Needed
ADL [V3],ADL,"Tracklist for ADL from late November 2025 during the first ADL camp, seen in a behind-the-scenes video of the ADL camps posted by producer Lucid in an Instagram post on May 12, 2026. Yeat posted Instagram Stories at the location (Malibu Dream Resort @ 10502 Yellow Hill Road, Malibu CA 90265) on November 25, 2025. Only the ""A DANGEROUS LYFE"" side is visible, but blurry.

A DANGEROUS LYFE

1. Purpose General
2. ???
3. ???
4. ???
5. ???
6. ???
7. ???

A DANGEROUS LOVE

???",,"Nov --, 2025",Blurry,Secondary,https://i.ibb.co/nMpS5Dqb/image.png
ADL [V3],ADL,"Tracklist for ADL from January 2026 during the ADL CAMP 2, seen in a behind-the-scenes video of the ADL camps posted by producer Lucid in an Instagram post on May 12, 2026. Yeat posted an Instagram Story at the location on January 12, 2026. 16 track entries are visible, but blurry.

1. ???
2. ???
3. My Way [V1]
4. ???
5. Made It On Our Own (with EsDeeKid)
6. Lose Control
7. Face The Flamë [V?]
8. Dangerous House
9. ???
10. Naked
11. ???
12. ???
13. Geek Luv
14. ???
15. Back Home (with Joji)
16. ???",,"Jan --, 2026",Blurry,Secondary,https://i.ibb.co/QvNVsMGF/image.png
ADL [V3],ADL (Physicals Edition),"Tracklist for ADL on physical editions of the album (including CDs and vinyl records).

1. Purpose General
2. Let King Tonka Talk
3. My Way
4. Liv Likë Dis
5. Made It On Our Own (with EsDeeKid)
6. Lose Control
7. Face The Flamë (with Grimes)
8. Dangerous House
9. NO MORE GHOSTS (with Kid Cudi)
10. Naked
11. 2Nite
12. Geek Luv
13. Silk Facë
14. My Timë (with Swizz Beatz)
15. Back Home (with Joji)
16. Up From Here",Official Release,,Clear,Yeat,N/A
ADL [V3],ADL,"Original tracklist for ADL.

Disc 1: A Dangerous Lyfe
1. Purpose General
2. Face The Flamë (with YoungBoy Never Broke Again & Grimes)
3. Lose Control (with Elton John)
4. Griddlë (with Don Toliver)
5. What I Want (with BNYX®)
6. Liv Likë Dis
7. My Way (with Julia Wolf)
8. Let King Tonka Talk (with King Kylie)
9. 2Planës
10. Dangerous House
11. NO MORE GHOSTS (with Kid Cudi)

Disc 2: A Dangerous Love
12. 2Nite
13. Geek Luv
14. Naked
15. Went Wrong (with 070 Shake)
16. Silk Facë
17. My Time (with Swizz Beatz)
18. Back Home (with Joji)
19. Up From Here",,"Mar 26, 2026",Clear,Yeat,Link Needed
ADL [V3],ADL,"Official tracklist for ADL.

Disc 1: A Dangerous Lyfe
1. Purpose General
2. Face The Flamë (with YoungBoy Never Broke Again & Grimes)
3. Lose Control (with Elton John)
4. Griddlë (with Don Toliver)
5. What I Want (with BNYX®)
6. Liv Likë Dis
7. Tallër
8. My Way (with Julia Wolf)
9. Let King Tonka Talk (with King Kylie)
10. Dangerous House
11. NO MORE GHOSTS (with Kid Cudi)

Disc 2: A Dangerous Love
12. 2Nite
13. Geek Luv
14. Naked
15. Went Wrong (with 070 Shake)
16. Real Life Shit
17. My Time (with Swizz Beatz)
18. 2Planës
19. Silk Facë
20. Back Home (with Joji)
21. Up From Here",Official Release,"Mar 26, 2026",Clear,Yeat,N/A
ADL [V3],ADL (Deluxe),"Official tracklist for ADL (Deluxe).

Disc 1: A Dangerous Lyfe
1. Purpose General
2. Face The Flamë (with YoungBoy Never Broke Again & Grimes)
3. Lose Control (with Elton John)
4. Griddlë (with Don Toliver)
5. What I Want (with BNYX®)
6. Liv Likë Dis
7. Tallër
8. My Way (with Julia Wolf)
9. Let King Tonka Talk (with King Kylie)
10. Dangerous House
11. NO MORE GHOSTS (with Kid Cudi)

Disc 2: A Dangerous Love
12. 2Nite
13. Geek Luv
14. Naked
15. Went Wrong (with 070 Shake)
16. Real Life Shit
17. My Time (with Swizz Beatz)
18. 2Planës
19. Silk Facë
20. Back Home (with Joji)
21. Up From Here
22. LOVELOVË IT",Official Release,"Mar 26, 2026",Clear,Secondary,N/A
Ongoing,"???
(GEEKY)","On April 15, 2026 at 4:52:27 AM, Yeat posted to X (formerly Twitter): ""im ngl i made 53 song past 48 hours."" This would suggest Yeat recorded 53 tracks across April 13, 2026 at 4:52:27 AM until April 15, 2026 at 4:52:27 AM. May include production from Trgc, as Yeat followed up in another post at 5:07:17 AM: ""trgcmadedat"". He later followed up same day at 4:22 PM, quoting the 53 track post in another post captioned ""i"" in which he showed a cropped [untitled] screenshot of an album (where only the last three letters ""EKY"" were visible) that showed 63 tracks and a total duration of 2 hours and 53 minutes, suggesting another 10 tracks were recorded.

1. ???
2. ???
3. ???
4. ???
5. ???
6. ???
7. ???
8. ???
9. ???
10. ???
11. ???
12. ???
13. ???
14. ???
15. ???
16. ???
17. ???
18. ???
19. ???
20. ???
21. ???
22. ???
23. ???
24. ???
25. ???
26. ???
27. ???
28. ???
29. ???
30. ???
31. ???
32. ???
33. ???
34. ???
35. ???
36. ???
37. ???
38. ???
39. ???
40. ???
41. ???
42. ???
43. ???
44. ???
45. ???
46. ???
47. ???
48. ???
49. ???
50. ???
51. ???
52. ???
53. ???
54. ???
55. ???
56. ???
57. ???
58. ???
59. ???
60. ???
61. ???
62. ???
63. ???",,"Apr 15, 2026",Blocked,Yeat,https://i.ibb.co/xt38tcTR/2026-04-15-T0821-00-Z-yeat1-X-post.jpg
