Era,Name,Tracklist,Image,Date Made,Quality,Source,Link(s)
We Us,We Us,"Official tracklist for We Us.

1. Not Enough
2. GoGo (feat. Izaya Tiji & Summrs)
3. Ups n Downs :(:",Official Release,"Apr 18, 2020",Clear,Yeat,N/A
DC2,"DC2
(with Clibbo)","The following songs were seen in a preview by Clibbo or leaked by either Yeat or Clibbo as ""##DC2 leaks.""

#?. Big HEY (with Clibbo)
#?. OTW! (with Clibbo)
#?. Soup (with Clibbo)
#?. US (with Clibbo)
#?. Buyin Shit (with Clibbo)",,Date Needed,Blocked,Secondary,https://pbs.twimg.com/media/Fo8Jaw0aEAAyPNH?format=jpg&name=large
Hold Ön,"Hold Ön
(Hold On)","Tracklist previewed by Yeat while previewing ""Glö Gö Up"" on Instagram.

#?. Expensice Taste (Expensive Taste)
#?. FR (Dis A AP)",,Date Needed,Blocked,Yeat,Link Needed
Hold Ön,"Hold Ön
(Hold On)","Tracklist previewed by Yeat while previewing """"Glö Gö Up"""" on Instagram.

#?. ???
#?. Night Time
#?. Glö Gö UP",,Date Needed,Blocked,Yeat,Link Needed
Hold Ön,Hold On/ IDEA,"Idea version of Hold On that was privately uploaded to Yeat's SoundCloud on August 10, 2020.

1. Monster
2. 100 Racocets
3. Big Kiid
4. Life Goes ON
5. Niight Time
6. Dëmon Time
7. Nobu",N/A,"Aug 10, 2020",Clear,Leaked,N/A
Hold Ön,"Hold Ön
(Hold On)","Tracklist previewed by Yeat while previewing ""Nickolodean"" in an Instagram post.

#?. Ëxotic
#?. 808s and Oxy
#?. Nickolodean",,Date Needed,Blocked,Yeat,Link Needed
Hold Ön,"Hold Ön
(Hold On)","Tracklist previewed by Yeat while previewing ""Call Up : Opiates"" in an Instagram post in 2020.

#?. ???
#?. Call Up / Opiates (Call Up : Opiates)
#?. Televised
#?. So Wrong",,Date Needed,Blocked,Yeat,Link Needed
Hold Ön,"Hold Ön
(Hold On)","Official tracklist for Hold Ön.

1. Nobu
2. Wassup
3. Money Fetish (feat. Weiland)
4. Geeker Day",Official Release,"Sep 10, 2020",Clear,Yeat,N/A
Alivë,Alivë,"Tracklist previewed by Yeat while previewing ""Probably"" in an Instagram Story.

#?. End of the day (End Of The Day)
#?. Fresh
#?. RolËy Daê 2 (RolËy DÆ 2)
#?. Probably (with Autumn!) (Probably!)",,Date Needed,Blocked,Yeat,Link Needed
Alivë,Alivë,"Tracklist previewed by Yeat while previewing ""Died Once"" in an Instagram post after the release of Hold Ön.

#?. 4 Nun (feat. Oodaredevil)
#?. Jus Came In
#?. Died Once
#?. Spoil me",,Date Needed,Blocked,Yeat,Link Needed
Alivë,Singles to drop on soundcloud,"Note titled ""Singles to drop on soundcloud"" containing a list of tracks intended to release as SoundCloud throwaways. Created on December 28, 2020 and was modified on April 4, 2021. Leaked on April 18, 2026.

#?. 2 up (2 Up)
#?. B light [V1]
#?. B!RTHDAY (BIRTHDAY)
#?. Balenci Feet (Balënci Feet)
#?. bopster [V2]
#?. demon speed
#?. evrywhere i go
#?. Fell in luv
#?. geekin
#?. get like this (Get like dis)
#?. Green
#?. Hit Making
#?. insane (feat. Izaya Tiji)
#?. Kant Luvv
#?. Krazy 2 me (Krazy 2 Më)
#?. look up
#?. nother league [V1]
#?. Oh eX whY
#?. Paradiese (Paradise)
#?. Punk
#?. Rackz
#?. RIsky
#?. Seent it all
#?. She luv god
#?. Suicidal
#?. Swerve (Swërve)
#?. Today (2day)
#?. Traumatized
#?. Tru 2 U (Tru to U)
#?. Walkd Inn [V1]
#?. Wit me [V1]
#?. Worth None [V2]
#?. WYE?",,"Dec 28, 2020",Blocked,Leaked,https://i.ibb.co/8ndGp9Vm/2026-04-18-Singles-to-drop-on-soundcloud-Leaked-Note.png
Alivë,NOCTURNAL,"Tracklist for a scrapped EP titled Nocturnal.

#?. Rackie Fitness",Image Needed,Date Needed,Blocked,Yeat,Link Needed
Alivë,NOCTURNAL,"Tracklist for a scrapped EP titled Nocturnal from January 2021 or earlier.

#?. 2high (Wavëy Krazy)
#?. Hëllo
#?. Feel it",,Date Needed,Blocked,Yeat,https://pillows.su/f/4f90cc66671ea46842db68e9d0352d3d
Alivë,Alivë,"Tracklist teased by Yeat in a note titled ""Tha album"" while previewing ""evrywhere i go"" on Instagram in January 2021, mainly containing songs from September 2020 to January 2021.

#?. Virgil
#?. Started Off
#?. That fasho
#?. London
#?. Movie Room
#?. Zak n Codeine
#?. Oxy Party
#?. Patterns
#?. Move
#?. SRT
#?. My Sh!t
#?. 2 full
#?. 50 peace
#?. My Doctor
#?. twizzy (Twizzy)
#?. RolËy Daê 2
#?. Night Time
#?. Duce
#?. BIRTHDAY
#?. Signing OFF
#?. Spoil me
#?. Move
#?. ??? (yeat x weilandrough)
#?. Slatt remix
#?. Yeat
#?. Pop Shyt
#?. Hunnids Long
#?. Demon
#?. Keep Goin
#?. Sunday Service
#?. nother league [V1]
#?. Swerve (Swërve)
#?. Fäshun week
#?. how u get like
#?. Lightshow
#?. Wat tha deal??
#?. i lyke
#?. 2fye 2
#?. Bizzy
#?. bopster
#?. Forever
#?. Today (2day)
#?. Seent it all
#?. Feel it
#?. Fell in luv
#?. ??? (v2)
#?. soufsied
#?. geekin
#?. high music
#?. No Earth
#?. knew waye
#?. 10 bones
#?. Cant Remember
#?. Duffles up
#?. WAR (WAR 1)
#?. Rackie Fitness
#?. Died Once
#?. Flashëy
#?. Flying
#?. ??? (yeat x pluto prod cade)
#?. W.A.H.W.G.C
#?. Punk monk
#?. Wont ChangË
#?. Slide
#?. Doublėd ÜP
#?. Suicidal
#?. evrywhere i go
#?. LEt GO
#?. Been 2 long
#?. Bak 2 bak / Truth (Finally #FRËË)
#?. Extraaa
#?. Rackz
#?. HYD
#?. too much
#?. Rockstar living (feat. SeptembersRich)
#?. Kant get like dis",,Date Needed,Blurry,Yeat,https://pillows.su/f/3c06094645f82897b15a8ce8b17725a8
Alivë,Alivë,"Tracklist previewed by Yeat while previewing ""B light"" in an Instagram Story, likely around February 4, 2021.

#?. ???
#?. X ta C
#?. Krazy 2 me
#?. B light
#?. Paradiese (Paradise)
#?. RIsky",,Date Needed,Blocked,Yeat,Link Needed
Alivë,Alivë,"Tracklist teased by Yeat while previewing ""insane"" in February 2021.

#?. Punk
#?. Green
#?. insane (feat. Izaya Tiji)",,Date Needed,Blocked,Yeat,Link Needed
Alivë,Alivë,"Tracklist teased by Yeat while previewing ""Oh eX whY,"" likely on February 11, 2021.

#?. insane (feat. Izaya Tiji)
#?. Oh eX whY
#?. Everything (Always Alivë)",,Date Needed,Blocked,Yeat,Link Needed
Alivë,Alivë,"Tracklist teased by Yeat while previewing ""look up"" on February 11, 2021.

#?. Everything (Always Alivë)
#?. Hit Making
#?. look up
#?. demon speed",,"Feb 11, 2021",Blocked,Yeat,Link Needed
Alivë,Alivë,"Note titled ""TRACKLIST"" containing a list of tracks on an early tracklist for Alivë, created on February 11, 2021 and modified on February 21, 2021. Leaked on April 18, 2026.

#?. 2 up (2 Up)
#?. 2high (Wavëy Krazy)
#?. 5am on x freestyle
#?. Balenci Feet (Balënci Feet)
#?. Bizzy
#?. Crashing Down (Cöming Down)
#?. Down badd
#?. Everything (Always Alivë)
#?. Feel it
#?. insane (feat. Izaya Tiji)
#?. Oh eX whY
#?. Punk
#?. RIsky
#?. She luv god
#?. Spend it
#?. Suicidal
#?. Swerve (Swërve)
#?. Today (2day)
#?. too in
#?. Tru 2 U (Tru to U)
#?. twizzy (Twizzy)
#?. Walkd Inn [V1]
#?. WAR (WAR 1)
#?. Wit my alien
#?. Worth None [V2]
#?. WYE?
#?. X ta C",,"Feb 11, 2021",Blocked,Leaked,https://pillows.su/f/d6d90d59c8f9ef515f2db17d8826f143
Alivë,Alivë,"Tracklist teased by Yeat while previewing ""She luv god"" and ""Worth None"" on or before February 15, 2021, and while previewing ""Down badd,"" ""Slimd em out,"" and ""look bakk"" on or before February 17, 2021.

#?. demon speed
#?. She luv god
#?. Wit me [V1]
#?. Worth None [V2]
#?. too in
#?. Spend it
#?. 5am on x freestyle
#?. Tru 2 U (Tru to U)
#?. look bakk (Löok Bakk)
#?. Crashing Down (Cöming Down)
#?. Slimd em out
#?. Down badd",,"Feb 15, 2021",Blocked,Yeat,Link Needed
Alivë,Alivë,"Tracklist teased by Yeat on Instagram on February 17, 2021.

4. She luv god
5. bakk in tha day (2 Up)
6. Bad heart + Changë (Last Day)
6. WYE?",,"Feb 17, 2021",Blocked,Yeat,https://i.ibb.co/Zr5cPL3/2021-02-17-2-up-prod-yeat-v4-yeat-IG-Post.png
Alivë,Alivë,"Tracklist previewed by Yeat on Instagram captioned ""Lockin it in 🚧.""

1. Alwäyz Alivë (Always Alivë)
2. Oh eX whY
3. X ta C
4. Feël Everything (Feel it)",,Date Needed,Blocked,Yeat,https://filepicker-images.genius.com/aK4fmW19RLCO5UaUNmow_IMG_1988.webp
4L with us,4L with us,"Note titled ""4L"" containing a list of tracks seemingly for 4L with us, likely created around February 24, 2021 and was modified on July 14, 2021. Leaked on April 18, 2026.

#?. 2 in
#?. 2 kut off
#?. 4LY
#?. Aint Shit Change
#?. All tha way
#?. All week
#?. Band or 2
#?. Booted [V3]
#?. Different Up [V2]
#?. Drug Party
#?. everday
#?. every typa bad
#?. Everything Up
#?. Feelinz
#?. Firemane (feat. Izaya Tiji)
#?. Izaya Tiji - fold up
#?. Fuckit (with SeptembersRich)
#?. Gettin hi [V1] (Gettin Hi)
#?. Go!
#?. i heard [V3]
#?. If i died
#?. myself
#?. Neon Bean
#?. neon green
#?. New OPP
#?. Ny
#?. personalitys [V1]
#?. Playd da coupe
#?. Rackz IN
#?. Real life
#?. Real or fake
#?. Sacrafice
#?. Say Sum
#?. Tha End
#?. Tha worstiee [V1] (Tha Worstie)
#?. Tha Wrld
#?. Go (feat. SeptembersRich & Izaya Tiji)",,Date Needed,Blocked,Leaked,https://i.ibb.co/XZ3ZRDwR/2026-04-18-4-L-Leaked-Note.png
Alivë,Alivë,"Tracklist previewed by Yeat while previewing ""Firemane"" on February 28, 2021.

#?. Firemane (feat. Izaya Tiji)
#?. Punk
#?. Balenci Feet (Balënci Feet)
#?. Swerve (Swërve)",,"Feb 28, 2021",Blocked,Yeat,Link Needed
4L with us,4L with us,"Tracklist previewed by Yeat while previewing ""4LY"" in Instagram posts likely on February 28, 2021.

#?. Comin Thru
#?. 4LY
#?. New OPP
#?. Tha Bëntly",,"Feb 28, 2021",Blocked,Yeat,Link Needed
Alivë,Alivë,"Tracklist previewed by Yeat while previewing ""All Lies"" on March 6, 2021.

#?. All Lies
#?. If i died
#?. Tonka
#?. All Season",,"Mar 6, 2021",Blocked,Yeat,Link Needed
4L with us,4L with us,"Yeat was previewing ""Every Sunday"" ahead of his new album 4L (displayed as 4L with us), where part of a demo tracklist was seen. Dated March 7, 2021 also with alternate cover art.

#?. 4LY
#?. Sacrafice",,"Mar 7, 2021",Blocked,Yeat,Link Needed
4L with us,4L with us,"Tracklist previewed by Yeat while previewing ""hi af"" in an Instagram post likely around March 12, 2021.

#?. Put somë In [V2]
#?. hi af [V1]
#?. Tesla OPEN
#?. Duh (with SeptembersRich)",,Date Needed,Blocked,Yeat,Link Needed
4L with us,4L with us,"Tracklist previewed by Yeat while previewing ""Done wit,"" ""everday"", and ""Say Sum,"" on or before March 23, 2021.

#?. Done wit
#?. everday
#?. Drug Party",,"Mar 23, 2021",Blocked,Yeat,Link Needed
