Era,Name,Notes,Designer,Date,Art,Art Type,Use,Link(s)
Members Only Vol. 2,"Rare, Part 2",,,,,Front Cover,Yes,/xgold/art/rare-part-2.jpg
Members Only Vol. 2,Chapter 1,Black square.,XXXTENTACION,,,Front Cover,Yes,/xgold/art/chapter-1.jpg
Members Only Vol. 2,Chapter 1 [Cover 2],Used for Fifty Grand's upload of the song.,,,,Front Cover,Yes,/xgold/art/chapter-1-cover-2.jpg
Members Only Vol. 2,"Chapter 2",An image of lilmixedhunny https://www.instagram.com/p/BpzDn0dhows/,lilmixedhunny,,,Front Cover,Yes,/xgold/art/chapter-2.jpg
Members Only Vol. 2,Chapter 1 (outro),,,,,Front Cover,Yes,/xgold/art/chapter-1-outro.jpg
Members Only Vol. 2,Save Me (Snippet),,,,,Front Cover,Yes,/xgold/art/save-me-snippet.jpg
Members Only Vol. 2,SHUT UP (Snippet),,,,,Front Cover,Yes,/xgold/art/shut-up-snippet.jpg
Members Only Vol. 2,Crush,Artwork for this track is lost. However we have a screeshot of what it looked like. NOTE: IMAGE USED IS A REMAKE.,Unknown,,,Front Cover,Yes,/xgold/art/crush.png
Members Only Vol. 2,Crush [Cover 2],,,,,Front Cover,Yes,/xgold/art/crush-cover-2.jpg
Members Only Vol. 2,VERY RARE FOREVER FREESTYLE,,XXXTENTACION,,,Front Cover,Yes,/xgold/art/very-rare-forever-freestyle.jpg
Members Only Vol. 2,I am!,Artwork for this track is lost. ,Unknown,,N/A,Lost,Yes,Unknown
Members Only Vol. 2,Broly,Black square.,XXXTENTACION,,,Front Cover,Yes,/xgold/art/broly.jpg
Members Only Vol. 2,I AM! (Snippet),,,,,Front Cover,Yes,/xgold/art/i-am-snippet.jpg
Members Only Vol. 2,LUNACY,,,,,Front Cover,Yes,/xgold/art/lunacy.jpg
Members Only Vol. 2,Netherrack (Snippet),Netherack texture from the game Minecraft.,Mojang,,,Front Cover,Yes,/xgold/art/netherrack-snippet.jpg
Members Only Vol. 2,Save Yourself (Snippet),"Recoloured image of ""The Devil and Tom Walker"" painting by Charles Deas made to accompany a tale created by Washington Irving in the 16th century.",Charles Deas,,,Front Cover,Yes,/xgold/art/save-yourself-snippet.jpg
Members Only Vol. 2,Netflix And Chill,,,,,Front Cover,Yes,/xgold/art/netflix-and-chill.jpg
Members Only Vol. 2,Caution (Snippet),,,,,Front Cover,Yes,/xgold/art/caution-snippet.jpg
Members Only Vol. 2,"TheresAnElephantInTheRoom (Acoustic Version)
",,,,,Front Cover,Yes,/xgold/art/theresanelephantintheroom-acoustic-version.jpg
Members Only Vol. 2,ImAloneImSorryCinthia,The Fall,,,,Front Cover,Yes,/xgold/art/imaloneimsorrycinthia.jpg
Members Only Vol. 2,Live Off A Lick,,,,,Front Cover,Yes,/xgold/art/live-off-a-lick.jpg
Members Only Vol. 2,Live Off A Lick [Cover 2],,,,,Front Cover,Yes,/xgold/art/live-off-a-lick-cover-2.jpg
Members Only Vol. 2,"TUMMY TUCK (XXX ""LICK"" VERSE)",,,,,Front Cover,Yes,/xgold/art/tummy-tuck-xxx-lick-verse.jpg
Members Only Vol. 2,Jinzo Shut The Trap Down,"Artwork for this track is either lost or unknown, its possible that it was KHAED's profile picture as he used it often. ",,,N/A,Lost,Yes,
Members Only Vol. 2,WingRiddenAngel,,,,,Front Cover,Yes,/xgold/art/wingriddenangel.jpg
Members Only Vol. 2,Members Only Vol. 2,,,,,Front Cover,Yes,/xgold/art/members-only-vol-2.jpg
KIDS,ILOVEITWHENTHEYRUN,,,,,Front Cover,Yes,/xgold/art/iloveitwhentheyrun.jpg
KIDS,Gnarly Freestyle!,"Cropped version of ""Lucifuge Rofocale And The Decapitator"" by Wayne Barlowe",Wayne Barlowe,,,Front Cover,Yes,/xgold/art/gnarly-freestyle.jpg
KIDS,IWATCHEDHIMDROWN (INTRO),,,,,Front Cover,Yes,/xgold/art/iwatchedhimdrown-intro.jpg
KIDS,GNARLY BASTARD,,,,,Front Cover,Yes,/xgold/art/gnarly-bastard.jpg
KIDS,GnarlyGuyAnthem! (Hell Version),,,,,Front Cover,Yes,/xgold/art/gnarlyguyanthem-hell-version.jpg
KIDS,"PISTOL remix!
",,,,,Front Cover,Yes,/xgold/art/pistol-remix.jpg
KIDS,PISTOL remix! [Cover 2],Zoomed in version of The Fall,,,,Front Cover,Yes,/xgold/art/pistol-remix-cover-2.jpg
KIDS,WitDemDicks!,,,,,Front Cover,Yes,/xgold/art/witdemdicks.jpg
KIDS,Unknown,"Cover for who knows what posted by X on his Tumblr with the caption ""coming soon 🔪💜"".",XXXTENTACION,,,Front Cover,No,/xgold/art/unknown.jpg
KIDS,"LET'S PRETEND WERE NUMB",,,,,Front Cover,Yes,/xgold/art/let-s-pretend-were-numb.jpg
KIDS,LET'S PRETEND WERE NUMB [Cover 2],,,,,Front Cover,Yes,/xgold/art/let-s-pretend-were-numb-cover-2.jpg
KIDS,Look At Me!,,Kid Pronto,,,Front Cover,Yes,/xgold/art/look-at-me.jpg
KIDS,Look At Me! [Cover 2],Used for streaming. Is a picture of X holding a gun,XXXTENTACION,,,Front Cover,Yes,/xgold/art/look-at-me-cover-2.jpg
