Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
Everyday Life,Broken (2018),Latest known take of the song. Features clearer (seemingly finished) vocals.,,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,⭐ Broken (Spike Ref),"OG Filename: BROKEN SPIKE REF 1
Shares the name of a song on Everyday Life. Complied from rough jams recorded during the Tuscany sessions. Features Rik Simpson singing solo towards the end. Chris says it is a very good song.",4:35,,"Mar 12, 2024",OG File,Lossless,Broken
Everyday Life,Broken (2020),"OG Filename: BROKEN HAM edits ref X 20200824C
2020 mix of Broken, seemingly the same as the Spike ref.",,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,Brother Lorenzo [V1],"OG Filename: BROTHER LORENZO MonMix A 20171205O
Initial demo of the song. Almost 10 minute jam that ends with them discussing the name. They decided on Brother Lorenzo over My Friend Lorenzo.",9:47,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,Brother Lorenzo [V2],"OG Filename: BROTHER LORENZO MonMix B 20171205U
Short jam by Chris on piano.",1:43,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,Brother Lorenzo [V3],"OG Filename: BROTHER LORENZO MonMix C 20171205U
Short jam by Chris on piano.",2:40,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,Brother Lorenzo [V4],"OG Filename: BROTHER LORENZO RikLappyMonMix 20171208J
Much more finished version of the song. Full band involvement + more developed structure & lyrics.",6:24,,"May 31, 2024",Full,High Quality,Brother Lorenzo
Everyday Life,Champion of the World (Demo),"OG Filename: CHAMPION OF THE WORLD BH demo MonMix X 20181220D
Played mostly on acoustic guitar.",,,,Snippet,High Quality,Snippet
Everyday Life,Champion of the World (2019) [V1],"OG Filename: CHAMPION OF THE WORLD RS NewSesh4Bill 107bpm ref X 20190207T
Rough demo from 2019.",,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,Champion of the World (2019) [V2],"OG Filename: COTW PET RikMonMix X 20190313G
Likely a mix planned for Spike refs.",,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,Champion of the World (Spike Ref),"OG Filename: CHAMPION OF THE WORLD SPIKE REF 3
Rough mix of the album version.",4:21,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,Champion of the World (Rock Band ver.),Early mix found by compiling the song's Rock Band stems. Has an alternate intro and a different tempo.,4:20,,,Stem Bounce,CD Quality,Champion Of The World (Rock Band ver.)
Everyday Life,Church (Tuscany),"OG Filename: CHURCH LiveMonMix 20171208F
Long jam going through the process of creating the song. Has several parts not used in the released version. Uses percussion from Arabesque Act i.",34:45,,,Not Publicly Available,Not Available,N/A
Everyday Life,Church (Malibu),"OG Filename: CHURCH WS RikMonMix JamTake4 20180202D
Long jam mainly consisting of Chris singing over the drum beat that would later go on to be used for You're The One For Me. Also uses percussion from Arabesque Act i.",11:02,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,Church (???),Features a voice memo of Chris' Jerusalem tour guide singing.,,,N/A,Not Publicly Available,Not Available,N/A
