Era,Name,,Designer,Art Type,Photo,Project Type,Use,Link(s)
The Idol,The Idol Episode 5 Part 1 [Alternate Cover],Alternate Cover for 'The Idol Episode 5 Part 1 (Music from the HBO Original Series)'. ,,Digital,,Front Cover,Alternate,
The Idol,The Idol Episode 5 Part 2 (Music from the HBO Original Series),"Cover for, 'The Idol Episode 5 Part 2 (Music from the HBO Original Series)'.",,Digital,,Front Cover,Used,
Hurry Up Tomorrow,"Travis Scott - K-POP
(feat. Bad Bunny & The Weeknd)","Single cover for 'K-POP' By Travis Scott, featuring Bad Bunny and The Weeknd. Released as the lead single to 'UTOPIA'.",,Digital,,Front Cover,Used,
Hurry Up Tomorrow,"Travis Scott - K-POP EP
(feat. Bad Bunny & The Weeknd)",Cover for the 'K-POP EP'. Features many different versions of the single.,,Digital,,Front Cover,Used,
Hurry Up Tomorrow,"Diddy - Another One Of Me
(with The Weeknd & French Montana) (feat. 21 Savage) ","Single cover for 'Another One Of Me"" By Diddy, featuring The Weeknd, French Montana, and 21 Savage. 
😭😭😭😭😭😭",,Digital,,Front Cover,Used,
Hurry Up Tomorrow,Dancing In The Flames,"Single cover for 'Dancing In The Flames"". Taken from the photoshoot for the music video.",,Digital,,Front Cover,Used,
Hurry Up Tomorrow,Dancing In The Flames (Live from São Paulo) ,"Single cover for 'Dancing In The Flames (Live from São Paulo)"". Taken from the photoshoot for the music video.",,Digital,,Front Cover,Used,
Hurry Up Tomorrow,Dancing In The Flames (Acoustic) ,"Single cover for 'Dancing In The Flames (Acoustic)"". Taken from the photoshoot for the music video.",,Digital,,Front Cover,Used,
Hurry Up Tomorrow,Dancing In The Flames EP,"Cover for the 'Dancing In The Flames EP"". Taken from the photoshoot for the music video. EP contains differenct versions and stems of Dancing In The Flames.",,Digital,,Front Cover,Used,
Hurry Up Tomorrow,"Timeless
(with Playboi Carti)","Single cover for 'Timeless"". Uses the mask from Hurry Up Tomorrow promo.",,Digital,,Front Cover,Used,
Hurry Up Tomorrow,"Timeless (Clean)
(with Playboi Carti)",Same as the main Timeless cover but without the parental advisory sticker. ,,Digital,,Front Cover,Used,
Hurry Up Tomorrow,"São Paulo
(with Anitta)",Single cover for 'São Paulo'. Taken from the photoshoot for the music video.,,Digital,,Front Cover,Used,
