Era,Name,"Notes
(Join the Gorillaz Tracker Discord Server!)",Length,"Release
Date",Type,Streaming,Links
,Meanwhile,"(October 23, 2020) (Song Machine, Season One: Strange Timez officially releases)
(August 26, 2021) (Meanwhile officially releases)",,,"The existence of new Gorillaz material after Song Machine, Season One: Strange Timez would be revealed by Damon in an interview with NME describing it as ""carnival-themed"". Damon would later reveal in an interview with Mark Ronson that a new Gorillaz EP would be released to compliment that year's Notting Hill Carnival. Meanwhile was also released in celebration as a part of the 20th anniversary of Gorillaz, showcasing a modern take on the sounds explored 20 years ago on Gorillaz.",,
Meanwhile,"Meanwhile 
(feat. Jelani Blackman and Barrington Levy)",Track 1 from the Meawhile EP. Features Jelani Blackman and Barrington Levy,3:08,"Aug 26, 2021",EP Track,Yes,Stream
Meanwhile,"Jimmy Jimmy 
(feat. AJ Tracey)",Track 2 from the Meawhile EP. Has an AJ Tracey feature.,3:03,"Aug 26, 2021",EP Track,Yes,Stream
Meanwhile,"Déjà Vu - Live From NW10
(feat. Alicai Harley) ",Track 3 from the Meawhile EP. Has a Alicai Harley feature.,3:41,"Aug 26, 2021",EP Track,Yes,Stream
Meanwhile,"Rock The House (Live)
feat. Phi Life Cypher","First released on the promo VHS of Live at Scala, 2001, later released on the live album Live at Forum, 2001 released on Dec 10, 2021 on the box set Gorillaz (Super Deluxe Edition). It was never recorded, we only have the Phi Life Cypher version from concerts",3:53,"Mar 29, 2001",Album Track,No,Download
Meanwhile,"Daft Wader
by Damon Albarn","From Damon's solo album 'The Nearer The Fountain, More Pure The Stream Flows', the tracker is a rework of the cut Plastic Beach track Mr Light (aka Animation), althought the lyrics are totally different",3:28,"Nov 13, 2021",Other,Yes,Stream
Meanwhile,1st Idea,Track 1 from Demoz,2:41,"Dec 10, 2021",EP Track,No,Download
Meanwhile,Shaga Laga,Track 2 from Demoz. Later reworked for Controllah.,3:05,"Dec 10, 2021",EP Track,No,Download
Meanwhile,Genious,Track 3 from Demoz. Later reworked into New Genius (Brother).,3:58,"Dec 10, 2021",EP Track,No,Download
Meanwhile,Hand Clapper,Track 4 from Demoz. Later reworked into Man Research (Clapper).,3:04,"Dec 10, 2021",EP Track,No,Download
Meanwhile,Acoustic 2,Track 5 from Demoz. Later reworked into Latin Simone.,2:02,"Dec 10, 2021",EP Track,No,Download
,"Cracker Island
(prod. Gorillaz & Greg Kurstin)
(Song Machine, Season Two)","(August 26, 2021) (Meanwhile officially releases)
(February 24, 2023) (Cracker Island officially releases)",,,"Originally announced as the second season of Song Machine in October 2020; Jamie, through the Gorillaz Unofficial 2020 Plastic Beach Fanzine, would reveal that the project following Song Machine would take on a narrative-heavy structure, describing it as a ""more in-depth kinda epic story with the characters and music. Not just an album, but bigger."" Cracker Island would topically revolve around cults and the Los Angeles lifestyle, where the album was recorded in 9-11 days with album collaborator Greg Kurstin.",,
Cracker Island,"Cracker Island 
(feat. Thundercat)",Track 1 from Cracker Island. Features Thundercat.,3:33,"Feb 24, 2023",Single,Yes,Stream
Cracker Island,"Oil 
(feat. Stevie Nicks)",Track 2 from Cracker Island. Features Stevie Nicks.,3:50,"Feb 24, 2023",Album Track,Yes,Stream
Cracker Island,The Tired Influencer,Track 3 from Cracker Island.,3:31,"Feb 24, 2023",Album Track,Yes,Stream
Cracker Island,"Silent Running 
(feat. Adeleye Omotayo)",Track 4 from Cracker Island. Features Adeleye Omotayo.,4:26,"Feb 24, 2023",Album Track,Yes,Stream
Cracker Island,"New Gold 
(feat. Tame Impala and Bootie Brown)",Track 5 from Cracker Island. Features Tame Impala and Bootie Brown.,3:36,"Feb 24, 2023",Single,Yes,Stream
Cracker Island,Baby Queen,Track 6 from Cracker Island.,3:40,"Feb 24, 2023",Single,Yes,Stream
Cracker Island,Tarantula,Track 7 from Cracker Island.,3:31,"Feb 24, 2023",Album Track,Yes,Stream
Cracker Island,"Tormenta 
(feat. Bad Bunny)",Track 8 from Cracker Island. Features Bad Bunny.,3:13,"Feb 24, 2023",Album Track,Yes,Stream
Cracker Island,Skinny Ape,Track 9 from Cracker Island.,4:41,"Feb 24, 2023",Album Track,Yes,Stream
Cracker Island,"Possession Island 
(feat. Beck)",Track 10 from Cracker Island. Features Beck.,3:26,"Feb 24, 2023",Album Track,Yes,Stream
Cracker Island,"Captain Chicken 
(feat. Del The Funky Homosapien)",Track 11 from Cracker Island deluxe. Features Del The Funky Homosapien.,1:51,"Feb 27, 2023",Album Track,Yes,Stream
Cracker Island,"Controllah 
(feat. MC Bin Laden)",Track 12 from Cracker Island deluxe. Features MC Bin Laden.,2:30,"Feb 27, 2023",Album Track,Yes,Stream
Cracker Island,"Crocadillaz 
(feat. De La Soul and Dawn Penn)",Track 13 from Cracker Island deluxe features Reggae Queen Dawn Penn and ,2:33,"Feb 27, 2023",Album Track,Yes,Stream
Cracker Island,"Silent Running (2D Piano Version) 
(feat. Adeleye Omotayo)",Track 14 from Cracker Island deluxe. Features Adeleye Omotayo.,4:23,"Feb 27, 2023",Album Track,Yes,Stream
Cracker Island,"New Gold (Dom Dolla Remix) 
(feat. Tame Impala and Bootie Brown)",Track 15 from Cracker Island deluxe. Features Tame Impala and Bootie Brown.,4:34,"Feb 27, 2023",Album Track,Yes,Stream
,"The Mountain
(prod. Remi Kabaka Jr, James Ford & ???)","(February 24, 2023) (Cracker Island officially releases)
(September 3, 2025) (Mystery Show previews several album tracks)
(Ongoing)",,,"Vaguely hinted at in their 2023 Coachella interview, the ninth Gorillaz album will be recorded somewhere they'd ""never been before"", likely Mumbai as teased in recent social media posts. Several tracks from the album were played at a mystery show on September 3rd, 2025. It is very likely this new album is in some way a spiritual successor to Plastic Beach, having several unused tracks from the era repurposed.",,
The Mountain,"The Mountain ⛰️
(feat. Dennis Hopper, Ajay Prasanna, Anousha Shankar, Amaan Ali Bangash & Ayaan Ali Bangash)","Track 1 from the Mountain is the opening instrumental sequence of this album, inspiration came from Damon Albarn recording a Rajasthan folk tune played on the outside of the Amber Fort. After recording, Damon went back to his hotel and messed around with it to get the first demo which he would send to Jamie Hewlett. Later they would get artists Anousha Shankar, Ajay Prasanna, Amaan & Ali Bangash to contribute to the track and then would reuse outtakes from ""Fire Coming Out of a Monkey's Head"" to get Dennis Hopper's voice lines. This song would later be used in the Gorillaz short film as a medley with The Moon Cave and the Sad God.",4:50,"Feb 27, 2026",Album Track,Yes,Stream
The Mountain,"The Moon Cave 🌙
 (feat. Asha Puthli, Bobby Womack, Black Thought, De La Soul & Jalen Ngonda)","Track 2 from the Mountain, featuring Indian singer Asha Puthli outtakes from the late Bobby womack recorded around 2009-2012 along with vocals from Dave Jolicoeur one third of De La Soul who passed away in 2023 with his lyrics being taken from the 2009 unreleased plastic beach song Float Tropics, rapper Black Thought and Soul singer Jalen Ngonda, this track would be used in the gorillaz short film as a medley with The Mountain and The Sad God",4:57,"Feb 27, 2026",Album Track,Yes,Stream
The Mountain,"The Happy Dictator 
(feat. Sparks)","Track 3 from The Mountain and first single of the album, features Sparks has background vocals from The Mountain Choir, Bansuri from Ajay Prasanna & Percussion from Viraj Acharya is based of The Happy Dictator of Turkmenistan who banned all bad news being released ",4:44,"Sep 11, 2025",Single,Yes,Stream
The Mountain,"The Hardest Thing
(feat. Tony Allen)
(extra. Ajay Prasanna, Ciara ismail, Izzi Dunn, Kontono Sato & Sarah Tuke)","Track 4 from the Mountain combined 5th single with Orange County from the album featuring Tony Allen and Anousha Shankar, reuses vocals from How Far? to give Tony Allen a new feature. Transitions into Orange County acts as a intro",2:18,"Jan 15, 2026",Single,Yes,Stream
The Mountain,"Orange County
(feat. Kara Jackson & Anousha Shankar) 
(prod. Bizzarap)",Track 5 from the Mountain combined 5th single with The Hardest Thing from the album featuring Kara Jackson and Anousha Shankar featuring production from Argentinian producer Bizarrap,3:28,"Jan 15, 2026",Single,Yes,Stream
The Mountain,"The God of Lying
(feat. Joe Talbot)
(extra. Ajay Prasanna & Viraj Acharya)","Track 6 and third single from The Mountain, has Bansuri from Ajay Prasanna & percussion from Viraj Achaya",3:09,"Nov 6, 2025",Single,Yes,Stream
The Mountain,"The Empty Dream Machine
feat. Black Thought, Johnny Marr & Anousha Shankar)",Track 7 from The Mountain. Name based on the Bee Gee's 'Dream Machine' toy,5:40,"Feb 27, 2026",Album Track,Yes,Stream
The Mountain,"The Manifesto (feat. Trueno & Proof
(extra. Amaan & Ayaan Ali Bangash, The Jea Band Jaipur, Ajay Prasanna & The Mountain Choir)","Track 8 from the Mountain: Second single for the album. Has background vocals from The Mountain Choir, Bansuri from Ajay Prasanna, Percussion from Viraj Acharya, the Jea Band Jaipur, and guitar from Amaan & Ayaan Ali Bangash. Samples the Sikh Mool Mantar hymm",7:20,"Oct 8, 2025",Single,Yes,Stream
The Mountain,"The Plastic Guru
(feat. Johnny Marr & Anousha Shankar)","Track 9 from The Mountain, featuring Johnny Marr and Anoushka Shankar. Has lines written by Lou Reed but said by a text-to-speech model resembling the voice of HAL 9000 from 2001 : A Space Odyssey. Damon got the idea for this song after him and Jamie met up with a guru in India.",3:14,"Feb 27, 2026",Album Track,Yes,Stream
The Mountain,"Delirium
(feat. Mark E. Smith)","Track 10 from the Mountain, featuring Mark E. Smith who's vocals come from his 2009 Plastic Beach session where he recorded on Glitter Freeze.",3:52,"Feb 27, 2026",Album Track,Yes,Stream
The Mountain,"Damascus
(feat. Yassin Bey & Omar Souleyman)
(Fresh Arrivals)","Track 11 and fourth single from The Mountain. The second half was originally created in 2009 under the name Fresh Arrivals in Damascus (Syria) and Chung King Studios (New York, USA) was scrapped last minute for Sweepstakes. The first half is another cut track called Sunday Monday which was one of the scrapped Plastic Beach teasers from 2010. Features percussion from Viraj Achaya",4:04,"Dec 12, 2025",Single,Yes,Stream
The Mountain,"The Shadowy Light 
(feat. Asha Bhosle, Gruff Rhys & Ajay Prasanaa)",Track 12 from The Mountain,5:39,"Feb 27, 2026",Album Track,Yes,Stream
The Mountain,"Casablanca
(feat. Paul Simnonon & Johnny Marr)",Track 13 from The Mountain,3:46,"Feb 27, 2026",Album Track,Yes,Stream
The Mountain,"The Sweet Prince
(feat. Ajay Prasanna, Johnny Marr & Anousha Shankar)",Track 14 from The Mountain,4:33,"Feb 27, 2026",Album Track,Yes,Stream
The Mountain,"The Sad God 💧
(feat. Black Thought, Ajay Prasanna & Anousha Shankar)",Track 15 from The Mountain,4:49,"Feb 27, 2026",Album Track,Yes,Stream
,other,,,,,,
The Mountain,Bolly Noir                                                                       (feat. Niloy Ashan),Track 1 from The Mountain deluxe features Bangledeshi dhrupad vocalist Niloy Ashan who recorded this song in Mumbai with his two students he was given complete creative freedom when recording the song.,,"Feb 27, 2026",Bonus Track,No,
The Mountain,Noah's Descendants                                                                              (feat. Anousha Shankar & Pamela Jain),Track 2 from The Mountain deluxe features frequent album collaborater Anousha Shankar and Pamela Jain,,"Feb 27, 2026",Bonus Track,No,
The Mountain,The Mountain                                                                  (Perf. Jea Band Jaipur),,,"Feb 27, 2026",Bonus Track,No,
The Mountain,Meri Sapno Ki Rani                                                                 (Perf. Jea Band Jaipur),,,"Feb 27, 2026",Bonus Track,No,
The Mountain,"The Mountain [V3]                                                                                (feat. Ajay Prasanna, Anousha Shankar, Amaan & Ali Bangash)                                                                                   (The making of the Mountain)",Apple music bonus track is a early version of the Mountain possibly before the choice to add Dennis Hopper. Also has more vocals near the end and has Damon speaking about The Mountain. Shares similarities with Noahs Descendants were both scrapped to give way for more features from artists who have passed away,,,Bonus Track,Yes,
The Mountain,The Manifesto Pt. 1                                                                    (feat. Trueno),"Version of The Manifesto released with Pt. 2 on October 13, 2025. Is just the first half of The Manifesto with a crossfade at the end.",3:26,"Oct 13, 2025",Other,Yes,https://open.spotify.com/track/4oZp2U3K7lxN1GWWYJbtbV?si=gKni_GfhR9-rVAzVD6kaWg
The Mountain,The Manifesto Pt. 2                                                                         (feat. Trueno & Proof),"Version of The Manifesto released with Pt. 2 on October 11, 2025. Is just the second half of the song with a crossfade in the beginning.",3:47,"Oct 13, 2025",Other,Yes,https://open.spotify.com/track/5Ah1V8i8flnpeoypAohRj1?si=U8vRw_DDQHGWCEf-zCpAYA
The Mountain,"The Manifesto (feat. Trueno & Proof) (Clean Edit)
(extra. Amaan & Ayaan Ali Bangash, The Jea Band Jaipur, Ajay Prasanna & The Mountain Choir)","Clean edit of the track, released on a radio station's website",7:19,"Mar 7, 2026",Single,No,Download
The Mountain,A$AP Rocky - WHISKEY (RELEASE ME)                      (feat. Gorillaz & Westside Gunn),Track 12 on A$AP Rockys album Don't Be Dumb released on January 16th 2026. features Gorillaz and Westside Gunn. Originally recorded November 2023 and was played live at the Played at Le Gala des Pièces in Paris January 26th 2024. It is the first proper feature from Gorillaz since 2011. Later released as a standalone single for the album.,4:08,"Jan 16, 2026",Feature,Yes,https://open.spotify.com/album/3a4OojQ9qovsHmapRK0ONj?si=enNvdhW5SBOgh36F4RIkZQ
The Mountain,Orange County [BZRP Radio Mix]                                                          (feat. Kara Jackson & Anousha Shankar)                                  (prod. Bizzarap),"BZRP Radio Mix of Orange County released on January 23, 2026. Has massively altered production done by Bizarrap, as well as new effects on 2D & Kara's vocals.",3:13,"Jan 23, 2026",Single,Yes,https://open.spotify.com/track/02UzydXZzZoYzY1lRKpVcj?si=U6y4ya0qQAi_lMPwMlvWaw
