Era,Name,"Notes
(Gorillaz Leaks Discord)","File
Date","Full
Length",DATE,Type,Available Length,Quality,Link(s)
Cracker Island,The Tired Influencer [Instrumental],"OG Filename: THE TIRED INFLUENCER_REF 5 SNARE DOWN inst mastered 24b 44k
Mastered Instrumental to The Tired Influencer.",3:31,"Jun 14, 2023","Feb 8, 2024",Instrumental,Full,Lossless,https://pixeldrain.com/u/xjrCJVdc
Cracker Island,Silent Running [Instrumental],"OG Filename: SILENT RUNNING (Album Version)_REF 12 EDIT 1 2TRACK SPED UP 1BPM album inst_mastered 24b 44k
Mastered Instrumental to Silent Running.",4:24,"Jun 14, 2023","Feb 8, 2024",Instrumental,Full,Lossless,https://pixeldrain.com/u/Zy8RiP5G
Cracker Island,New Gold [Instrumental],"OG Filename: NEW GOLD_REF 2 inst_mastered 24b 44k
Mastered Instrumental to New Gold.",3:34,"Jun 14, 2023","Feb 8, 2024",Instrumental,Full,Lossless,https://pixeldrain.com/u/sF5xWuYM
Cracker Island,Baby Queen [Instrumental],"OG Filename: BABY QUEEN_REF 2 NEW APPROACH inst_mastered 24b 44k
Mastered Instrumental to Baby Queen.",3:40,"Jun 14, 2023","Feb 8, 2024",Instrumental,Full,Lossless,https://pixeldrain.com/u/488FQDrd
Cracker Island,Tarantula [Instrumental],"OG Filename: TARANTULA_REF 1 inst_mastered 24b 44k
Mastered Instrumental to Tarantula.",3:32,"Jun 14, 2023","Feb 8, 2024",Instrumental,Full,Lossless,https://pixeldrain.com/u/doCq1Qw8
Cracker Island,Tormenta [Instrumental],"OG Filename: TORMENTA_REF 1 inst_mastered 24b 44k
Mastered Instrumental to Tormenta.",3:13,"Jun 14, 2023","Feb 8, 2024",Instrumental,Full,Lossless,https://pixeldrain.com/u/RQiNs6Xn
Cracker Island,Skinny Ape [Instrumental],"OG Filename: SKINNY APE_REF 6 inst_mastered 24b 44k
Mastered Instrumental to Skinny Ape.",4:41,"Jun 14, 2023","Feb 8, 2024",Instrumental,Full,Lossless,https://pixeldrain.com/u/aLLcLtTk
Cracker Island,Possession Island [Instrumental],"OG Filename: POSESSION ISLAND_REF 3 EDIT 2 inst_mastered 24b 44k
Mastered Instrumental to Possession Island.",3:26,"Jun 14, 2023","Feb 8, 2024",Instrumental,Full,Lossless,https://pixeldrain.com/u/tD8GA5YQ
,"The Mountain
(prod. Remi Kabaka Jr, James Ford & ???)","(February 24, 2023) (Cracker Island officially releases)
(September 3, 2025) (Mystery Show previews several album tracks)
(Ongoing)",,,"Vaguely hinted at in their 2023 Coachella interview, the ninth Gorillaz album will be recorded somewhere they'd ""never been before"", likely Mumbai as teased in recent social media posts. Several tracks from the album were played at a mystery show on September 3rd, 2025. It is very likely this new album is in some way a spiritual successor to Plastic Beach, having several unused tracks from the era repurposed.",,,,
The Mountain,The God of Lying [Instrumental],,,,,Instrumental,Full,Low Quality,
