Era,Name,"Notes
(Join the Gorillaz Tracker Discord Server!)",Designer,Art Type,Image,Project Type,Use,Link(s)
The Fall,The Joplin Spider,"Cover that replaces The Fall's cover when played on the original page the album was released on.

Photos by Jamie Hewlett, Seb Monk, Mike Smith and Oswald Lee Henderson.","Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,https://drive.google.com/file/d/1cWtododkNXVb9xsRmRFlGb3qbnHS04Lo/view?usp=share_link
The Fall,The Parish Of Space Dust,"Cover that replaces The Fall's cover when played on the original page the album was released on.

Photos by Jamie Hewlett, Seb Monk, Mike Smith and Oswald Lee Henderson.","Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,https://drive.google.com/file/d/1xg7OjyTy89SFNCQziRg-kXLJ6B4PjhcZ/view?usp=share_link
The Fall,The Snake In Dallas,"Cover that replaces The Fall's cover when played on the original page the album was released on.

Photos by Jamie Hewlett, Seb Monk, Mike Smith and Oswald Lee Henderson.","Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,https://drive.google.com/file/d/1GLSkQEoykOAkZmxqVnRnHNPRMfpffUay/view?usp=share_link
The Fall,Amarillo,"Cover that replaces The Fall's cover when played on the original page the album was released on.

Photos by Jamie Hewlett, Seb Monk, Mike Smith and Oswald Lee Henderson.","Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,https://drive.google.com/file/d/1GVAWWx1fDB37BQgaUBTVwX-6OFQLM0WH/view?usp=share_link
The Fall,The Speak It Mountains,"Cover that replaces The Fall's cover when played on the original page the album was released on.

Photos by Jamie Hewlett, Seb Monk, Mike Smith and Oswald Lee Henderson.","Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,https://drive.google.com/file/d/1GzdUBeNbQ5faYlX_jpT0w3F7_1l_GVKu/view?usp=share_link
The Fall,Aspen Forest,"Cover that replaces The Fall's cover when played on the original page the album was released on.

Photos by Jamie Hewlett, Seb Monk, Mike Smith and Oswald Lee Henderson.","Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,https://drive.google.com/file/d/1h75oYHJz1m7-YLB0oqtr4tUr5B2-FntI/view?usp=share_link
The Fall,Bobby In Phoenix,"Cover that replaces The Fall's cover when played on the original page the album was released on.

Photos by Jamie Hewlett, Seb Monk, Mike Smith and Oswald Lee Henderson.","Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,https://drive.google.com/file/d/1cdyu0iGXRLruNbtmNTdNNo6wZq84zl6C/view?usp=share_link
The Fall,California And The Slipping Of The Sun,"Cover that replaces The Fall's cover when played on the original page the album was released on.

Photos by Jamie Hewlett, Seb Monk, Mike Smith and Oswald Lee Henderson.","Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,https://drive.google.com/file/d/1jjUPndEPK_5fYUtkq3kC5uGoWexsSNdS/view?usp=share_link
The Fall,Seattle Yodel,"Cover that replaces The Fall's cover when played on the original page the album was released on.

Photos by Jamie Hewlett, Seb Monk, Mike Smith and Oswald Lee Henderson.","Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,https://drive.google.com/file/d/1SbnuToUKxCGERz-YdBFU9YQ1LptHJAQn/view?usp=share_link
The Fall,The Fall,Standard Edition,"Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music/v4/4b/aa/d4/4baad4eb-dba2-6190-9bd7-7d415ad518ad/825646291007.jpg
The Fall,Revolving Doors / Amarillo,,"Jamie Hewlett &
Zombie Flesh Eaters",Digital,,Front Cover,Used,https://static.wikia.nocookie.net/kong/images/9/93/RevolvingDoorsAmarilloSingle.jpg/revision/latest?cb=20151018141757&format=original
We Are 10,"Gorillaz Are Ten
(Full Collage)",Released on the Gorillaz.com website in 2011; collage done by Tim Watkins,"Jamie Hewlett, Tim Watkins & Zombie Flesh Eaters",Digital; Collage,,Promo Art,Used,https://static.wikia.nocookie.net/kong/images/a/a6/TheImage.jpg/revision/latest?cb=20231003145905&format=original
We Are 10,We Are Ten Radio Show,,"Jamie Hewlett, Tim Watkins & Zombie Flesh Eaters",Digital,,Front Cover,Used,
We Are 10,"The Singles Collection 2001-2011
(Physical Release)",,"Jamie Hewlett, Tim Watkins & Zombie Flesh Eaters",Digital,,Front Cover,Used,https://static.wikia.nocookie.net/kong/images/0/0a/TheSinglesCollectionCD.jpg/revision/latest?cb=20231003143019&format=original
We Are 10,"The Singles Collection 2001-2011
(Digital Cover #1)","2 different cover arts for the compilation on streaming services exist; Deezer has both, for whatever reason","Jamie Hewlett, Tim Watkins & Zombie Flesh Eaters",Digital,,Front Cover,Used,https://static.wikia.nocookie.net/kong/images/d/df/TheSinglesCollection11Cover.jpg/revision/latest?cb=20230221234455&format=original
We Are 10,"The Singles Collection 2001-2011
(Digital Cover #2)",,"Jamie Hewlett, Tim Watkins & Zombie Flesh Eaters",Digital,,Front Cover,Used,https://static.wikia.nocookie.net/kong/images/7/7e/TheSinglesCollectionDig.jpg/revision/latest?cb=20231003143008&format=original
DoYaThing,DoYaThing,,Jamie Hewlett,Digital,,Front Cover,Used,https://drive.google.com/file/d/1f7vFLK2WSZUfxpXhT6KScpnjpSAZzSCb/view?usp=share_link
HUMANZ,私 Noodle❗️,,,Digital,,Front Cover,Used,https://i1.sndcdn.com/artworks-000200916323-crimlw-original.jpg
HUMANZ,Hallelujah Money,"Promo image/screenshot/cover for ""Hallelujah Money"" the first song released by Gorillaz after the 2012-2016 hiatus",,Photography; Digital,,Promo Art,Used,https://drive.google.com/file/d/1rA9Dc5CBXyStoxhf3OIuVJ0yNzL8HOil/view?usp=share_link
HUMANZ,Saturnz Barz,,,,,Front Cover,Used,
HUMANZ,We Got The Power,,,,,Front Cover,Used,
HUMANZ,Ascension,,,,,Front Cover,Used,
HUMANZ,Andromeda,,,,,Front Cover,Used,
HUMANZ,Let Me Out,,,,,Front Cover,Used,
