"Era","Name","Notes","Length","Release Date","Type","Streaming","Link(s)"
"Lost Files","Lil Unky - Netflix & Chill
(feat. Ken Carson) (prod. Richxxzno)","OG Filename: Ken Unky
Collaboration with Lil Unky released on December 16th, 2020.","2:30","Dec 16, 2020","Feature","Yes","https://open.spotify.com/track/5MU4BD3FMmq8zg9Tfu9Ytl?si=92be20bcecfe4ebe"
"Lost Files","TUMS
(feat. CAPOREE)","OG Filename: KEN KAPO TUMS
A song released during December 2020.","2:42","Dec 10, 2020","Single","No","https://pillows.su/f/157d71cdfd26db243a6d40c181561834"
"5 EP Track(s)
0 Single(s)
0 Feature(s)
1 Music Video(s)
0 Production
0 Other","","(Jan 20, 2021) (Lost Files is released)
(Jan 31, 2021) (Teen X : Relapsed is released)","","","","",""
"Teen X : Relapsed","⭐ Teen X Babe
(prod. Juberlee & Roark Bailey)","Track 1 on Teen X : Relapsed.","1:56","Jan 31, 2021","EP Track","Yes","https://open.spotify.com/track/1HYOCC0xTD7ym5oOmP5AKz?si=3bd77cc77d944b00"
"Teen X : Relapsed","⭐ Teenager Rager
(prod. starboy & outtatown)
(Moshpit)","OG Filename: Ken 3 Moshpit
Track 2 on Teen X : Relapsed.","1:44","Jan 31, 2021","EP Track","Yes","https://pillows.su/f/e98bc6816417b03758184693362b16a3
https://open.spotify.com/track/0MwOpzSByFjvmgjeY0It4a?si=14e145625c634116"
"Teen X : Relapsed","Butterfly
(prod. outtatown, Art Dealer & ​starboy)","Track 3 on Teen X : Relapsed.","2:24","Jan 31, 2021","EP Track","Yes","https://open.spotify.com/track/63SYg8jjwfAiipZnnICfHc?si=babe0eab6cce48bf"
"Teen X : Relapsed","⭐ High as Sh!T
(prod. starboy & outtatown)","OG FIlename: Ken Carson - High As Shit v2.4
Track 4 on Teen X : Relapsed.","1:33","Jan 31, 2021","EP Track","Yes","https://pillows.su/f/427036e735a96a73e7bde99cefd9ba73
https://open.spotify.com/track/3CukfJ1zvUEcq84AM89hxj?si=1471dad80a1d4021"
"Teen X : Relapsed","On the Low
(prod. outtatown, ​starboy & Lil 88)","Track 5 on Teen X : Relapsed.","1:17","Jan 31, 2021","EP Track","Yes","https://open.spotify.com/track/5dZOZ75mViIFTs3etMFq5d?si=a6b212dbafe34083"
"Teen X : Relapsed","High as Sh!T [Music Video]
(prod. starboy & outtatown)","Official music video for track 4 on Teen X : Relapsed. The music video released alongisde the project Teen X : Relapsed","1:38","Jan 31, 2021","Music Video","No","https://www.youtube.com/watch?v=JyoJ4AIkY7g&list=PLW7tHg0F_-ku0ecKqs9HLIFl-1dyhj4Wn&index=3"
"7 Mixtape Track(s)
5 Single(s)
0 Feature(s)
1 Music Video(s)
0 Production
0 Other","","(Jan 31, 2021) (Teen X : Relapsed is released)
(Jul 10, 2021) (Lost Files 2 is released)
[Download Tagged Compilation]","","","","",""
"Lost Files 2","⭐ Glock 19
(prod. Juberlee)
(Free The Guys)","OG Filename: ken carson - free the guys v2 (DD jube 139)
Track 1 on Lost Files 2.","1:44","Jul 10, 2021","Mixtape Track","No","https://pillows.su/f/5353c8b5ac61fa183f96acbc917251dd
https://soundcloud.com/kencarson/glock-19?in=ken_cars0n/sets/lost-files-2&si=3aa8792a686e4c128190c89528d5fca3&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing"
"Lost Files 2","⭐ Patrick Ewing
(feat. Lil Tecca) (prod. E-Trou, ThankYouWill & Nick Mira)","OG Filename: Tecca Ken - Patrick Ewing v3.0
Track 2 on Lost Files 2.","2:27","Jul 10, 2021","Single","No","https://soundcloud.com/kencarson/patrick-ewing-ft-lil-tecca?in=ken_cars0n/sets/lost-files-2&si=da2abefee4bf47ccb095c063563a4f2a&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing"
"Lost Files 2","⭐ Celebrate
(prod. Lil 88 & Sonny Digital)","OG Filename: Celebrate Reference
Track 3 on Lost Files 2.","1:53","Jul 10, 2021","Mixtape Track","No","https://pillows.su/f/1e383195f55061d7b0f0cea4ddd44da7
https://soundcloud.com/kencarson/celebrate?in=ken_cars0n/sets/lost-files-2&si=32e1687eef67463a90e802e42ff1cdb5&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing"
"Lost Files 2","M&M
(prod. Sonny Digital & Earl on the Beat)
(M&MS)","OG Filename: moon ken carson M&MS
Track 4 on Lost Files 2.","1:49","Jul 10, 2021","Mixtape Track","No","https://soundcloud.com/kencarson/m-m?in=ken_cars0n/sets/lost-files-2&si=456b77f1a0a54addb0d051581f68bb70&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing"
"Lost Files 2","⭐ BackPack
(prod. Loesoe, starboy & outtatown)","OG Filename: ken carson - backpack v1.0
Track 5 on Lost Files 2.","2:05","Jul 10, 2021","Mixtape Track","No","https://soundcloud.com/kencarson/backpack?in=ken_cars0n/sets/lost-files-2&si=96d7d3e8cb30486d9a6561260757299e&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing"
"Lost Files 2","How 2 Flex
(prod. BryceUnknwn, ​starboy & ​y2tnb)
(How To Flex)","OG Filename: ken carson - how to flex v1.0
Track 6 on Lost Files 2.","2:19","Jul 10, 2021","Mixtape Track","No","https://soundcloud.com/kencarson/how-2-flex?in=ken_cars0n/sets/lost-files-2&si=fbfabf9fa3894c7d9b127eca4f3de87c&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing"
"Lost Files 2","Been Braggin
(prod. Nick Mira, DT & Humblebee)","OG Filename: ken carson - been braggin v1.0
Track 7 on Lost Files 2.","1:52","Jul 10, 2021","Mixtape Track","No","https://soundcloud.com/kencarson/been-braggin?in=ken_cars0n/sets/lost-files-2&si=d41534aebe5844409fcd0a26c3169e21&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing"
"Lost Files 2","Killstreak
(prod. BryceUnknwn, ​y2tnb & ThankYouWill)
(takeyourhoe)","OG Filename: ken carson - takeyourhoe v1.0
Track 8 on Lost Files 2.","1:58","Jul 10, 2021","Mixtape Track","No","https://pillows.su/f/20d5551d75a231e312680cf0b6639c30
https://soundcloud.com/kencarson/killstreak?in=ken_cars0n/sets/lost-files-2&si=daf36f6ee9cb4a9f92636b62be6562ca&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing"
"Lost Files 2","⭐ Teen Bean
(prod. Jonah Abraham)
(Breaking The Rules)","OG Filename: ken carsson - breaking the rules v1.0
Track 9 on Lost Files 2.","1:59","Jul 19, 2021","Single","Yes","https://open.spotify.com/track/4jx9GqqVMPacAOKHaFlsLb?si=0cb4803542b64cce"
"Lost Files 2","Butterfly [Music Video]
(prod. outtatown, Art Dealer & ​starboy)","Official music video for track 3 on Teen X : Relapsed.","2:24","Jul 7, 2021","Music Video","No","https://www.youtube.com/watch?v=RwqtG6dMi2E&list=PLW7tHg0F_-ku0ecKqs9HLIFl-1dyhj4Wn&index=4"
