Era,Name,Notes,Link(s),Release Date,Type,Length,Available Length,Quality
XSCAPE,Slave To The Rhythm (Original Version),"Track #13 on the Deluxe Edition. Originally recorded during mid-March and May 23rd, 1991.",https://open.spotify.com/track/5L4dOpoWSz9CyvHvPjO5ao?si=d1af85847c6f4e24,"May 9th, 2014",Bonus Track,4:35,,
XSCAPE,Do You Know Where Your Children Are (Original Version),"Track #14 on the Deluxe Edition. Originally recorded on May 9th-16th, 1986.",https://open.spotify.com/track/4atoBzVjNpqtfv1jyT1BS1?si=4a713c59466a4753,"May 9th, 2014",Bonus Track,4:39,,
XSCAPE,Blue Gangsta (Original Version),Track #15 on the Deluxe Edition. Originally recorded during August 1998-March 1999. Specific version dates to sometime before March 1999.,https://open.spotify.com/track/5r36hkZKxmL4gleijg8scM?si=be7d4b7b1f8c4965,"May 9th, 2014",Bonus Track,4:16,,
XSCAPE,Xscape (Original Version),Track #16 on the Deluxe Edition. Originally recorded on March 1999-May 2001. Specific version dates to Fall 1999.,https://open.spotify.com/track/48rgfUDLasxWtrbVbWAvqH?si=9a4a34b18bff4f08,"May 9th, 2014",Bonus Track,5:44,,
XSCAPE,Love Never Felt So Good [w/Justin Timberlake],Track #17 on the Deluxe Edition,https://open.spotify.com/track/48td6xvpokdYwvbl3JIiXP?si=5bcf7d1fb89a4506,"May 9th, 2014",Bonus Track,4:05,,
"0 Single(s)
0 International Single(s)
0 Promotional Single(s)
15 Album Track(s)
0 Bonus Track(s)",Thriller 40,"(05/09/2014) (XSCAPE is released)
(11/18/2022) (Thriller 40 is released)",,,,,,
Thriller 40,"Starlight [V1]
(Thriller)",Track #10 on Thriller 40. Originally recorded on July 1982.,https://open.spotify.com/track/4WGwTL5HIiaw5OIFnwgCR9?si=c9c01be0d6ab4b8d,"November 18th, 2022",Album Track,5:03,,
Thriller 40,Got The Hots (Demo),Track #11 on Thriller 40. Originally recorded on July 1982.,https://open.spotify.com/track/21fVbhoPzmlLjxWfePb6CT?si=7e5088d4df554d0d,"November 18th, 2022",Album Track,4:25,,
Thriller 40,Who Do You Know (Demo),Track #12 on Thriller 40. Originally recorded between October-November 1981.,https://open.spotify.com/track/5kMng2A15zTwpxiPHypbHm?si=a6dedb483a974832,"November 18th, 2022",Album Track,5:22,,
Thriller 40,Carousel [Full Version],Track #13 on Thriller 40. Originally recorded during August-September 1982.,https://open.spotify.com/track/39SzRa9nN9SFWPnbcMgrYX?si=6a9de4e904fd4e0a,"November 18th, 2022",Album Track,3:39,,
Thriller 40,Behind The Mask (Mike's Mix (Demo)),Track #14 on Thriller 40. Originally recorded between October-November 1981.,https://open.spotify.com/track/32gg7lWCipR6jYiz9qXwSo?si=8c7884279ceb45da,"November 18th, 2022",Album Track,5:00,,
Thriller 40,Can't Get Outta The Rain,"Track #15 on Thriller 40. Overdubbed from ""You Can't Win"" during early October 1982. Previously released as a B-side to ""The Girl Is Mine"" in 1982",https://open.spotify.com/track/5yuLvy5xOhnhMZL0SjIZcX?si=6c790da5d1e14b45,"November 18th, 2022",Album Track,4:06,,
Thriller 40,"The Toy (Demo)
(Best Of Joy)",Track #16 on Thriller 40. Originally recorded during October-November 1981 and June 1982.,https://open.spotify.com/track/2KmJ8VLU4MoX0BoCoo2LSw?si=1d2709619b904630,"November 18th, 2022",Album Track,3:04,,
Thriller 40,Sunset Driver (Demo),Track #17 on Thriller 40. Previously released on The Ultimate Collection,https://open.spotify.com/track/4vA0xg2ObT0RlUwZMDy5kZ?si=0e07855b3b274bc4,"November 18th, 2022",Album Track,4:02,,
Thriller 40,What A Lovely Way To Go (Demo),"Track #18 on Thriller 40. Despite it being presented as if it were from the Thriller sessions, this particular demo actually dates back to 1977-78, though it's likely the version included is from October-November 1981.",https://open.spotify.com/track/4INbMHPtay1Q8fU9090FCc?si=5510c952d0fb4f08,"November 18th, 2022",Album Track,3:55,,
Thriller 40,She's Trouble (Demo),Track #19 on Thriller 40. Originally recorded during August-September 1982.,https://open.spotify.com/track/1FXtdKmCuA38ClAUHI3YjZ?si=2a47fde5d13844bb,"November 18th, 2022",Album Track,4:12,,
Thriller 40,Wanna Be Startin' Somethin' (Tommy D's Main Mix),Track #26 on the Deluxe Edition,https://open.spotify.com/track/0knaQtcr1cKpE4VlE9mTTa?si=bd00e05eef4c4de7,"November 18th, 2022",Album Track,7:40,,
Thriller 40,"Human Nature (7"" Remix)",Track #28 on the Deluxe Edition,https://open.spotify.com/track/0E1aGd78m6l0qPwrjTjSpn?si=4e7abb3edb474ce9,"November 18th, 2022",Album Track,3:47,,
Thriller 40,"Thriller (7"" Special Edit)",Track #32 on the Deluxe Edition,https://open.spotify.com/track/3VKj7hHHi8pJJ4mHDzZC4Q?si=e9456779890645d5,"November 18th, 2022",Album Track,4:38,,
Thriller 40,Thriller (Def Thriller Mix),Track #33 on the Deluxe Edition,https://open.spotify.com/track/5dELg4e472LaS76hzPOvi6?si=04d7eed8ed1c4d8d,"November 18th, 2022",Album Track,7:22,,
Thriller 40,Thriller Megamix,Track #34 on the Deluxe Edition,https://open.spotify.com/track/2I5o2Znqz37AibPdyg824v?si=b108bef0b94744dd,"November 18th, 2022",Album Track,9:13,,
,,Non-album/single tracks and remixes,,,,,,
Thriller,Can't Get Outta The Rain,,,"October 18th, 1982",B-side,4:02,Full,CD Quality
Thriller,Wanna Be Startin' Somethin' [Instrumental],,,1983,Remix,4:15,Full,CD Quality
Thriller,Thriller [Instrumental],,,1983,Remix,5:57,Full,CD Quality
Bad,I Just Can't Stop Loving You [With Spoken Intro],,,1987,Remix,4:17,Full,CD Quality
Bad,"Bad [Dance Extended Mix Includes ""False Fade""]",,,1987,Remix,8:24,Full,CD Quality
Bad,"Bad [7"" Single Mix]",,,1987,Remix,4:05,Full,CD Quality
Bad,Bad [Dance Remix Radio Edit],,,1987,Remix,4:50,Full,CD Quality
Bad,Bad [Dub Version],,,1987,Remix,4:05,Full,CD Quality
Bad,Bad [A Cappella],,,1987,Remix,3:49,Full,CD Quality
Bad,The Way You Make Me Feel [Dub],,,1987,Remix,5:06,Full,CD Quality
Bad,The Way You Make Me Feel [A Capella],,,1987,Remix,4:30,Full,CD Quality
Bad,The Way You Make Me Feel [Dance Extended Mix],,,1987,Remix,7:53,Full,CD Quality
Bad,The Way You Make Me Feel [Instrumental],,,1987,Remix,4:26,Full,CD Quality
Bad,"The Way You Make Me Feel [7"" Re-Mix]",,,1987,Remix,4:26,Full,CD Quality
Bad,The Way You Make Me Feel [Dance Remix Radio Edit],,,1987,Remix,5:20,Full,CD Quality
Bad,Man In The Mirror [Single Mix],,,1988,Remix,4:55,Full,CD Quality
Bad,Man In The Mirror [Instrumental],,,1988,Remix,4:55,Full,CD Quality
Bad,Dirty Diana [Instrumental],,,1988,Remix,4:42,Full,CD Quality
Bad,"Stevie Wonder - Get It
(feat. Michael Jackson)",,,1988,Non-Album Single,6:44,Full,CD Quality
Bad,"Stevie Wonder - Get It [Instrumental]
(feat. Michael Jackson)",,,1988,Remix,6:47,Full,CD Quality
Bad,Another Part Of Me [Extended Dance Mix],,,1988,Remix,6:18,Full,CD Quality
Bad,Another Part Of Me [Radio Edit],,,1988,Remix,4:24,Full,CD Quality
Bad,Another Part Of Me [Dub Mix],,,1988,Remix,3:51,Full,CD Quality
Bad,Another Part Of Me [A Capella],,,1988,Remix,4:01,Full,CD Quality
Bad,"Another Part Of Me [7"" Edit]",,,1988,Remix,3:47,Full,CD Quality
Bad,Another Part Of Me [Instrumental],,,1988,Remix,3:47,Full,CD Quality
