Era,Name,Notes,"File
Date",Leak Date,Full Length,No. Of Tracks,Available Length,Quality,Link(s)
Bad,"Bad
(prod. Quincy Jones & Michael Jackson)
(P)","Album version. Processed with Pitch Shift. Missing some tracks, some are mislabelled. Originally, they were transfers of the Mix Master and Mix Master Slave reels.",,"Jan 9, 2020",4:51,48,Partial,Lossless,https://pillows.su/f/7bb747236a61c7b82ad4e93b0d7344aa
Bad,"Bad
(prod. Quincy Jones & Michael Jackson)
(P)","A submixed pack of the full version of ""Bad,"" which was later used in the ""Extended Dance Mix."" Lacks the synth solo, but it most likely wasn't in the pack as Sundberg didn't play it in the Paris 2012 seminar recording. Actually 14 tracks, but there are 5 combined tracks in the folder.",,"Jan 28, 2023",8:22,19,Full,Lossless,https://pillows.su/f/a53b1a1599414c8fad9f46756e1016ff
Bad,"Man In The Mirror
(prod. Quincy Jones & Michael Jackson)","A leaked pack lacks Siedah's vocal BGs and adlibs, along with Michael's entire lead verse. The full pack is circulating amongst collectors.",,,,46,Partial,CD Quality,
Bad,"Smooth Criminal
(prod. Quincy Jones & Michael Jackson)",Contains some unused strings.,,,,52,Confirmed,Not Available,
Bad,"Speed Demon
(prod. Quincy Jones & Michael Jackson)",A submixed pack allegedly exists.,,,,23,Rumored,Not Available,
,Acapellas,,,,,,,,
Bad,Smooth Criminal,,,,4:09/6:04,,Stem Bounce,CD Quality,"https://pillows.su/f/ad39fdec599d9d351832c71cb708896d
https://pillows.su/f/02d1c5d5bfda4051b0a4e43f67e50d91 "
Bad,"The Way You Make Me Feel
(Hot Fever)",,,,4:03/4:35,,Stem Bounce,CD Quality,"https://pillows.su/f/559da889fc4fca3e486703dc5774640d 
https://pillows.su/f/0fea39d80915422ba1afd80442a625f9 "
,Instrumentals,,,,,,,,
Bad,"Another Part Of Me (Single Mix)
(prod. Quincy Jones & Michael Jackson)",Official instrumental for the single mix of Another Part Of Me.,,,3:48,,Full,Lossless,https://pillows.su/f/47e5c49b2be67dcc5bb67fc79005f2f9
Bad,"Dirty Diana (Single Mix)
(prod. Quincy Jones & Michael Jackson)",Official instrumental for the single mix of Dirty Diana.,,,4:43,,Full,Lossless,https://pillows.su/f/f85be5fed25c598f8cfab5c55799dc86
Bad,"Liberian Girl (Edit)
(prod. Quincy Jones & Michael Jackson)","Instrumental for the single edit of Liberian Girl, found on a 12"" acetate.",,,3:33,,Confirmed,Not Available,https://www.discogs.com/release/3297288-Michael-Jackson-Liberian-Girl
