Era,Name,Tracklist,Image,Date Made,Quality,Source,Link(s)
Rodeo,"Rodeo [Final Version]
(Source: Mike Dean)","Whiteboard tracklist shared by Mike Dean after the release of the album. 

01. Pornography
02. Oh My Dis Side
03. 3500
04. Wasted
05. 90210
06. Pray for Love
07. Night Call
08. Piss On Your Grave
09. Antidote
10. Impossible
11. Maria I'm Drunk
13. I Can Tell
14. Apple Pie
------------------------
16. Never Catch Me
12. Flying High
15. Ok Alright

Everything is identical other than a couple of track titles (""Pray 4 Love"" as ""Pray for Love"", and ""Nightcrawler"" as ""Night Call""). Reveals that ""Flying High"" was originally meant to be a bonus track on the deluxe edition.",,,Clear,,N/A
Birds,"Tina [Early 2016]
(Source: Travis Scott)","Travis has stated that 'Birds in the Trap Sing McKnight' was originally titled 'Tina', before Quavo's line from ""Pick Up the Phone"" inspired him to change it (this likely would've taken place in March 2016). ""Goosebumps"" was confirmed to be on it on .WAV Radio; basically any song created in the period between the release of 'Rodeo' and March 2016 could've been in contention at the time.",N/A,,N/A,,.WAV Radio Mention (Pillowcase)
Birds,"Birds In The Trap Sing McKnight [~July-August 2016]
(Source: Tom Kahre)","Posted by Tom Kahre, an engineer who worked on the album, a couple of years after its release.

01. Way Back
 02. Late Nights
03. Sweet Sweet
 04. Goosebumps 
05. All I Know Is This 
06. Outside
07. Lose
08. The Curse
09. Guidance
10. Raw Raw 

Based on the present songs and the features that Travis said were going to be on the album in an August 12, 2016 episode of .WAV Radio, it can be presumed that the tracklist is from sometime in July-August. Two pieces of supporting evidence: 1) The original ""Guidance"" dropped June 5, 2016, so it can't have been before then; 2) ""All I Know"" was recorded in early July 2016, and Kamaiyah was still on the album as of August 12. 

""Late Nights"" is ""Through the Late Night""; ""Outside"" was possibly solo at this point, and ""RaRa"" may be too if it didn't feature Offset at this point. Differences for every other song are likely, but unknown.",,,Clear,,"Tracklist (Screenshot)

HotNewHipHop Article"
Birds,"[Unknown Project with Sauce Walka] [August 9, 2016]
(Source: Sauce Walka)","Sauce Walka and Travis were said to be working on a ""5-song EP"", with ""2 or 3"" songs already completed by August 9, 2016. No songs have surfaced from this project, other than possibly ""Texas Cyclone"".",N/A,,N/A,,
"Huncho Jack, Jack Huncho","Huncho Jack, Jack Huncho [December 21, 2017]
(Source: Leak)","Version of the album that leaked December 21, 2017, just a few hours before it dropped officially. Everything is much louder than the final version; Mike Dean rushed to remaster it quickly after the leak.",N/A,,N/A,,Google Drive
Astroworld,"Astroworld [Final Version]
(Source: Mike Dean)","Whiteboard tracklist shared by Mike Dean after the release of the album. 

01. STARGAZING
02. CAROUSEL
03. SICKO MODE
04. RIP SCREW
05. STOP TRYING TO BE GOD
06. NO BYSTANDERS
07. SKELETONS
08. DON'T WANNA WAKE UP
09. 5% TINT
10. NC-17
11. ASTROTHUNDER
12. YOSEMITE
13. CAN'T SAY
15. BUTTERFLY EFFECT
16. HOUSTONFORNICATION
17. COFFEE BEAN
18. [Blank]
 14. WHO WHAT

No differences, other than ""WAKE UP"" being titled ""DON'T WANNA WAKE UP"". Reveals that ""WHO? WHAT?"" was a last-minute addition, though it was already known to be the last song recorded for the album, per the Complex cover. It also appears that there may have been a song at track 17 (now 18 after the inclusion of ""WHO? WHAT?"") that was scrapped very late on, as one of the columns has a check mark.  This song could possibly be ""Watch"" as it would fit as an outro, but the lack of check marks suggest that the song didn't get very far in the mixing / mastering stage, while ""Watch"" had already received the full Mike Dean treatment.",,,Clear,,"Tracklist (Screenshot)

Complex Article (Screenshot)"
JackBoys,"JackBoys [October 2019 Considerations]
(Source: Leak)","A folder containing three songs labelled for 'JackBoys', all made during the early Don Toliver x Sheck Wes sessions.

01. Classy (Don Toliver x Sheck Wes)
02. What To Do (Don Toliver x Sheck Wes)
03. Solid (Don Toliver x Sheck Wes x Quavo)",N/A,,N/A,,
JackBoys,"JackBoys [December 6, 2019]
(Source: Erin Durant)","Lengthy tentative tracklist that was ultimately trimmed down. Put together by Erin Durant, who was A&R for the project. Sourced from a document that was created on December 6, 2019. Features were not listed, but some songs were credited to specific artists. Credited as ""Jack Boys (Travis Scott, Don Toliver, Sheck Wes and OG Chase B)"". Anything in parentheses is commentary.

01. Out West (presumably with Young Thug)
02. Gang Moves (retitled ""Gang Gang""; might be missing Luxury Tax since he isn't credited as a JackBoy)
03. What To Do (with Don Toliver and Sheck Wes; unclear if Travis had recorded yet)
04. Solid (Don Toliver x Sheck Wes x Quavo)
05. Gold Blackberry (Travis)
06. Top Floor (presumably with Gunna)
07. Don Toliver - Had Enough (with Quavo and Offset)
08. Chase B - May Day (with Sheck Wes and Young Thug; had already been released)
09. OMD (presumably with Roddy Ricch, and Kendrick Lamar wanted)
10. Da Baby (no information)
11. Sheck Wes - Glock on Ice
12. Highest In the Room Remix (Travis and probably Lil Baby; possibly no Mike Dean)

Information on producers can be found in each song's respective unreleased sheet entry, as well as any other known details.",N/A,,N/A,,
Utopia,"Utopia [May 14, 2020]
(ref. Kanye West)
(Source: Leak)","Version of 'Utopia' dated May 14, 2020, featuring Kanye West performing freestyles over some beats, likely meant as a reference; no Travis vocals, although the two can be briefly heard talking in some of the files. Ye was rumoured to be executive producing the album in 2020, and it appears that this is from that time. Features 15 tracks (with some having two versions each), including early versions of ""Delresto"" and ""Big Champ"". Besides the latter, no other title is known. Although the filenames are numbered, the copy is likely still unordered.
[NOTE: ""(ref. Kanye West)"" is implicit for all the songs]

??. Untitled Ref 1*
??. Untitled Ref 2* (verses idea)
??. Untitled Ref 3* (chorus idea)
??. Big Champ
??. Untitled Ref 4* (Uses an instrumental previewed at the 2021 Cactus Jack x Dior show)
??. Untitled Ref 5*
??. Delresto
??. Untitled Ref 6* / Best Day* [V1] (chorus idea)
??. Untitled Ref 6 / Best Day* [V2] (verse idea)
??. Untitled Ref 7*
??. Untitled Ref 8*
??. Untitled Ref 9*
??. Untitled Ref 10*
??. Untitled Ref 11*
??. Untitled Ref 12*
??. Untitled Ref 13*",N/A,,N/A,,
Utopia,"Dystopia [November 5, 2021]
(Source: Rumour; Unnamed Producer)","Based on information from a producer that has worked extensively with Cactus Jack, as well as what can be inferred from comments made by Travis as part of the GQ Cover 'The Reemergence of Travis Scott', Travis intended to release a mixtape titled 'Dystopia' in late 2021 or very early 2022, followed by the album 'Utopia' in early 2022. While the producer should be a reliable source, they also claimed that they had production on both projects, but didn't appear on 'Utopia'; it's still possible that they were telling the truth and were simply cut. Regardless, the aforementioned GQ Cover states that Travis intended ""other releases"" after the ""Escape Plan"" / ""Mafia"" pack - quite possibly 'Dystopia' - but the AstroFest tragedy halted the plans. 

While no tracks are confirmed, some can be speculated on. ""Heartbeat"" would be a solid contender. KayCyy mentioned that it was intended to be the lead single for 'Utopia' before the leaks messed it up; it could be that he was partially correct, and the song was intended for 'Dystopia' instead. Snippets like ""I Need You*"" would also fit the supposed darker vibe that 'Dystopia' was rumoured to have. It could also be the case that several of the darker songs on 'Utopia' were repurposed from 'Dystopia'.",N/A,,N/A,,GQ Cover
Utopia,"Utopia [November 5, 2021]
(Source: Travis Scott, Speculation)","According to Travis in the GQ Cover 'The Reemergence of Travis Scott', by the time that ""Escape Plan"" and ""Mafia"" were released on November 5, 2021, a version of 'Utopia' was roughly 50-60% completed. It can be deduced that a large number of the songs that made the final cut of the album existed at this time:

-""Hyaena"", ""Sirens"", ""Delresto"" were all verifiably started in 2020
-""Thank God"" and ""God's Country"" were started by Ye in 2020; it's not precisely known when Travis took them. Studio images shared by KayCyy after 'Utopia' released suggest that ""Thank God"" was reworked in June 2021
-""Lost Forever"" was recorded with Gunn in February 2021
-The first part of ""Skitzo"" and ""Til Further Notice"" were verifiably started in 2019, altough the latter was a Metro song for sometime and it's not known precisely when Travis took it. The later parts of ""Skitzo"" could be from sometime from late 2020 to early 2021 based on Travis' lyrics, but this is pure speculation
-""Looove"" was verifiably revisited in mid-2021
-The first part of ""My Eyes"" is said to be one of the first songs worked on the album according to Travis.
-""Future Sounds"" was started in 2019, with Travis recording in 2020 and the last version being dated just before the release of 'Donda'. It's not known when Travis took the song, but SZA (and probably Future) definitely wasn't on the song until very late. It's a safer to guess it was reworked into ""Telekinesis"" by Travis after the tragedy
-""Modern Jam"" is unclear; it has to be from 2021 at the earliest, but it may have been started after AstroFest

Due to the lack of clarity surrounding the 'Dystopia' / 'Utopia' situation, it's difficult to speculate on what other songs were in consideration at this time and whether or not all of the aforementioned songs were intended for the album. ""In My Head"" is the only solid guess, since it was briefly previewed at Travis's Dior x Cactus Jack show alongside ""Escape Plan"" and ""Lost Forever"". ""Respected"" and ""Hold On"" are said to be from 2020, possibly meant for the album, but totally unconfirmed as of now. ""Franchise"" was first advertised as the opener of the 'Utopia' era in 2020, but it's likely it was later cut from the project in 2021.",N/A,,N/A,,GQ Cover
