Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
Owl Pharaoh,"Blocka La Flame [Demo 2]
[prod. Young Chop & MIKE DEAN]
(AKA: Blocka)",Teased in October 2012. Features Mike Dean applying his production.,,,,Snippet - LQ,,Pillowcase
Owl Pharaoh,"Blocka La Flame [Demo 3]
[prod. Young Chop & MIKE DEAN]
(AKA: Blocka)","Near-complete; some of the vocal effects in the background are less noticeable, and it doesn't feature the background vocals found on the final version at around 2:52. Leaked on July 19, 2013, after being acquired from Tony Loney by KTT users Carlos and xxman.",3:34,,"Jul 19, 2013",Full - HQ,,KrakenFiles
Owl Pharaoh,"🏆 Can't Look In My Eyes [V1]
(feat. Kid Cudi & Kanye West)
[prod. Anthony Kilhoffer, Kanye West, MIKE DEAN & Travis Scott]
(AKA: Fuck)","Song that appears on the August 2012 tracklist; production credits confirmed through tweets from Travis (Mike Dean was mentioned in a separate tweet). Posts from some KTT users and GOODMUSICINSIDER indicate that it is an early version of Kid Cudi's ""Too Bad I Have to Destroy You Now"" (previously/alternatively known as ""Can't Look In My Eyes""), before Travis and Kanye were cut. Pharaoxx stated that ""Fuck"" was actually ""Shit On You""; the evidence seems to suggest that he was wrong, but it's possible that both things are true, with ""Fuck"" developing into ""Can't Look In My Eyes"", and either the instrumental or Travis's vocals being used in some capacity on either ""Bad Mood"" (due to the heavy presence of the word ""fuck"") or ""Shit On You"".",,,,N/A,,
Owl Pharaoh,"Kid Cudi - Can't Look In My Eyes [V2]
(feat. Kanye West & Travis Scott)
[prod. Kid Cudi & Dot da Genius]","Later version of ""Fuck""; eventually became ""Too Bad I Have To Destroy You Now"". A snippet circulated on KTT in April 2013, but it appears to be lost. At a 2014 meet-and-greet, according to a KTT user, Travis expressed mild annoyance when ""TBIHTDYN"" was played over the speakers, stating: ""Aye, turn this shit off. Me and 'Ye were supposed to be on this but [Cudi] took us off"". According to another KTT user, Travis confirmed that Cudi had already reworked the beat by this point, likely bringing in the ""Son of Flynn"" sample.",,,,N/A,,
Owl Pharaoh,"Can't Look In My Eyes [V3]
(feat. Kanye West & Kid Cudi)
[prod. Kid Cudi & Dot da Genius]","Travis tweeted on March 26, 2013, that he wanted to drop ""Can't Look In My Eyes"" after Cudi cut it from his album, and he stated on Twitter that the original version was better after it released, which was probably in reference to ""Fuck"". This is likely the Kanye and Cudi song that Pharaohxx mentioned would appear on the iTunes deluxe version of ""Owl Pharaoh"", but the project never released and Cudi took the song back anyway. Leaked audio clips from an unknown time show what sounds like will.i.am calling the song ""fresh"" during a listening session of 'Owl Pharaoh'.",,,,N/A,,
Owl Pharaoh,"🏆 Chaz Interlude [Demo] 
(feat. Toro y Moi) 
[prod. Toro y Moi]","Appears on the May 2013 tracklist. 4:42 long, 3:02 longer than release.",4:42,,,N/A,,
Owl Pharaoh,"Cracks
[prod. Travis Scott]","An old song title referenced by L$ as being on some older versions of 'Owl Pharaoh'. Often written alongside ""Angels vs. Demons"", implying a two-part version.",,,,N/A,,
Owl Pharaoh,"Dance on the Moon [Demo 1]
(feat. Theophilus London) 
[prod. J Gramm]
(AKA: Dancing on the Moon) ","Early version that doesn't feature Paul Wall. Travis's verses, which are the opposite way around, use an earlier take and have a few different lyrics. Possibly titled ""Dancing on the Moon"" at this point, as it appears as such on the May 2013 tracklist. Posted privately to a SoundCloud account on March 5, 2013, but wasn't made publicly available until August 18, 2016.",3:04,,"Aug 18, 2016",Full - HQ,,Krakenfiles
Owl Pharaoh,"Dance on the Moon [Demo 2]
(feat. Theophilus London & Paul Wall) 
[prod. J Gramm]","Appears on the May 2013 tracklist. 4:04 long, 1:10 shorter than release. Possibly missing a Travis verse.",4:04,,,N/A,,
Owl Pharaoh,"Drive [Demo 1]
[prod. Lil' Flip]","In an interview with TheDrop.fm, Travis stated that the ""real ""Drive"""" had him freestyling over an instrumental produced by Lil' Flip ""for like the first minute"". Presumably an early concept that evolved into ""Drive""; the instrumental was likely ""I Can Do Dat"", which was sampled in the released version's intro.",,,,N/A,,
