Era,Name,Notes,Art Type,Image,Project Type,Use,Link(s)
Special Herbs,"Special Herbs, Vol. 1",,Scan,,Front Cover,Used,https://dump.li/image/get/2f3e175e10384fed.jpeg
Special Herbs,"Special Herbs, Vol. 1 [Back]",,Scan,,Back Cover,Used,https://dump.li/image/get/22939a70254f9df2.jpeg
Special Herbs,"Special Herbs, Vol. 1 & 2",,Digital,,Front Cover,Used,https://dump.li/image/get/293bb5500d39f3c9.jpeg
Special Herbs,"Special Herbs, Vol. 1 & 2 [Back]",,Scan,,Back Cover,Used,https://dump.li/image/get/1d351485392df13f.jpeg
Special Herbs,"Special Herbs, Vol. 1 & 2 [Alternate]",,Digital,,Front Cover,Alternate,https://dump.li/image/get/9f02594f89abae2e.jpeg
Special Herbs,"Special Herbs, Vol. 1 & 2 [Alternate] [Back]",,Scan,,Back Cover,Alternate,https://dump.li/image/get/8d9859e4843e1524.jpeg
Special Herbs,"Special Herbs, Vol. 1 & 2 [Alternate 2]",,Digital,,Front Cover,Alternate,https://dump.li/image/get/8c962b66e2016e6e.jpeg
Special Herbs,"Special Herbs, Vol. 1 & 2 [Alternate 2] [Back]",,Scan,,Back Cover,Alternate,https://dump.li/image/get/e1fdceab89751503.jpeg
Special Herbs,"Special Herbs, Vol. 3",,Digital,,Front Cover,Used,https://dump.li/image/get/c331d1e6f30170c3.jpegg
Special Herbs,"Special Herbs, Vol. 3 [Back]",,Scan,,Back Cover,Used,https://dump.li/image/get/1d941c0bc3041ee5.jpeg
Special Herbs,"Special Herbs, Vols. 3 & 4",,Digital,,Front Cover,Used,https://dump.li/image/get/db5906a01598d5da.png
Special Herbs,"Special Herbs, Vols. 3 & 4 [Back]",,Scan,,Back Cover,Used,https://dump.li/image/get/aded754bf7ae9cf4.jpeg
Special Herbs,"Special Herbs, Vols. 3 & 4 [Alternate 1]",,Digital,,Front Cover,Alternate,https://dump.li/image/get/6aba1cd9f7271d14.jpeg
Special Herbs,"Special Herbs, Vols. 3 & 4 [Alternate 1] [Back]",,Scan,,Front Cover,Alternate,https://dump.li/image/get/825585ea009b7f3a.jpeg
