Era,Name,Notes,File Date,Leak Date,Full Length,BPM,Available Length,Quality,Link(s)
SOS,"SOS [Inst.]
(prod. Jay Versace)","Instrumental for ""SOS"".",,,1:50,79,Full,Lossless,https://pillows.su/f/98b37cfa8fc1b9f87be60287b1a50500
SOS,"Special [Inst.]
(prod. ​benny blanco, Shellback, Omer Fedi & Blake Slatkin)","Instrumental for ""Special"".",,,2:39,83,Full,Lossless,https://pillows.su/f/ae7e0c89108bc25916db145c871e39e0
SOS,"The Other Side [Inst.]
(with Justin Timberlake) (prod. Justin Timberlake & Ludwig Göransson)","Instrumental for ""The Other Side"".",,,3:06,106,Full,CD Quality,https://pillows.su/f/1986b956ec11c1ef713df9d90881ce2a
SOS,"Too Late [Inst.]
(prod. Carter Lang, Rob Bisel, Still Woozy, ThankGod4Cody & Sammy Witte)","Instrumental for ""Too Late"".",,,2:45,128,Full,Lossless,https://pillows.su/f/f36cd48bb81d2e82b5044ab64c5e39a1
SOS,"DJ Khaled - Beautiful [Inst.]
(feat. SZA & Future) (prod. DJ Khaled, TM88, KXVI & Paola Barba)","Instrumental for ""Beautiful"".",,,3:43,172,Full,Lossless,Link Needed
SOS,"Doechii - Persuasive (Remix) [Inst.]
(feat. SZA) (prod. Kal Banx)","Instrumental for the ""Persuasive"" remix featuring SZA.",,,3:30,120,Full,CD Quality,https://pillows.su/f/58e54721ccb267d0c8e601a3749018e9
SOS,"Doja Cat - Kiss Me More [Inst.]
(feat. SZA) (prod. Carter Lang, Rogét Chahayed, ​tizhimself, Yeti Beats & Dr. Luke)","Instrumental for ""Kiss Me More"".",,,3:28,111,Full,Lossless,https://pillows.su/f/20442590fc9d1230f2350889de1ef8c0
SOS,"Lizzo - Jon N Vinny's [Inst.]
(feat. SZA) (prod. star boy)","Instrumental for ""Jon N Vinny's"".",,,,,OG File,CD Quality,Link Needed
SOS,"Pharrell Williams - Fucking Feel Good [Inst.]
(prod. Pharrell Williams & Murda Beatz)
(Can I Change Your Mood)","OG Filename: FFG_PxMurda
Instrumental for ""Fucking Feel Good"". Earliest version of the ""Glo"" instrumental which was used by Pharrell Williams and contains additional production from Murda Beatz.",,,2:57,160,OG File,CD Quality,https://pillows.su/f/196f574a8bc18f96769cd82043dca030
SOS,"Summer Walker - No Love (Extended) [Inst.]
(feat. SZA & Cardi B) (prod. FORTHENIGHT & Sonni)","Instrumental for the extended version of ""No Love"" featuring SZA and Cardi B.",,,4:36,134,Full,High Quality,https://pillows.su/f/6d8dc1948a206ad0784fe1d2d3805a31
SOS,27 Hours [V1] [Acapella],"Acapella for ""27 Hours"" [V1].","Sep 7, 2022",,3:12,74,Full,CD Quality,https://pillows.su/f/69e3593ecebec148096bcccfe2aa44f4
SOS,"Blind [Acapella]
(prod. Rob Bisel, Yuli, Carter Lang & Will Miller)","Acapella for ""Blind"".",,,2:30,114,Full,Lossless,https://pillows.su/f/b54faf962c824cc8b1c7f413324d27d4
SOS,"Kill Bill [Acapella]
(prod. Carter Lang & Rob Bisel)","Acapella for ""Kill Bill"".",,,2:34,89,Full,Lossless,https://pillows.su/f/3a7655f3500312c08554f8bd10c432ee
SOS,Too Late [Acapella],"Unmastered acapella for a slightly different mix of ""Too Late"".",,,2:46,128,Full,CD Quality,https://pillows.su/f/4e573a5fa6926dd2f28316585086942d
SOS,"Shirt [Acapella]
(prod. Rodney Jerkins & Freaky Rob)
(Bloodstain)","Acapella for ""Shirt"".",,,3:01,120,Full,Lossless,https://pillows.su/f/a6a03b4e7573b9d6f3884fc51edd7e17
SOS,"SOS [Acapella]
(prod. Jay Versace)","Acapella for ""SOS"".",,,1:43,79,Full,Lossless,https://pillows.su/f/555df63dbac4d4d4f705485ab50184ef
SOS,"Low [TV Track]
(prod. Aire Atlantica, Alessandro Buccellati & Rob Bisel)","Official TV track for ""Low"" which was leaked by AdoreLeaks on 12/22/2024.",,,3:01,145,Full,Lossless,https://pillows.su/f/a8444bf15a10fc165ec17710565e0854
,"LANA [V1]
(SOS Deluxe)","(08/08/2023) (LANA is announced to be released in fall of 2023)
(03/27/2024) (LANA receives a full rework)",,,,,"The first version of Lana, the deluxe edition of American singer-songwriter SZA's sophomore album SOS, was originally going to contain fan-favorite unreleased tracks, as stated by the artist on a Stationhead livestream which took place on December 14, 2022. It was likely to contain a version of ""BMF"" featuring Lizzo, which did not appear in the released version of the deluxe. She presented six potential album covers on December 10, 2022, which were also not used for the official release.",,
LANA [V1],"Saturn [Inst.]
(prod. Carter Lang, Rob Bisel, Solomonophonic & Monsune)","Instrumental for ""Saturn"".",,,3:06,148,Full,Lossless,https://pillows.su/f/c374b34cbc730ed9dc837bc74ab3da7f
LANA [V1],"Saturn [Acapella]
(prod. Carter Lang, Rob Bisel, Solomonophonic & Monsune)","Acapella for ""Saturn"".",,,3:06,148,Full,Lossless,https://pillows.su/f/4efd9fb20c3029602b217df6806fd518
,"LANA [V2]
(SOS Deluxe)","(12/09/2024) (SOS Deluxe: LANA is officially announced)
(12/20/2024) (SOS Deluxe: LANA is officially released)",,,,,"Lana (fully titled SOS Deluxe: Lana) is the reissue of SOS, the second studio album by American singer-songwriter SZA. It was released on December 20, 2024, through Top Dawg Entertainment and RCA Records. It features a single guest appearance from Kendrick Lamar. The album was supported by the singles ""Saturn"", released on February 22, and ""Drive"", released concurrently with the album itself.",,
LANA [V2],"Kendrick Lamar - luther [Inst.]
(with SZA) (prod. Sounwave, Jack Antonoff, Cardo Got Wings, Kamasi Washington, Scott Bridgeway, Roselilah & Matthew ""MTech"" Bernard)","Instrumental for ""luther"" found on Hipstrumentals.",,,2:54,138,Full,CD Quality,https://pillows.su/f/c3d90670f335887d31fa9a3326cc1866
,LP3 / LP4,"(12/20/2024) (SZA announces the reissue of LANA)
(01/04/2025) (SZA states she wants to potentially create children's music to fulfill her final 2 contractual album releases)
(02/06/2025) (The expansion is announced to release on 02/09/2025)
(02/09/2025) (The bonus tracks are released)",,,,,"Lana (fully titled SOS Deluxe: Lana) is the reissue of SOS, the second studio album by American singer-songwriter SZA. It was released on December 20, 2024, through Top Dawg Entertainment and RCA Records. It features a single guest appearance from Kendrick Lamar. The album was supported by the singles ""Saturn"", released on February 22, and ""Drive"", released concurrently with the album itself.",,
LP3,"MoRuf - PT Cruiser [Inst.]
(with SZA) (prod. Jesse Boykins III, MeLo-X, Nathan Bajar & Aspene Taylor)","Instrumental for ""PT Cruiser"" found on Hipstrumentals.",,,3:43,133,Full,CD Quality,https://pillows.su/f/1f075b26c7197a38b7ce15c32b9035da
