Era,Name,Notes,Designer,Date,Image,Art Type,Use,Link(s)
"Rich Gang: 
Tha Tour Pt. 1","Birdman Presents Rich Gang: 
Tha Tour Pt. 1
(with Rich Gang, Rich Homie Quan & Birdman)","Official cover art for Birdman Presents Rich Gang: Tha Tour Pt. 1 with Young Thug, Rich Homie Quan, and Birdman.

Design: Colourful Mula

Best Available Resolution: 2100x2100",,,,Cover,Mixtape,https://i1.sndcdn.com/artworks-000092496102-rkghps-original.jpg
"Rich Gang: 
Tha Tour Pt. 1","Birdman Presents Rich Gang: 
Tha Tour Pt. 1
(with Rich Gang, Rich Homie Quan & Birdman)",,,,,Tracklist,Mixtape,
"Rich Gang: 
Tha Tour Pt. 1","Rich Gang - Lifestyle
(feat. Young Thug & Rich Homie Quan)",,,,,,,
,"Take Kare
(feat. Lil Wayne)",Design: Colourful Mula,,,,,,
Slimeball,"Slimeball
(with ABG Khrome)","Official cover art for Slimeball with ABG Khrome, hosted by Sam Hoody and DJ Fly Guy

Best Available Resolution: 1100x1100",,,,Cover,Mixtape,https://images.genius.com/18098607077e3823aab23278a60f8344.600x600x1.jpg
Barter 6,Barter 6,"OG Filename: youngthug_barter6_cover-FINAL.jpg

Official cover art for ""Barter 6"".

Art Direction: Virgilio Tzaj
Design: Virgilio Tzaj
Photography: Sandy Kim

Best Available Resolution: 3200x3200",,,,Cover,Mixtape,https://pillows.su/f/3800a95afe3d41e16cf40ecda703dabe
Barter 6,Barter 6 [Original Cover],"Original cover art for ""Barter 6"", when it was still titled ""Carter 6"".

Art Direction: Virgilio Tzaj
Design: Virgilio Tzaj
Photography: Sandy Kim

Best Available Resolution: 640x640",,,,Cover,Mixtape,
Barter 6,Check,,,,,Cover,Single,
Barter 6,"I Got
(with Peewee Longway)",,,,,Cover,Single,
Barter 6,"2 Chainz - Dresser
(feat. Young Thug)",,,,,Cover,Feature,
Barter 6,"Cassius Jay - Boot Up
(feat. Young Thug & YC)",,,,,Cover,Feature,
Barter 6,"DJ Drama - Right Back 
(feat. Jeezy, Young Thug & Rich Homie Quan)",,,,,Cover,Feature,
Barter 6,"Extream Bling - 100's and 50's
(feat. Young Thug)",Design: Al Graphix,,,,Cover,Feature,
Barter 6,"Fiend - Lemon Squeeze
(feat. Young Thug, Fi CHiEF & Corner Boy P)",,,,,,,
