Era,Name,Notes,Length,Release Date,Type,Streaming,Link(s)
Drip or Drown,"Award
(prod. Wheezy)",Track 5 on Drip or Drown.,2:49,"Nov 30, 2017",EP Track,Yes,https://open.spotify.com/track/0h10QOjsPhpyRBF2FyuHaH?si=c7388c4c1ae146fb
Drip or Drown,"Don't Play With It
(feat. Young Thug) (prod. Wheezy)",Track 6 on Drip or Drown.,4:10,"Nov 30, 2017",EP Track,Yes,https://open.spotify.com/track/4Lg4amkojlVz5FQtbH0e3C?si=fca2bce4b856409d
Drip or Drown,"Dodge the Hate
(prod. Wheezy)",Track 7 on Drip or Drown.,2:35,"Nov 30, 2017",EP Track,Yes,https://open.spotify.com/track/2QZqsSJQ4xcETLTlFtnUVA?si=5a4358d5b4ae4734
"17 Mixtape Tracks
0 Single
0 Feature
0 Production
0 Other",Drip Season 3 (Deluxe),"(11/30/2017) (Gunna releases Drip or Drown)
(2/2/2018) (Gunna releases Drip Season 3)",,,Other,,
Drip Season 3,"Helluva Price
(prod. Metro Boomin)",Track 1 on the deluxe version of Drip Season 3.,2:25,"Feb 2, 2018",Mixtape Track,Yes,https://open.spotify.com/track/5bFym95c4l7Q7cVIYArOzC?si=6791869b2bdb48c2
Drip Season 3,"Drippin'
(prod. Richie Souf)",Track 2 on the deluxe version of Drip Season 3.,2:36,"Feb 2, 2018",Mixtape Track,Yes,https://open.spotify.com/track/3hRgJDDSSv7ldLVlWUlas9?si=4a8cb72c0bd44746
Drip Season 3,"Almighty
(feat. Hoodrich Pablo Juan) (prod. Turbo)",Track 3 on the deluxe version of Drip Season 3.,2:24,"Feb 2, 2018",Mixtape Track,Yes,https://open.spotify.com/track/7tjXeAUgZEe2yE6nSOcqWA?si=cc125db8f7f44f0f
Drip Season 3,"At the Hotel
(feat. Lil Uzi Vert & Young Jordan) (prod. Turbo)",Track 4 on the deluxe version of Drip Season 3.,3:49,"Feb 2, 2018",Mixtape Track,Yes,https://open.spotify.com/track/5RIVAc0J3PAsw4aqkzO7TM?si=2fac4d269b57411d
Drip Season 3,"Top Off
(prod. Richie Souf)",Track 5 on the deluxe version of Drip Season 3.,3:17,"Feb 2, 2018",Mixtape Track,Yes,https://open.spotify.com/track/0HCnj7pfrvshnocOJUFeit?si=e95c0d3d3742433d
Drip Season 3,"King Kong
(feat. Young Thug) (prod. Richie Souf)",Track 6 on the deluxe version of Drip Season 3.,2:32,"Feb 2, 2018",Mixtape Track,Yes,https://open.spotify.com/track/6I1EY5Wvad8WD0mVWDjka9?si=c06caa99955140f9
Drip Season 3,"Pedestrian
(prod. Doughboy Beatz, Metro Boomin & Wheezy)",Track 7 on the deluxe version of Drip Season 3.,3:45,"Feb 2, 2018",Mixtape Track,Yes,https://open.spotify.com/track/30YhyUmaegqSxsBICCeVzY?si=baed342918854017
Drip Season 3,"Lies About You
(feat. Lil Durk) (prod. Richie Souf)",Track 8 on the deluxe version of Drip Season 3.,2:55,"Feb 2, 2018",Mixtape Track,Yes,https://open.spotify.com/track/3vCzerngFaftC640dbuh8B?si=9e5a502050b44d0b
Drip Season 3,"Mistress
(prod. Beat Dilla)",Track 9 on the deluxe version of Drip Season 3.,2:51,"Feb 2, 2018",Mixtape Track,Yes,https://open.spotify.com/track/4WSbFi3yvVmaS2JGYu0h7P?si=b1b168a85b3d41d8
Drip Season 3,"Car Sick
(feat. NAV & Metro Boomin) (prod. Metro Boomin & NAV)",Track 10 on the deluxe version of Drip Season 3.,3:39,"Feb 2, 2018",Mixtape Track,Yes,https://open.spotify.com/track/4xisLMFhYADhKnkOCCV4Am?si=f1ed15fc3a7c41e0
Drip Season 3,"My Soul
(prod. London on da Track & Metro Boomin)",Track 11 on the deluxe version of Drip Season 3.,2:38,"Feb 2, 2018",Mixtape Track,Yes,https://open.spotify.com/track/0OQpNjKRWIuHwsw1pHb397?si=722e6792eadc42ae
Drip Season 3,"No Joke
(prod. Metro Boomin)",Track 12 on the deluxe version of Drip Season 3.,3:15,"Feb 2, 2018",Mixtape Track,Yes,https://open.spotify.com/track/37ehwQANnRHdqvWdPlkFWA?si=e0d12a5d24104160
Drip Season 3,"Oh Okay
(feat. Young Thug & Lil Baby) (prod. DJ Bangout, BeldonDidThat & Turbo)",Track 13 on the deluxe version of Drip Season 3.,3:19,"Feb 2, 2018",Mixtape Track,Yes,https://open.spotify.com/track/38844QuZDlnt44uHPrSA3S?si=2a4145cb5ab0417f
Drip Season 3,"Spending Addiction
(prod. Kacey Khaliel & Turbo)",Track 14 on the deluxe version of Drip Season 3.,3:06,"Feb 2, 2018",Mixtape Track,Yes,https://open.spotify.com/track/5diN5Ht0cc3B7iAbYde8i3?si=58dcb7db5f0e4684
Drip Season 3,"Money Don't Change You
(prod. DY Krazy)",Track 15 on the deluxe version of Drip Season 3.,2:37,"Feb 2, 2018",Mixtape Track,Yes,https://open.spotify.com/track/5jEcSol3KvaNc12SMyQcOu?si=94e69521d5094ad7
Drip Season 3,"Toast Up
(prod. Bobby Raps & Wheezy)",Track 16 on the deluxe version of Drip Season 3.,3:49,"Feb 2, 2018",Mixtape Track,Yes,https://open.spotify.com/track/0nlQLaytSQwrY6d5cS2X2i?si=6d35f0e3e33c40c2
Drip Season 3,"Drip or Drown (Remix)
(feat. Lil Yachty) (prod. Wheezy)",Track 17 on the deluxe version of Drip Season 3.,2:58,"Feb 2, 2018",Mixtape Track,Yes,https://open.spotify.com/track/4rTwXrxC6fyn3g5y3DGTIJ?si=862a169801f5415d
"13 Mixtape Tracks
1 Single
1 Feature
0 Production
0 Other","Drip Harder
(Collaboration with Lil Baby)","(2/2/2018) (Gunna releases Drip Season 3)
(10/5/2018) (Gunna & Lil Baby release Drip Harder)",,,Other,,
