Era,Name,"Notes
(Join the Discord to help fix any issues + help with dead links)",Full Length,Leak Date,"File
Date",Quality,Available Length,Link(s)
MUSIC [V1],"Ye - City Of Gods [V8]
(with Fivio Foreign & Alicia Keys) (feat. Playboi Carti) (prod. Ye, AyoAA, Ojivolta, Dem Jointz, Non Native, BoogzDaBeast, Hemz, Tommy Rush, Tweek Tune, Lil Mav, Bordeaux & MIKE DEAN)",Stems of City Of Gods. Ripped from the stem player.,,N/A,,Studio Stems,Yes,https://pillows.su/f/d6f5f7136557cf0d19c2a4a471f2de98
MUSIC [V1],"Ye - Mr. Miyagi
(feat. Future & Playboi Carti) (prod. AyoAA)","Stems of Mr. Miyagi. Leaked on May 19, 2023.",,"May 19, 2023",,Studio Stems,Yes,https://pillows.su/f/6010baa79862caa7bc5ca0c83e6d18e3
MUSIC [V1],"Ye - We Did It Kid
(feat. Migos, Rich The Kid & Playboi Carti) (prod. AyoAA)","Stems for We Did It Kid version featuring Migos, Rich The Kid and Carti adlibs. Leaked on April 28, 2023",,"Apr 28, 2023",,Studio Stems,Yes,https://pillows.su/f/5a08a87fd2dad26eccbef48eea3b7e6e
,MUSIC [V2],,,,,,,
,Instrumentals,,,,,,,
MUSIC [V2],"MEET YO MAKER [Remix] [INSTRUMENTAL]
(prod. Tommy Wright II & X-Rated Al)",The original Instrumental for MEET YO MAKER. Originally from Meet Yo Maker by Tommy Wright III.,,2006,,Instrumental,Yes,https://www.youtube.com/watch?v=P2_zjJaMNyI
MUSIC [V2],"Lil Uzi Vert - Vetements Jeans [Instrumental]
(feat. Playboi Carti) (prod. Maaly Raw)","Instrumental for the unreleased song ""Vetements Jeans"" previewed by Maaly Raw on a livestream sometime in 2021.",,2023,,Instrumental,Snippet,https://imgur.gg/f/4aUiLcp
MUSIC [V2],"The Weeknd & Madonna - Popular [Instrumental]
(with Playboi Carti) (prod. Metro Boomin, MIKE DEAN, The Weeknd, & Tommy Rush)","Instrumental to the released song ""Popular"".",,N/A,,Instrumental,Yes,https://pillows.su/f/65c6d698f42a67ffcab1dfa01ce419ab
,Stems,,,,,,,
MUSIC [V2],"Travis Scott - FE!N [Dolby Atmos Stems]
(feat. Playboi Carti & Sheck Wes) (prod. Travis Scott & Jahaan Sweet)",Dolby Atmos stems ripped from Apple Music.,,N/A,,5.1 Stems,Yes,https://pillows.su/f/8d21301546154c5912c3b909da995be1
,Other,,,,,,,
MUSIC [V2],"The Weeknd & Madonna - Popular [Acapella]
(with Playboi Carti) (prod. Metro Boomin, MIKE DEAN, The Weeknd, & Tommy Rush)","Acapella to the released song ""Popular"".",,N/A,,Acapella,Yes,https://pillows.su/f/3a0085a4299e1e7647a613ee64793c31
,MUSIC [V3],,,,,,,
,Instrumentals,,,,,,,
MUSIC [V3],"2024 [Instrumental]
(prod. Ojivolta, EarlOnTheBeat & Kanye West)","Early version of the instrumental uploaded by EarlOnTheBeat on TikTok. Uses a bass guitar instead of 808s. Recorded on November 27, 2023",,"Nov 29, 2025",,Instrumental,Snippet,https://www.tiktok.com/@earlonthebeattt/video/7578272531157716238
MUSIC [V3],"BITCH YOU'RE BLOCKED [Instrumental]
(prod. DJ Heroin, Roark, Ojivolta)
(REAL MUSIC, bitch your blocked)","Official instrumental for ""REAL MUSIC"" leaked in an Ojivolta x Opium beat pack.",,"May 26, 2024",,Instrumental,Yes,https://pillows.su/f/783a116a6af0b83651cec34b8d920dc2
MUSIC [V3],"BOPPER [Instrumental]
(ref. Keith Lawson) (prod. OjiVolta, DJH)","OG Filename: 08_-_realwar_djh_oxvb_144bpm
Instrumental for Bopper.",,2024,,Instrumental,Yes,https://imgur.gg/f/UjggEUZ
MUSIC [V3],"KAREER KRIMINAL [Alt Instrumental]
(prod. Cardo Got Wings)","Instrumental for Kareer Kriminal, given to YoDogg for ""Slimey Wolf"". Has differences in 808s and drum pattern used, same melody.",,"Dec 6, 2025",,Instrumental,Yes,https://pillows.su/f/6f866a23920bd87dd2c5e033691f81f7
MUSIC [V3],"M.I.A (Instrumental)
(prod. Johnny Juliano)
(BETTER OFF ALONE, RING THE ALARM, SAY YEAH)","A snippet of the beat would be posted via Carti's IG burner sometime in January 2024. Carti actually recorded on the beat, and song has a HXG feature. The same beat was used by Wiz Khalifa on his song ""Say Yeah"". ",,2012,,Instrumental,Yes,https://pillows.su/f/3dc79ef5912143bd1c322e5dd8150434
MUSIC [V3],"OVERLY [Instrumental]
(prod. Maaly Raw)","Instrumental for ""OVERLY"", you can still hear the vocals/adlibs throughout the song as the file has been exported wrongly by Interscope. Leaked by Raahim.",,"Mar 1, 2026",,Instrumental,Yes,https://imgur.gg/f/40dPYmg
MUSIC [V3],"A$AP Nast - Take a Soul [Instrumental]
(feat. Playboi Carti) (prod. The Alchemist)","Instrumental for ""Take a Soul"".",,"Apr 12, 2025",,Instrumental,Yes,https://www.youtube.com/watch?v=ctvv8iIeGAs&ab_channel=N%C3%B8kk
MUSIC [V3],"Camila Cabello - I LUV IT [Instrumental]
(feat. Playboi Carti) (prod. El Guincho & Jasper Harris)",Official instrumental of I LUV IT by Camila Cabello.,,"Mar 30, 2024",,Instrumental,Yes,https://pillows.su/f/aedfdef1046685693e2f01bb19106a53
MUSIC [V3],"Latto - Blick Sum (Instrumental)
(feat. Playboi Carti) (prod. Kid Hazel, Ricci Riera, Evil Nani & W$Kharri)","Instrumental for ""Blick Sum""",,"Apr 27, 2025",,Instrumental,Yes,https://music.froste.lol/song/d401f183a92bf96b42bd3a8ee60bca73
MUSIC [V3],"The Weeknd - Timeless [Instrumental]
(feat. Playboi Carti) (prod. Pharrell Williams, Ojivolta, Twisco & Mike Dean)",Instrumental released with the Doechii remix,,"May 9, 2025",,Instrumental,Yes,https://music.froste.lol/song/7776c984f80090c64519c890e13810a3
MUSIC [V3],"¥$ - CARNIVAL [Instrumental]
(prod. TheLabCook, Ojivolta, Digital Nas, Mike Dean & Ye)",Released via the CARNIVAL PACK. ,,"Feb 15, 2024",,Instrumental,Yes,https://pillows.su/f/f953a02dc7cf70e579359498c59abc79
MUSIC [V3],"¥$ - FIELD TRIP [Instrumental]
(prod. Wheezy)",Instrumental mix of Don Toliver's DISCONNECTED (FIELD TRIP) from 12/2/23.,,"Oct 21, 2024",,Instrumental,Yes,https://pillows.su/f/fbb085755d817d7733aab1833360a888
,Stems,,,,,,,
MUSIC [V3],"The Weeknd - Timeless [Dolby Atmos Stems]
(feat. Playboi Carti) (prod. Pharrell Williams, Ojivolta, Twisco & Mike Dean)","Dolby Atmos stems of ""Timeless"".",,"Sep 27, 2024",,5.1 Stems,Yes,https://krakenfiles.com/view/C859tF9yem/file.html
,Samples,,,,,,,
MUSIC [V3],COCAINE NOSE [Sample],Original sample used in COCAINE NOSE - 'Only U' by Ashanti.,,2025,,Sample,Yes,https://www.youtube.com/watch?v=Y4IjiJI_pNU
MUSIC [V3],OPM BABI [Sample],Track 3 on Reworked Soul Selections 2 by Sample Magic.,,2022,,Sample,Yes,https://pillows.su/f/17d5d73c0cf0cb5961e4a1fdc7ae8ebf
MUSIC [V3],Poison [Sample],Sample used in the unheard track POISON revealed by King Bob,,1990,,Other,Yes,https://www.youtube.com/watch?v=hgnhVcyLy1I
MUSIC [V3],"¥$ - FIELD TRIP [Sample]
(prod. Dez Wright & Wheezy)",Original sample used in Field Trip from Dez Wright's Instagram story.,,N/A,,Other,Partial,LINK NEEDED
,Sessions,,,,,,,
MUSIC [V3],"¥$ - FIELD TRIP [Ye Session]
(prod. Wheezy, Dez Wright)",Ye's freestyle vocal takes from the Field Trip session.,,"Oct 21, 2024",,Session,Yes,https://pillows.su/f/456956143b8ae500844f13a45c6062ea https://pillows.su/f/e8a5df1a07ab7b8eea2c31943992c937
MUSIC [V3],"¥$ - MELROSE [Ye Session]
(prod. Wheezy)",Ye's freestyle vocal take from the Melrose session.,,"Oct 21, 2024",,Session,Yes,https://pillows.su/f/b941cb43d459fd1f8a476bbe036834bc
,Other,,,,,,,
MUSIC [V3],"¥$ - CARNIVAL [ACAPELLA]
(feat. Playboi Carti & Rich The Kid)",Released via the CARNIVAL PACK. ,,"Feb 15, 2024",,Acapella,Yes,https://pillows.su/f/2f0c51055a3153a6849476816e008423
MUSIC [V3],"¥$ - CARNIVAL [Carti Acapella]
(feat. Playboi Carti & Rich The Kid)","A stem of Carti recording adlibs over ""HONOR ROLL [V6]"" leaked on June 9, 2024.",,"Jun 9, 2024",,Acapella,Snippet,https://pillows.su/f/78771c19f28d695146302f7cb96c2c45
MUSIC [V3],"¥$ - FIELD TRIP [Don Toliver Acapella]
(feat. Playboi Carti, Don Toliver & Kodak Black)",Acapella of the Don Toliver hook for Field Trip. This seems to be from one of the first versions when it was Don's song.,,N/A,,Acapella,Partial,https://pillows.su/f/b8c6f779fc54de61a099aec140a66688
MUSIC [V3],¥$ - FIELD TRIP [Carti Acapella],Acapella of Carti's vocals for Field Trip.,,N/A,,Acapella,Yes,https://pillows.su/f/c69c841145261aa5c871dea2676d88fd
MUSIC [V3],"¥$ - FUK SUMN [V5] [Carti Acapella]
(feat. Playboi Carti & Quavo) (prod. Digital Nas, Timbaland, SHDØW, Hubi & Shaun Enzo)",Solo Carti acapella for a 10/7/23 version of Fuk Sumn,,"May 20, 2024",,Acapella,Partial,https://pillows.su/f/0d34ab2c3435995d23fb753a98dc197c
,BABY BOI,,,,,,,
,Instrumental,,,,,,,
BABY BOI,"YoungBoy Never Broke Again - Fire Your Manager
(feat. Playboi Carti) (prod. KC Da Beatmonster, AYE SHARK! & Gateway)","Video of KC Da Beatmonster previewing the beat for ""Fire Your Manager"" in FL Studio",,"Nov 22, 2025",,Instrumental,Partial,https://www.tiktok.com/@beatmonsterkc/video/7575639336822099214
,Stems,,,,,,,
BABY BOI,"Sky [CLEAN]
(prod. Art Dealer)","Fortnite's Festival stems of Sky
Tracks 1-2 are Drums, 3-4 Bass, 5-6 Lead, 7-8 Vocals, and 9-10 backing.",,"Dec 11, 2025",,5.1 Stems,Yes,https://mega.nz/folder/fVlQSbpT#alBcIq6iIYrm5BA84MkxOA
BABY BOI,"EVIL J0RDAN [CLEAN]
(prod. Cardo Got Wings, Johnny Juliano & Ojivolta)","Fortnite's Festival stems of EVIL J0RDAN
Tracks 1-2 are Drums, 3-4 Bass, 5-6 Lead, 7-8 Vocals, and 9-10 backing.",,"Dec 11, 2025",,5.1 Stems,Yes,https://mega.nz/folder/WclWxDIQ#koeMJH-mdWulr5HzTGIZJA
BABY BOI,"The Weeknd - Popular [CLEAN]
(feat. Playboi Carti & Madonna) (prod. Metro Boomin, The Weeknd & MIKE DEAN)","Fortnite's Festival stems of Popular
Tracks 1-2 are Drums, 3-4 Bass, 5-6 Lead, 7-8 Vocals, and 9-10 backing.",,"Mar 18, 2025",,5.1 Stems,Yes,https://mega.nz/folder/mNEg3DAC#LUvjIur1cbCZSKkEF-D3_w
BABY BOI,"Tyler, The Creator - EARFQUAKE [CLEAN]
(feat. Playboi Carti) (prod. Tyler, The Creator)","Fortnite's Festival stems of EARFQUAKE
Tracks 1-2 are Drums, 3-4 Bass, 5-6 Lead, 7-8 Vocals, and 9-10 backing.",,"Nov 14, 2025",,5.1 Stems,Yes,https://mega.nz/folder/XIFjiCCZ#ksBFDuuWJ8kd6rFuRnlZ7g
