Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
Surf,"⭐️ How To Fly
(prod. The Social Experiment & Mitchell Owens)","OG Filename: How To Fly (Chance The Rapper) RUFF - arrangement
Song likely originating in either Surf or Acid Rap 2 sessions, due to it's sound and production. The metadata lists Mitchell Owens as the main artist of the track, however it is likely he just did production on it as he's produced for Chance before and has no vocals on the song. Encoded with Logic Pro 9.1.8. Leaked in the 62 gigabyte mass leak.",,,"Jul 4, 2024",OG File,High Quality,https://pillows.su/f/e5a608faf7d8e0c8fb9b17a5302ce0e2
Surf,"⭐️ Wanna Be Cool [V2]
(feat. Jeremih) (prod. The Social Experiment)","OG Filename: wanna b cool jl 1-20 vrs example no bg
Later version of ""Wanna Be Cool"", which would later release on Surf. and lacks the Big Sean and KYLE features and instead has 2 unused Chance verses. Lacks the background vocals from release. Leaked in the 62 gigabyte mass leak.",,"Jan 20, 2015","Jul 4, 2024",OG File,High Quality,https://pillows.su/f/260c570b56a764484e346804a45f7910
Surf,Windows [V1],"OG Filename: Windows tracking ruff jl 10-24
Demo of the Surf track, not to be confused with track off 10 Day. Leaked in the 62 gigabyte mass leak.",,,"Jul 4, 2024",OG File,CD Quality,https://pillows.su/f/5ece1cd44a2babc824f498cc036a8aa3
Surf,Windows [V2],"OG Filename: windows perc conga JL trakin ruff 11-2 1
Contains a updated instrumental with drums and additional vocals. Leaked in the 62 gigabyte mass leak.",,,"Jul 4, 2024",OG File,CD Quality,https://pillows.su/f/d83bec03a4f6b7806741eccae4bd5e3e
Coloring Book,✨ ABC [V2],"OG Filename: abc (112bpm) (take2)
Chance's own spin on the alphabet. One of the best songs ever made. Leaked in the 62 gigabyte mass leak.",,,"Jul 4, 2024",OG File,CD Quality,https://pillows.su/f/5945e9646212007dc68301bcbf521e6d
Coloring Book,Ain't The 1 Here,"OG Filename: house idea aint the 1 here jl 7-14
Unfinished throwaway likely from Coloring Book sessions. Leaked in the 62 gigabyte mass leak.",,,"Jul 4, 2024",OG File,CD Quality,https://pillows.su/f/8224512d3f08b3956a18124b2093cc2d
Coloring Book,Angels [V1],"OG Filename: Angels jl ruff 2A 8-4
Previewed by Chance on Snapchat in 2015. Seems to feature a slightly different beat. Leaked in the 62 gigabyte mass leak.",,,"Jul 4, 2024",OG File,CD Quality,https://pillows.su/f/ce278bec6effd31f7f2278b73868d3da
Coloring Book,"Blessings [V1]
(feat. Jamalia Woods) (prod. The Social Experiment)","OG Filename: blessings1_LA bounce
Demo of Blessings off of Coloring Book. Leaked in the 62 gigabyte mega leak.",,,"Jul 4, 2024",Full,CD Quality,https://pillows.su/f/ef18fb32cafd3d34ec501c1a20757123
Coloring Book,"Drown [V1]
(Finish Line / Drown)","OG Filename: _drown drmz trpt tracking ruff JL 11-2
Very unfinished version of Drown with opens. Leaked in the 62 gigabyte mass leak.",,"Nov 2, 2015","Jul 4, 2024",OG File,High Quality,https://pillows.su/f/2e307733db74fddd919875f3e84fcc09
Coloring Book,"⭐️ End Of The Night
(prod. The Social Experiment)","OG Filename: sox_endofthenight_SLcomp_ruff01
Throwaway from Coloring Book sessions. Seemingly produced by The Social Experiment according to the filename. Metadata is tagged with the old Coloring Book cover, so it's likely it was cut late into the mixtape's development.",,,"Jul 4, 2024",OG File,Lossless,https://pillows.su/f/ceaec470ae997fb30fd593eec405bbb6
Coloring Book,"Juke Jam [V1]
(feat. Towkio)",Original version without Justin Bieber and longer chorus. Leaked as a part of the 62 gigabyte mass leak.,,,"Jul 4, 2024",OG File,CD Quality,https://pillows.su/f/9f7bbff8735a4cfe760239bfa4a0d482
Coloring Book,"🗑️ Make Me Rich
(feat. Jeremih, ??? & ???)","OG Filename: make me rich (ruff)
Throwaway from Coloring Book sessions. Contains a beat consisting of only an 808 and a snare sample. Features vocals from Jeremih and 2 unknown female vocalists. Leaked in the 62 gigabyte mass leak. True masterpiece of a song.",,,"Jul 4, 2024",OG File,CD Quality,https://pillows.su/f/03efc82a47677fee5e0f0a1f4862412b
Coloring Book,"No Problem WIth Me [V1]
(prod. Brasstracks)
(No Problem)","OG Filename: No Problem With Me 01.20.16
Seemingly solo version of No Problem. Contains mumble. Snippet leaked on August 18th, 2022, with the full thing leaking in the 62 gigabyte mega leak.",,"Jan 20, 2016","Jul 4, 2024",OG File,CD Quality,https://pillows.su/f/29be22ba6d4d6cf16d75bb74e6375e3c
Owbum,⭐ 444 Condo,"OG Filename: 444 condo 1E idea 4-25 jl
Unfinished mumble throwaway from Owbum sessions. Leaked in the 62 gigabyte mass leak.",1:53,"Apr 25, 2017","Jul 4, 2024",OG File,CD Quality,https://pillows.su/f/7a251dbcf59e9eb8984166dc5b40e4e9
Owbum,"Best Of
(feat. Joey Purp)","OG Filename: best of freestyles w JP jl ref1B 2-1
Throwaway freestyle between Chance and Joey Purp. Leaked in the 62 gigabyte mass leak.",,,"Jul 4, 2024",OG File,CD Quality,https://pillows.su/f/27e3266218b604179c4a8e357e943cae
Owbum,"Come Down
(feat. ???)","OG Filename: Come Down Idea
Leaked in the 62 gigabyte mass leak. Features an unknown female vocalist on background vocals.",,,"Jul 4, 2024",OG File,CD Quality,https://pillows.su/f/27e3266218b604179c4a8e357e943cae
Owbum,Commute,"OG Filename: Commute scratch idea
Unfinished open verse idea. Leaked in the 62 gigabyte mass leak.",,,"Jul 4, 2024",OG File,CD Quality,https://pillows.su/f/4819ebf0155d8212912530bdc79342c0
Owbum,Check Off A Check,"OG Filename: check off a check ref1A jl 9-20
Unfinished open verse that leaked in the 62 gigabyte mass leak",3:13,,"Jul 4, 2024",OG File,CD Quality,https://pillows.su/f/b712a9da9eb8f29cb8b13674bd87f9d3
Owbum,Cover,This throwaway song from the Owbum sessions leaked in the 62 gigabyte mass leak.,,,"Jul 4, 2024",OG File,CD Quality,https://pillows.su/f/b0a6e669e1ff711c0a37a36d3b2f5216
Owbum,⭐ Cuba,"OG Filename: Cuba_100718
Previewed by Chance on Instagram on April 22nd 2020. Was thought to be from that time period, but was likely from 2018. OG file leaked in the 62 gigabyte mass leak.",,"Oct 7, 2018","Jul 4, 2024",OG File,CD Quality,https://pillows.su/f/b0a6e669e1ff711c0a37a36d3b2f5216
Owbum,"✨ Friday
(feat. ???)","OG Filename: Friday pc 96
Partially finished track confirmed to originate in Owbum sessions. Features an upbeat instrumental and choir background vocals on the hook. Contains some mumble. Leaked in the 62 gigabyte mass leak.",,,"Jul 4, 2024",OG File,Lossless,https://pillows.su/f/4a028d4ee247cc11b436ae64624a66be
Owbum,Give You My All,"OG Filename: GiveYouMyAll_GJ_052218
Throwaway from Owbum sessions. Contains some mumble. Leaked in the 62 gigabyte mass leak",,"May 22, 2018","Jul 4, 2024",OG File,CD Quality,https://pillows.su/f/92f4522e0554e87a31bd9bd449fff3b1
Owbum,I Like,"OG Filename: I like 7-29 jl idea1A
Track from early Owbum sessions. Contains an open verse. Leaked in the 62 gigbyte mass leak.",,"Jul 29, 2017","Jul 4, 2024",OG File,CD Quality,https://pillows.su/f/f3a72166f9d0009b52f809fc1ad7fe89
Owbum,✨ Ice Water,"OG Filename: Ice Water Scratch Idea
Track likely from Owbum sessions due to it's sound. Contains a hook and open verses. Leaked in the 62 gigabyte mass leak.",,,"Jul 4, 2024",OG File,CD Quality,https://pillows.su/f/dc527641792a6d011c16f7f1f493aab0
Owbum,If You Forget,"Previewed by Chance on Instagram on April 24th 2020. Was thought to be from that time period, but was likely from 2018. Contains an open verse. Leaked in the 62 gigabyte mass leak.",,,"Jul 4, 2024",Full,CD Quality,https://pillows.su/f/f78535e26e68577ba0ba94efb507360a
Owbum,"J.J. What [V1]
(feat. Via Rosa & Sterling Hayes) (prod. Nico Segal, Ezra Potash, Adeev Potash, J. Kelr, Spanish Diego)
(Drowsiness)","OG Filename: JJ what 1A jl 10-3
Track originating in sessions for Owbum. Released as ""Drowsiness"" by Sterling Hayes, however this version lacks his verses, only containing his bridge and background vocals. Worked on during GAJ 18 sessions. Leaked in the 62 gigabyte mass leak.",4:24,"Oct 3, 2017","Jul 4, 2024",OG File,CD Quality,https://pillows.su/f/8ddff11a83a52b7d40ea547fcf581ab0
