Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
Almost There,"⭐️Can't Go Like That
(prod. F1LTHY)","OG Filename: Lucki LA 4 2.7
Leaked on July 21, 2020.",2:05,,"Jul 21, 2020",OG File,CD Quality,https://imgur.gg/f/4tVitUn
Days B4 III,"✨Untitled
(prod. CGM Beats)
(Rear View, It Was Simple)","OG Filename: Lucki 11
Previewed on December 19, 2019 via LUCKI's Instagram live. Leaked on July 18, 2020.",2:01,,"Jul 18, 2020",OG File,High Quality,https://krakenfiles.com/view/UXXtg6MWFs/file.html
FLAWLESS LIKE ME [V1],"🏆What It Is What It's Not
(prod. BrentRambo)
(What It Is, What It's Not)","Previewed on June 2, 2020 via LUCKI's Instagram live. Previewed again on July 14, 2020 via LUCKI's Instagram story. Song registered on ASCAP.",,,"Jul 14, 2020",Partial,Recording,"https://imgur.gg/f/EPr4hC0
https://imgur.gg/f/WnZmUmF"
Days B4 III,"⭐️Dangerous
(prod. DJ Eway)
(City Girls)","OG Filename: Lucki 12
Previewed on September 25, 2019 via LUCKI's Instagram. Leaked on June 24, 2020.",1:37,,"Jun 24, 2020",OG File,High Quality,https://krakenfiles.com/view/AYpDkFxdlb/file.html
Watch My Back,"I'm The Truth
(prod. DopamineFiend)
(Serpent)","Leaked on June 19, 2020.",,,"Jun 19, 2020",Full,High Quality,https://krakenfiles.com/view/alF3xg7Xhk/file.html
Days B4 III,"⭐️Cars
(prod. DJ Eway)
(Beans)","OG Filename: Lucki 9
Previewed in June 2019 via LUCKI's Instagram live. Previewed again on December 22, 2019 via LUCKI's Instagram live. Leaked on June 15, 2020.",2:04,,"Jun 15, 2020",OG File,High Quality,https://krakenfiles.com/view/3Kg9znTZT3/file.html
DAYS B4 II EP,"⭐️Dark Life
(feat. Lil Skies) (prod. Marcusbasquiat)
(Drama Queen)","OG Filename: lucki x skies - dark life
Leaked via underw6ter on June 5, 2020. Track 6 on the tracklist for Better Days.",2:36,,"Jun 5, 2020",OG File,High Quality,https://krakenfiles.com/view/pbimOju4xj/file.html
Almost There,✨Wanna Be,"OG Filename: Lucki - wanna Be (rough)
Previewed on April 8, 2020 via LUCKI's Instagram live. Leaked on May 27, 2020.",3:00,,"May 27, 2020",OG File,High Quality,https://imgur.gg/f/dkn3sXc
Almost There,"✨Money Can't Buy
(prod. Kid Hazel)",Throwaway from Almost There sessions.,,,"May 26, 2020",Full,High Quality,https://krakenfiles.com/view/opJYb4ZI80/file.html
Almost There,"⭐️Hurt Me
(prod. BrentRambo)","OG Filename: LUCKI 11-22-19
Previewed on December 19, 2019 via LUCKI's Instagram live. Leaked on May 24, 2020.",1:45,"Nov 22, 2019","May 24, 2020",OG File,High Quality,https://imgur.gg/f/HvJaROB
Almost There,"Just One Not 2
(prod. Mooktoven)","OG Filename: Just One Not 2_Lucki
Previewed on December 19, 2019 via LUCKI's Instagram live. Leaked on May 18, 2020.",1:43,,"May 18, 2020",OG File,CD Quality,https://imgur.gg/f/QQgfU8r
