Era,Name,Notes,File Date,Leak Date,Full Length,BPM,Available Length,Quality,Link(s)
Petals To Thorns [V2],"Mannequin
[prod. VELVET]","Posted to VELVET's YouTube under the name ""mistrust."" Actual instrumental file leaked along with the session on April 23rd, 2026.",,,,,Full,CD Quality,https://pillows.su/f/ac1b191097c602407831432f059a20a7
Petals To Thorns [V2],"She Don't Wanna
(Fall Through)",Given in the Darkroom Records box.,,,,,Full,Lossless,https://pillows.su/f/480403241df259ec8d4c133b2507c5d7
Petals To Thorns [V2],"Gosh Darn Pretti
[prod. VELVET]","Posted to VELVET's YouTube under the name ""Pink Glasses.""",,,,,Full,CD Quality,https://pillows.su/f/11276dc46d35522cc18ab672fb490ae4
Petals To Thorns [V2],Tribal,Given in the Darkroom Records box.,,,,,Full,Lossless,https://pillows.su/f/fd601cd3968d52664091219dfe018990
Petals To Thorns [V2],Useful When Broken,Given in the Darkroom Records box.,,,,,Full,Lossless,https://pillows.su/f/6de5f2eeb95f8b9bd9f28d327ebbbf45
Petals To Thorns [V2],"She Don't Wanna
(Fall Through)",Given in the Darkroom Records box.,,,,,Full,Lossless,https://pillows.su/f/1a82780f67ba58db9989ade56df6955c
The Lost Petals,"Notes From A Wrist
[prod. prodmelone]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/vROsLVl
The Lost Petals,"Hollow Prayers
[prod. moneo]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/4DbSeOU
The Lost Petals,"Rehab
[prod. grayskies]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/ncccIgt
The Lost Petals,"Poetic Vulgarity
[prod. moneo]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/aCb8i1X
The Lost Petals,"Once More
[prod. musicbynicho]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/NOcn2pr
The Lost Petals,"Notes From A Wrist
[prod. prodmelone]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/F21brQT
The Lost Petals,"Hollow Prayers
[prod. moneo]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/KC0k8Fb
The Lost Petals,"Rehab
[prod. grayskies]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/Vht7EHS
The Lost Petals,"Poetic Vulgarity
[prod. moneo]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/mux6FwQ
The Lost Petals,"Notes From A Wrist
[prod. prodmelone]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/ghiDgLc
The Lost Petals,"Hollow Prayers
[prod. moneo]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/wu3QBlg
The Lost Petals,"Rehab
[prod. grayskies]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/AR31niP
The Lost Petals,"Poetic Vulgarity
[prod. moneo]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/ga84SJw
The Lost Petals,"Once More
[prod. musicbynicho]","Posted to music by nicho's YouTube channel under the name ""dreamboat.""",,,,,Full,Lossless,https://pillows.su/f/7f4a66c17eaf26397361903b4a96fe63
WITHERED,"Is This Really Love?
[prod. Tyler Spry & Ryan Tedder]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/uNyi6a3
WITHERED,"What Are You Waiting For
[prod. Tyler Spry]",All stems for What Are You Waiting For. Leaked from Epic Games' game files (thank you kay). Has different mixing from release versions.,,,,,Full,Lossless,https://imgur.gg/f/5EctLT0
WITHERED,"Atomic Land
[prod. Scott James, Jack Hallenbeck, & silent$ky]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/DcolSaP
WITHERED,"Sky
[prod. Scott James, Jack Hallenbeck, & silent$ky]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/6f1ZCRo
WITHERED,"You Left Me First
[prod. Tyler Spry & Harry Charles]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/jTLfxya
WITHERED,"Say It Back
[prod. Scott James, Jack Hallenbeck, silent$ky & Tyler Spry]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/kJ3Ba8N
WITHERED,"Friend Again
[prod. Scott James, Jack Hallenbeck, silent$ky & Tyler Spry]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/WIpny6i
WITHERED,"Somewhere In The Middle
[prod. Scott James, Jack Hallenbeck & silent$ky]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/iEATFpX
WITHERED,"Crashing
(feat. Kali Uchis) [prod. Tyler Spry & VELVET]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/fWMCX3I
WITHERED,"Invisible String Theory (Interlude)
[prod. Scott James, Jack Hallenbeck & silent$ky]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/YSc8DSw
WITHERED,"Is This Really Love?
[prod. Tyler Spry & Ryan Tedder]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/MrzUfUm
WITHERED,"Where'd It Go Wrong?
[prod. VELVET & Tyler Spry]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/XeRVVTL
WITHERED,"Feel It
[prod. Noah Ehler, Gray Toomey & Sam Homaee]
(Feel It (From ""Invincible""))",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/fbYAAgK
WITHERED,"What Are You Waiting For
[prod. Tyler Spry]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/pohXLBY
WITHERED,"One More Dance
[prod. Tyler Spry & Harry Charles]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/nFk2WtQ
WITHERED,"Ghost
[prod. Scott James, Jack Hallenbeck, silent$ky & Matt Maltese]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/HRe9cp0
WITHERED,"Afterlife
[prod. Scott James, Jack Hallenbeck, silent$ky & Zach Ezzy]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/JR9ASSF
WITHERED,"Remember Me
[prod. Jack Hallenbeck, Scott James, silent$ky, Noah Ehler & Gray Toomey]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/oUApA11
WITHERED,"Leave Her
[prod. Hayden Wells, Scott James, James Hellenback, & silent$ky]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/cfqXdhB
WITHERED,The Line (d4vd Verse),"Leaked on April 28th, 2026.",,,,,Full,Lossless,https://imgur.gg/f/ycnjw2Z
WITHERED,"My House Is Not My Home
[prod. Scott James, Jack Hallenbeck & silent$ky]
(I Hate Her, My House Is Not A Home)",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/f4oXd8p
WITHERED,"There Goes My Baby
[prod. Jack Hallenbeck, Gray Toomey, silent$ky, Scott James & Ben10k]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/XVrtMXv
