Era,Art,Name,Description,Creator,Review,Downloads,Streaming
Donda 2,,Donda II: Love Is War,"Extensive and maximalist rework of Donda 2 by LuCas and other well-known editors in the community, revamping and completing the material of this era.",LuCas,,"MEGA
Pillowcase",
Donda 2,,"Donda 2
(uhhjulian Edition)","uhhjulian's Donda 2 rework with vast production additions to each song. Home to an amazing Security rework. Outdated, unfortunately.",uhhjulian,,MEGA,[untitled]
,Vanilla-style,,,,,,
Donda 2,,Donda 2,"SimpleJosh's take on Donda 2, including several QoL edits that restructure the vocals to ensure the least mumble across the whole project and several production changes to improve the listening experience as a whole.","SimpleJosh
(a.k.a. Close Salami)",,MEGA,
,Honorable Mentions,,,,,,
Donda 2,,"Donda 2
(Rework)",Comp touching up D2 material to sound better and fuller while not having massive reworks. Sonically based heavily on the will.i.am produced tracks.,Akimbo,,MEGA,[untitled]
Donda 2,,"How Long Until Black Future Month
(with Future)","Reworked and revamped Donda 2 era Kanye & Future tracks with new samples, beats and structures, fully mixed and mastered.",louiebag,,"MEGA
Pillowcase",Yedits.net
Donda 2,,"✨Let Her Go
(with Don Toliver)",EP-length comp combining tracks from the Donda 2 and LoveSick eras to create a cohesive collab project between Kanye and Don Toliver.,Soup,"Review - .cometolife777
Review - Onyx",MEGA,"Yedits.net
[untitled]"
Donda 2,,✨Donda 3.11 For Workgroups,Stylistic D2 remix that adds new original instrumentals while staying authentic (haha get it? im so unfunny send help) to the era and the creator's own style.,"xav_authentique
(a.k.a. xav)",,"MEGA
Dropbox","Website
YouTube"
Donda 2,,✨8 AM // Donda 3,Donda 2 inspired comp with original production and verses taken from various sources or AI'd. Very inconsistent and was received fairly negatively.,LuCas & tyson,,MEGA,
"1 Renovation
2 OGs
1 HM",,"WAR
(Collaboration with James Blake & No I.D.)",,"Highlights:
⭐WAR - Days Dissolve & Co.",,,
,Renovations,,,,,,
WAR,,⭐WAR,"Finished version of both Days Dissolve's IT'S WAR and louiebag's WAR, polishing and expanding upon material from both comps. Contains spectacular overhauls of several WAR leaks and entirely new song selections that still retain a sound that's close to that of the source material.",Days Dissolve & Co.,Review - zdum187,"MEGA
Google Drive",Yedits.net
WAR,↳ OG:,IT'S WAR,"Short but neat WAR imagining with songs from the WAR and Donda 2 eras, fully reworked to fit the spacious and tranquile vibe of this era.",Days Dissolve,"Review - Akimbo
Review - TMNG","MEGA
Google Drive",
WAR,↳ OG:,WAR,Scrapped community comp that was repurposed into Days & Co.'s WAR. Focuses on recreations and even original songs within its short length.,louiebag & Co.,,MEGA,
,Honorable Mentions,,,,,,
WAR,,✨Echoes Talking,"Comp aiming to create a finished album inspired by the WAR era, using and expanding upon material from or related to Ye and Blake from 2021 to 2023.",themusicnerdguy,Review - akis,MEGA,"YouTube
Yedits.net"
"1 Overhaul
4 Renovations
3 HMs",,"YEBU
(Ye 3)",,"Highlights:
⭐Exiled. - Soup & Co.",,,
,Overhauls,,,,,,
YEBU,,✨YESUKE,"Overhaul of YEBU and VULTURES material in the style of JPEGMAFIA, borrowing influences from ILDMLFY to flesh out Ye's unfinished ideas via new samples, production and features and make it feel like a real album.",themusicnerdguy,"Review - akis
Review - WR
Review - andrewfella
Review - Taco",MEGA,Yedits.net
,Renovations,,,,,,
YEBU,,⭐Exiled.,Comp envisioning a cohesive solo Ye album set after V1 that is sonically more sample based and chill with change in vibes of each song edited.,Soup & Co.,"Review - cometolife777
Review - vertie
Review - chrispo",MEGA,"Yedits.net (Disc 1)
[untitled] (Disc 1)
[untitled] (Disc 2)"
YEBU,,¥,"Realistic rework of the YEBU era material with creative, polished and touched up edits that don't stray away too much from the original sound.",louiebag & Co.,,MEGA,"YouTube
Yedits.net"
YEBU,,Y3,Comp that expands on the original sample-leaning sound of the era while adding verses and production to make the project as complete as possible. Has insanely good edits but also a few weird choices.,andrewfella,Review - akis,MEGA,"YouTube
Yedits.net
[untitled]"
YEBU,,GENESIS,"Direct follow-up to Days Dissolve's WAR comp. Has its focus set on the sample-heavy, chill vibes from the era, using tracks from it alongside other Donda 2 and VULTURES songs that fit the scope of the comp.",Days Dissolve & Co.,Review - thai,"MEGA
Google Drive",Yedits.net
,Honorable Mentions,,,,,,
YEBU,,Y3,"Lionel's personal take on a LP11 solo Ye album, polishing and fleshing out YEBU and VULTURES material to create a concise experience of the era.",Lionel Scott,,MEGA,
YEBU,,Y3,"Sample based reimagining of the YEBU era material. Changes range from QoL touchups, demumbles, new verses, added samples and reproductions.",angelo,,MEGA,"YouTube
[untitled]"
YEBU,,YEBU,YEBU-inspired comp expanding on obscure VULTURES scraps with new verses and a spacious vibe. Not very accurate but still an interesting listen.,rd48,,MEGA,"YouTube
[untitled]"
"2 Renovation
2 Vanilla-style
1 HM",,"Bad Bitch Playbook
(Collaboration with Ty Dolla $ign) (Bad Bitch Playbook Vol. 1)",,"Highlights:
⭐Bad Bitch Playbook - m3lt",,,
,Renovations,,,,,,
Bad Bitch Playbook,,⭐Bad Bitch Playbook,Comp merging many aspects present in the ¥$ collabs' development phases in a cohesive way that makes for a complete experience full of bangers.,m3lt,,MEGA,Yedits.net
Bad Bitch Playbook,,LIFESTYLE,"Personal VULTURES take that attempts to make it actually good, with a focus on the pop-leaning songs of this era, turning it into a warm, concise and more lighthearted project inspired by the BBPB/early VULTURES sound.",themusicnerdguy,Review - zdum187,MEGA,"YouTube
Yedits.net"
,Vanilla-style,,,,,,
Bad Bitch Playbook,,Bad Bitch Playbook Vol. 1,Remake of the December 2023 Vultures TL. Contains a mixture of reworks and leak remasters to put together a finished and cohesive LP.,Akimbo & louiebag,,MEGA,[untitled]
Bad Bitch Playbook,,¥$,"Complete transformation of the VULTURES 2 tracklist adding released and leaked V1 songs to make a ""best of"" album/compilation. Uses mixes from SimpleJosh's V2 Fix comp (check V2 era below) and new ones for V1 tracks.","SimpleJosh
(a.k.a. Close Salami)",,MEGA,
,Honorable Mentions,,,,,,
Bad Bitch Playbook,,✨Bad Bitch Playbook,VULTURES material re-envisioned with Memphis-styled production (along with other additions) to mimic the early barebones sound of BBPB era songs.,vertie,Review - noahthakid9,MEGA,[untitled]
"1 Overhaul
1 Renovation
2 Vanilla-style
4 HMs",,"VULTURES 1
(Collaboration with Ty Dolla $ign) (Vultures)",,"Highlights:
⭐VULTURES - bloo",,,
,Overhauls,,,,,,
VULTURES 1,,"✨HEATHENS
(with Metro Boomin)","Reimagining of VULTURES material but prodded in the style of Metro Boomin prod (specifically WDTY/WSDTY), leaning heavily into the hard trap vibes of the era while still keeping the core of every song intact.",DYL🅰N,,MEGA,Yedits.net
,Renovations,,,,,,
VULTURES 1,,⭐VULTURES,"VULTURES comp utilizing various V1 and V2 tracks, reworking and fleshing them out with production and structure changes for a more finished sound. The most concise and refined way to experience the VULTURES material.",bloo,"Review - thai
Review - Argonaut",MEGA,"Yedits.net
[untitled]"
,Vanilla-style,,,,,,
VULTURES 1,,THE VULTURES PROJECT,"Massive 41 track comp divided into 3 acts that encompasses most of the VULTURES material so far, with better mixing and other production choices.","bobert, bryg, DASH, dev, noa & paci",,Pixeldrain,
VULTURES 1,,"VULTURES 1
Akimbo's Cut",Akimbo's cut of songs from VULTURES 1 with a variety of QoL changes both in audio mixing/mastering and the songs' elements.,Akimbo,,"MEGA
Pillowcase",
,Honorable Mentions,,,,,,
VULTURES 1,,"VULTURES 1
MJ REWORK","Heavily reworked V1 comp with new production, verses, overhauls and more.","MJTHEWAVEGOD
(a.k.a. MJ)",,MEGA,[untitled]
VULTURES 1,,VULTURES,VULTURES comp comprising of everything from leaks and release songs (including bits and pieces of V2) creating a well rounded version of the album. Has plenty of QoL and production changes across the runtime.,Lionel Scott,,"MEGA
MEGA (Bonuses)",Yedits.net
VULTURES 1,,"✨VULTURES 1
Dropout Edition","Remix of the VULTURES 1 album, replicating the sampley chipmunk soul beats found on Ye's debut solo album, The College Dropout.",TommyWiseau & Co.,,MEGA,"Yedits.net
[untitled]"
VULTURES 1,,✨VULTURES,VULTURES comp reworking tracks into house and club banger remixes.,NormalWorld,,MEGA,Yedits.net
"1 Overhaul
3 Renovations
2 Vanilla-style
5 HMs",,"VULTURES 2
(Collaboration with Ty Dolla $ign)",,"Highlights:
⭐REPENT - SimpleJosh
🌟VULTURES 2 (hc's Version) - hc",,,
,Overhauls,,,,,,
VULTURES 2,,⭐REPENT,"Insane envisioning of a ¥$ remix album produced by JPEGMAFIA that was released in place of VULTURES 2, incorporating album tracks, features and leaks in very unique ways. Manages to capture JPEG's sound perfectly.","SimpleJosh
(a.k.a. Close Salami)","Review - TMNG
Review - Akimbo
Review - ASMODEUS",MEGA,"YouTube
Yedits.net"
,Renovations,,,,,,
VULTURES 2,,"🌟VULTURES 2
(hc's Version)","Personal take on V2, containing reworks of its released songs, scraps and leaks from the BBPB era. Deviates off the style the released VULTURES albums had to deliver a more concise and enjoyable experience.",hc,,MEGA,"Yedits.net (Site Exclusive)
[untitled]"
VULTURES 2,,"VULTURES 2
DELUXE (Rework)","Rework of the released dumpster fire of an album with a variety of reproductions, restructures, audio polishes and straight up overhauls and remakes of some of the project's tracks.",ahmed2.0_ & Co.,Review - chrispo (V1),"MEGA
MEGA (V1)","YouTube
YouTube (V1)
Yedits.net
[untitled]
[untitled] (V1)"
VULTURES 2,,"VULTURES 2
V2","Full V2 rework imagining a more cohesive album that focused on spreading awareness about Ty Dolla $ign's brother Big TC and his wrongful life sentence. Adds tracks, production and skits reflecting this new tone.",windybro,,MEGA,Yedits.net
,Vanilla-style,,,,,,
VULTURES 2,,"VULTURES 2
March/April Version","louiebag's updated V2 comp, now focusing on making a realistic envisioning of the material made between March and April 2024 would sound like. Features various leaks and edits, all mixed and mastered by Akimbo.",louiebag,,"MEGA
MEGA (V1)",Yedits.net
VULTURES 2,,"VULTURES 2
jambajuice's Version","jambajuice's personal cut of V2 with a variety of QoL changes in audio, structures, production and more.",jambajuice,,MEGA,"YouTube
[untitled]"
,Honorable Mentions,,,,,,
VULTURES 2,,"VULTURES 2
Akimbo's Cut",Akimbo's cut of songs from VULTURES 2 with a variety of QoL changes both in audio mixing/mastering and the songs' elements.,Akimbo,,MEGA,
VULTURES 2,,"VULTURES 2
FIX","Various QoL fixes and changes that don't stray too far from the release's TL. Some mixes from this were used for the ""¥$"" comp in the BBPB era above.","SimpleJosh
(a.k.a. Close Salami)",,MEGA,
VULTURES 2,,BACK OUTSIDE,EP-length comp dedicated to fleshing out the more obscure and underappreciated songs from the VULTURES sessions.,Berais,,MEGA,"YouTube
Yedits.net"
VULTURES 2,,"VULTURES 2
MJ REWORK","Heavily reworked V2 comp with new production, verses, overhauls and more.","MJTHEWAVEGOD
(a.k.a. MJ)",,MEGA,[untitled]
VULTURES 2,,"✨VULTURES 2
Registration Edition","Remix of the VULTURES 2 album, replacating the orchestral sound of Late Registration. Features completely new, rearranged and reproduced beats.",TommyWiseau & Co.,,MEGA,"YouTube
Yedits.net
[untitled]"
1 Renovation,,VULTURES 3,,,,,
,Renovations,,,,,,
VULTURES 3,,,,,,,
"3 Renovations
1 Vanilla-style
1 HM",,BULLY,,"Highlights:
N/A",,,
,Renovations,,,,,,
BULLY,,BULLY,"Sequel to rd's YEBU comp. Reworks and recreates various songs confirmed or previously rumored to be for the album, leaning towards the sample-heavy and melodic vibes of the previews with as little AI as possible.",rd48,,MEGA,"YouTube
[untitled]"
BULLY,,BULLY,"Short BULLY comp meant to improve the songs and tracklist without huge overhauls. Has no added AI on any edits, instead only acapellas from the BULLY V1 leaks and other songs from close eras by Ye.",flashnardo,,MEGA,"Yedits.net
[untitled]"
BULLY,,BULLY,"Rework of BULLY filled with various additions and reproductions to known songs from the copy of the album with more songs added from around the era, all with entirely new custom written and recorded Ye-I vocals.",martine,,,"YouTube
[untitled]"
,Vanilla-style,,,,,,
BULLY,,"BULLY
BEAT TAPE","Pre-release comp going through every BULLY preview and rumor to not only recreate, but further flesh out and expand on the project's instrumentals.",UnoriginallyMad,,MEGA,"YouTube
Yedits.net
[untitled]"
,Honorable Mentions,,,,,,
BULLY,,"BULLY!
v2","Reworked of the ""released"" BULLY V1, featuring new drums, restructures and added verses. Very inconsistent but has its highlights.","[kanye wheat.]
(a.k.a. cartistt)",,,[untitled]
"5 Renovations
3 Vanilla-style
1 HM",,"Live
(Tours, Concerts, etc.)",,(Note: Comps here are ordered by eras),,,
,Renovations,,,,,,
Live,,Glow In The Dark Tour,"GITD Tour comp that while not exactly a 1:1 replica of the tour, has additions based on the tour versions. Essentially more like an extended Graduation.",Orpheus,,MEGA,[untitled]
Live,,Live At Coachella,CDQ recreation of the 2011 Coachella performance.,"BSB Dante, Kuci & Matthias",,MEGA,
Live,,"Watch The Throne Tour
(with JAY-Z)",CDQ recreation of the WTT tour material.,Orpheus,,MEGA,[untitled]
Live,,"Yeezus Tour
From Fighting To Finding",CDQ recreation of the Yeezus tour.,"BSB Dante, Kuci & Matthias",,MEGA,
Live,,"Saint Pablo Tour
(Redux)",A recreation of the Saint Pablo Tour while also having creative liberties to make it greater. Bases off the main setlist for the tour.,Orpheus,,MEGA,
,Vanilla-style,,,,,,
Live,,"Watch The Throne Tour
In North Carolina",Up-to-date split and properly fixed audio of the listenable (lol) recordings.,Orpheus,,MEGA,[untitled]
Live,,"Yeezus Tour
In Boston",Up-to-date split and properly fixed audio of the leaked Yeezus tour file.,Orpheus,,MEGA,[untitled]
Live,,"Free Larry Hoover Benefit Concert
(Remastered)",Remastered version of the Free Larry Hoover Benefit concert. Only contains Kanye's section and has no crowd removal to preserve the live aspect of the concert.,Akimbo,,MEGA,
,Honorable Mentions,,,,,,
Live,,"Yeezus Tour Movie
(Remastered)","Remaster of The Kanye Archive's Yeezus Tour fan movie, ran through different AI stabilizers to get good results.",GHOSTWLKAR,,YouTube,
"7 Mashups
4 Reproductions
2 HMs",,Other,,(Note: Comps here are ordered alphabetically),,,
,Mashups,,,,,,
Other,,✨2049,Mashup album made to be sort of an alt universe Kanye project. The songs put together come from all different eras of Kanye's discography. Version linked is the deluxe update released in 2021 that fixes some melodic issues.,Toasty Digital,,Google Drive,"Yedits.net
[untitled]"
Other,,ClamYe,Mashup comp adding Kanye West over various Clams Casino instrumentals. Not era accurate.,Zanthin,,MEGA,"YouTube
[untitled]"
Other,,KANYE MADE TPAB,"Kendrick Lamar's To Pimp A Butterfly, but all the vocals are from Kanye West songs.","Spectre, Qo, & underdawg.",,YouTube,
Other,,✨Maybe We Can Make It To Christmas,Christmas-themed mega-mashup EP. Link includes the Patreon-exclusive intro while the link below it takes you to the recently released deluxe that adds multiple bonus tracks.,Toasty Digital,,Google Drive,[untitled] (V1)
Other,,"What's A Black Beetle
(with The Beatles)",Comp mashing up Kanye and The Beatles songs. Was featured in the Kanye Iceberg part 3. Was super popular at the time and had many interesting people working on it. Kanye may or may not have listened to it himself.,DJ Troublesome & Uvemaster,,MixtapeMonkey,"YouTube
[untitled]"
Other,,"Yeezer
(with Weezer)",Mashup album combining songs from the discographies of Kanye West and the band Weezer. Received a lot of traction back when it was released.,Alex Hodowanec,,Google Drive,YouTube
,Reproductions,,,,,,
Other,,"✨Dope & Dreams
(with Pusha T)","Comp set in an alternate timeline where Ye and Pusha T made an album together. Most of the production is sample-based, combining Pusha's gritty feel with Kanye's soulful elements. Contains original beats as well as reworks of already existing ones. Multi-era, with main focus on Wyoming.",Pupo Milan,,MEGA,"YouTube
[untitled]"
Other,,✨Donda TV,"Collection of songs from Kanye's discography, now reworked with new sample-based instrumentals.",pxblo,,"MEGA (Vol. 1)
MEGA (Vol. 2)",[untitled]
Other,,GriseldYe,"Comp that reworks many Donda and Donda 2 songs to create a completely new tape in the same style as the Griselda Records, with new original beats. Spectacular talent on here.","Edan, 00B36B & Kaan",,MEGA,
Other,,✨Polo Ye,Fanmade mixtape adding completely original lofi beats to Kanye freestyles. Notably made by a non-community creator.,Cookin' Soul,,,YouTube
,Honorable Mentions,,,,,,
Other,,"Skeletons
(with Travis Scott)",7 track comp envisioning a collab EP between Kanye West and Travis Scott.,Rose,,"MEGA
MEGA",
Other,,"What Do We Want
(with Future)",10 track Kanye and Future mashup EP. Was lost for some time.,MochiAndBroccoli,,MEGA,
,,,,,,,
"
Overhauls: Comps taking apart everything we know about the era and overtake it in a new direction that still relates to the nature of the source material but given its own unique personality.

Renovations: Comps completing or building on top of the original vision of the era, massively changing the source material but still retaining a lot of resemblance in vibe or style.

Vanilla-style: Comps aiming to be a ""standardized"" version of the source material, mostly offering a variety of QoL edits and/or changes that adhere to the base songs without steering away much from their visions.
Note: This doesn't mean less effort or worse quality. It's only a sound difference.

Extensions: Comps focusing on lengthening the runtime, usually through adding and merging official or remix material like sample intros/outros or new features, with little to none custom production.

Remixes: Comps creating an entirely new and different version of its original counterpart with little to no resemblance to the source material, usually done in its editors' own unique style.

Honorable Mentions: Comps worth mentioning when talking about the era as a whole but have a quality that isn't on par with the best of the best anymore. Typically present for archival or trivia purposes.
",,,,,,,
,,,,,,,
"
⭐ = Definitive (a.k.a. Must-listens!): The best comp embodying the best of what the era has to offer, delivering unique and high quality edits. It may or may not be entirely accurate the source material, but deserves its title regardless.

🌟 = Co-Definitive: Secondary option to definitive, typically in a different comp category such that both comps merge to represent all of the era at the same time.
",,,,,,,
,,,,,,,
Editors,,,,,,,Past Contributors
Sophie/Vivienne,,,,,,,slothsavedearth
Marin,,,,,,,themusicnerdguy
gv,,,,,,,dayamy
m3lt,,,,,,,jimboiscool
DJ GOTHFUKKER,,,,,,,ahmed2.0_
,,,,,,,Berais
,,,,,,,hcaor
