Era,Art,Name,Description,Creator,Review,Downloads,Streaming
Yeezus,,Black American Psycho,"Very long extension of Yeezus, lasting 2 hours and a half. Much more interesting listen due to the bigger amount of extensions but the quality of these isn't as consistent as Dante's other comps in his extended series.",BSB Dante,,"MEGA
Google Drive",YouTube
Yeezus,,✨YESSIAH,Reimagining of Yeezus with a variety of production overhauls to build upon the core ideas of the songs or bring them to entirely different directions.,OBELISC,,"MEGA
MEGA (Stems)","YouTube
[untitled]"
Yeezus,,"✨YEEZUS
REDEEMED",Incredibly unique and experimental remix of most release Yeezus tracks. Contains new production and samples that make for a refreshing LP6 listen.,cres,Review - Guts,MEGA,"YouTube
[untitled]"
Yeezus,,SPECIAL IMPORT,"Different take on Yeezus, presenting a hybrid of the misc Yeezus-era rap songs and alt takes on traditional Yeezus songs.",Bliss Collective,,,[untitled]
"1 Renovation
1 Vanilla-style",,"Cruel Winter [V1]
(Collaboration with G.O.O.D. Music)",,"Highlights:
⭐Cruel Winter - ahmed2.0_ & Co.",,,
,Renovations,,,,,,
Cruel Winter [V1],,⭐Cruel Winter,"Comp envisioning short but finished versions of both the 2013/2014 and 2016/2017 iterations of Cruel Winter, expanding on their respective sounds and including tracks from other closely related eras.",ahmed2.0_ & Co.,Review - Taco,MEGA,"Yedits.net
[untitled]"
,Vanilla-style,,,,,,
Cruel Winter [V1],,"Cruel Winter
(2014)", 2014 CW tracks with QoL changes and new features/verses to flesh them out into a real G.O.O.D. Music project from the time period.,pablo999,,MEGA,[untitled]
"1 Overhaul
3 Renovations
4 HMs",,"Yeezus 2
(Lost Yeezus, New Yeezus)",,"Highlights:
⭐Yeezus II - luwi",,,
,Overhauls,,,,,,
Yeezus 2,,SENSATIONAL,"Y2 comp that aims to be a different take than usual, by adding production, changing structures and a lot of changes that heighten the experience of the era, as well as a very unique Y2 selection of songs with very diverse sounds.",Solidus Jack,"Review - TMNG
Review - Taco",MEGA,Yedits.net
,Renovations,,,,,,
Yeezus 2,,⭐Yeezus II,"Yeezus-length rendition of Y2, covering almost all the aspects presented by songs from the era, now with new production, structures, verses and ideas to make them more polished and release ready.",luwi,"Review - Akimbo
Review - TMNG
Review - Taco",MEGA,"Yedits.net
[untitled]"
Yeezus 2,,"Yeezus 2
(hc's Version)","Y2 track collection with a heavy emphasis on the early freestyle demos, with these being demumbled, restructured and even including some added production, all while still remaining faithful to the source material.",hc,Review - TMNG,MEGA,"YouTube
Yedits.net
[untitled]"
Yeezus 2,,Yeezus II,"Y2 take that aims to turn it into a project more akin to a commercial album, with a tracklist consisting of a balanced selection of released songs and leaks to represent a more release ready vision of the the era's uniqueness.",windybro,,"MEGA
Pillowcase","Yedits.net
[untitled]"
,Honorable Mentions,,,,,,
Yeezus 2,,✨Halloween EP,"Short, classic rework based on the rumored 3 track drop from Kanye in 2014. Surprisingly consistent and still holds up really well.",SimpleJosh,,"MEGA
Google Drive",
Yeezus 2,,Yeezus II,One of the most popular classic Y2 comps with a now-outdated selection of tracks to lean heavily on the abrasiveness of our early knowledge of the era.,Oreo Eater,,"MEGA
Pixeldrain",
Yeezus 2,,Yeezus II: The Lost Chapter,"Old reimagining of Yeezus 2 as a direct OG version of TLOP, with stripped down prod on some tracks to reflect the minimalism found on Yeezus.",Solidus Jack,,"MEGA
Google Drive","Yedits.net
[untitled]"
Yeezus 2,,"✨Yeezus 2
(11.11.13)","Short comp of around 5 tracks that aims to make the first copy of Yeezus 2 more enjoyable by restructuring, cutting down, mixing and adding production.",RPPY,,MEGA,[untitled]
"2 Overhauls
4 Renovations
2 Vanilla-style
1 HM",,"So Help Me God
(SWISH, Chiraq, Ye-Ye, Wolves, ULTRA)",,"Highlights:
⭐So Help Me God - windybro",,,
,Overhauls,,,,,,
So Help Me God,,"So Help Me God
V2","Classic and concise comp of just 9 LP7 songs that still mostly hold up today. Home to the incredible FourFiveSeconds rework with industrial production, among other additions expanding on the dark and aggressive reputation that the SHMG era was thought to originally have.",pxblo,,MEGA,"YouTube
Yedits.net
[untitled]"
So Help Me God,,✨CHIRAQ,"Alternate take of LP7 songs (mainly SHMG) with rock influences, soul samples and a LOT of custom-made beatswitches. Not always consistent but very creative. Contains a generational All Day rework.",Yuri,Review - Taco,MEGA,"Yedits.net (Director's Cut)
[untitled]"
,Renovations,,,,,,
So Help Me God,,⭐So Help Me God,"Rework of SHMG built on top of our modern perception of the album, incorporating plenty of new leaks and info from the era, along with many incredible production and feature additions, creating a fresh LP7 experience.",windybro,"Review - kebabmf
Review - flippy","MEGA
Pillowcase","Yedits.net
[untitled]"
