Era,"Name
(Check out the Tracker website!)","Description
(Join the Discord for updates and suggestions!)",Type,Date,Quality,Source,Link(s)
To Pimp A Butterfly,Kunta's Groove Sessions NYC,"Kendrick's full live performance in January 2016 from one of its shows from Kunta's Groove Sessions Tour. Kendrick performs alternate versions of some songs.

Setlist:
01. Can't Hide Love (Earth, Wind & Fire Band Cover)
02. For Free? - Interlude
03. Wesley's Theory
04. Institutionalized
05. Backseat Freestyle
06. These Walls
07. For Sale? - Interlude
08. Hood Politics
09. Bitch, Don't Kill My Vibe - Remix
10. Money Trees
11. u
12. King Kunta
13. Momma
14. How Much A Dollar Cost (Instrumental)
15. The Blacker The Berry
16. Alright",Setlist,Jan 2016,Clear,Official,https://youtu.be/ccXNafyN9oM
untitled unmastered.,untitled unmastered.,"""untitled unmastered."" is Kendrick Lamar's first and only compilation album consisting of TPAB throwaways.

1: untitled 01 | 08.19.2014.
2: untitled 02 | 06.23.2014.
3: untitled 03 | 05.28.2013.
4: untitled 04 | 08.14.2014.
5: untitled 05 | 09.21.2014.
6: untitled 06 | 06.30.2014.
7: untitled 07 | 2014 - 2016.
8: untitled 08 | 09.06.2014.",Released,"Mar 4, 2016",Clear,Official,https://open.spotify.com/album/0kL3TYRsSXnu0iJvFO3rud
DAMN.,GOD DAMN,"#?. Days Of Our Lives
01. ???
02. ???
03. ???
04. ???
05. ???
06. ???
07. ???
08. ???
09. ???
10. ONE IN THE HEAD
11. Gemstars
12. Water Piano
13. Dropout
14. ???
15. Oh My (YAH.)
16. Busta Bus
17. OFF SHIT
18. Sweet Pussy Sandra
19. Em and Em
20. Dilla Meets Dre
21. Puerto Rico
22. ???
23. OFF KEY (BUZZ, BUZZED, Drunk)
24. ???
25. ???
26. THE GOSPEL OF DAHI",Session,"Jan 21, 2017",Clear,Leaked,N/A
DAMN.,DAMN. [2016 Tracklist #1],"One of the tracklists for DAMN. that includes ""Rotation"" on it. Nothing else is known.

#?. ROTATION.",Unreleased,2016,Not Available,Leaked,N/A
DAMN.,DAMN. [2016 Tracklist #2],"Based off the rough list that was leaked.

#?: DNA.
#?: GOD BLESS AMERICA (XXX)
#?: LOYALTY #2
#?: STELLA ROSE
#?: COMFORT ZONE DISTURBED
#?: RIDDLE ME THIS (PERSPECTIVE)
#?: FEAR #7
#?: LIFE IS A BOX OF CHICKEN (DUCKWORTH.)
#?: CHILDREN OF THE CORN 2020 (I NEED SOME WATER) [LUST.]
#?: PRIDE IS MY SIN
#?: JAMES 4:4
#?: LOVE'S GONNA GET YOU KILLED (CROWN)
#?: HUMBLE.
#?: CALLING OUT FOR LOVE
#?: COMPUTER LOVE
#?: I LOVE TO GET IT
#?: FACTS.
#?: ROTATION.
#?: LOVELY.
#?: SCORPIO TALK (SCORPIO.)
#?: TAKE ME TO THE MALL
#?: HANDSOME.
#?: CLOUD 10 (CLOUDS.)
#?: WASN'T THERE (PRIDE.)
#?: FEEL.
#?: ROLL CALL (SONS) [WISH.]
#?: RADAR.
#?: BUZZ.",Unreleased,2016,Clear,Leaked,N/A
DAMN.,"DAMN. [February 20, 2017]","1. DNA.
2. RADARS. (YAH.)
3. WISH.
4. FEEL.
5. LOYALTY.
6. H20. (LUST.)
7. THERE. (PRIDE.)
8. HUMBLE.
9. BUZZ.
10. LOVELY. (LOVE.)
11. XXX.
12. FEAR.
13. CLOUDS.
14. DUCKWORTH.",Unreleased,"Feb 20, 2017",Clear,Leaked,N/A
DAMN.,"DAMN. [March 1, 2017 Tracklist]","Based off the March 1, 2017 instrumentals that were leaked.

#?: BUZZ.
#?: CLOUDS.
#?: DNA.
#?: FEAR.
#?: FEEL.
#?: GBA.
#?: HUMBLE.
#?: LIFE IS A BOX OF CHICKEN. (DUCKWORTH.)
#?: LOVE. (CROWN)
#?: LOVELY.
#?: LOYALTY.
#?: ROLL CALL. (WISH.)
#?: WASN'T THERE. (PRIDE.)
#?: XXX.",Unreleased,"Mar 1, 2017",Clear,Leaked,N/A
DAMN.,"DAMN. [March 29, 2017]","1. BLOOD.
2. DNA.
3. RADARS.
4. WISH.
5. FEEL.
6. LOYALTY.
7. PRIDE.
8. HUMBLE.
9. DRONES.
10. LOVE.
11. XXX.
12. FEAR.
13. GOD.
14. DUCKWORTH.",Unreleased,"Mar 29, 2017",Clear,Leaked,N/A
DAMN.,"DAMN. [April 2nd, 2017]","1. BLOOD.
2. DNA.
3. YAH.
4. ELEMENT.
5. FEEL.
6. LOYALTY.
7. PRIDE.
8. HUMBLE.
9. DRONES.
10. LOVE.
11. XXX.
12. FEAR.
13. GOD.
14. DUCKWORTH.",Unreleased,"Apr 2, 2017",Clear,Leaked,N/A
DAMN.,DAMN.,"DAMN. is Kendrick Lamar’s fourth studio album, was expected to be released on April 7, 2017, after he rapped these lines on “The Heart Part 4”:

Y'all got ‘til April the 7th to get y'all shit together

However, when the pre-order was released, it was announced that it would appear on Good Friday—April 14, 2017.

1: BLOOD.
2: DNA.
3: YAH.
4: ELEMENT.
5: FEEL.
6: LOYALTY.
7: PRIDE.
8: HUMBLE.
9: LUST.
10: LOVE.
11: XXX. 
12: FEAR.
13: GOD.
14: DUCKWORTH.",Released,"Apr 14, 2017",Clear,Official,https://open.spotify.com/album/4eLPsYPBmXABThSJ821sqY?si=idYjbNfLSc6kzmgrl0i27A
DAMN.,Look Woman [June 2017 Tracklist],"An unfinished tracklist of ""Look Woman"" from June 2017 was made. Only ""Style"" has been confirmed for it so far.

?: Style [V1]",Unreleased,,Not Available,Leaked,
DAMN.,DAMN. COLLECTORS EDITION.,"DAMN. COLLECTOR’S EDITION is the special re-release of Kendrick Lamar’s bestselling 2017 album DAMN., released December 8, 2017. Although the album features no bonus tracks, it rather sports a new cover and a reversed tracklist. 

1: DUCKWORTH.
2: GOD.
3: FEAR.
4: XXX.
5: LOVE.
6: LUST
7: HUMBLE.
8: PRIDE.
9: LOYALTY.
10: FEEL.
11: ELEMENT. 
12: YAH.
13: DNA.
14: BLOOD.",Released,"Dec 8, 2017",Clear,Official,https://open.spotify.com/album/4alcGHjstaALJHHiljfy3H?si=xK4EnQpCTEmpq4l9Q0Ghzg
Black Panther: The Album,Black Panther: The Album [Early Tracklist],"1. W'KABI (feat. Kendrick Lamar) [Black Panther]
2. ALL OF THE STARS (feat. Kendrick Lamar & SZA) [All The Stars]
3. VIBRANIUM (feat. 2 Chainz & Saudi) [X]
4. POWER GIRL (feat. Khalid & Chance The Rapper) [The Ways]
5. CHASE 22 (feat. Vince Staples & Yugen Blakrok) [Opps]
6. I AM (feat. Jorja Smith)
7. KILLMONGER (Interlude)
8. BLACKOUT (feat. James Blake & Future) [King's Dead]
9. BLOODY HANDS (feat. James Blake, Raekwon & Vince Staples) [Bloody Waters]
10. SEASONS CHANGE (feat. Sjava) [Seasons]
11. WAKANDA FLEX (feat. Travis Scott) [Big Shot]
12. PRAY FOR ME (feat. The Weeknd)
13. Bay Joint (feat. SOB x RBE) [Paramedic!]
14. 490 (feat. Swae Lee & ScHoolboy Q)",Unreleased,,Clear,Leaked,N/A
Black Panther: The Album,Black Panther: The Album [Early Tracklist],"1. W'KABI (feat. Kendrick Lamar) [Black Panther]
2. ALL OF THE STARS (feat. Kendrick Lamar & SZA) [All The Stars]
3. VIBRANIUM (feat. 2 Chainz & Saudi) [X]
4. POWER GIRL (feat. Khalid) [The Ways]
5. OPS (feat. Vince Staples & Yugen Blakrok) [Opps]
6. I AM (feat. Jorja Smith)
7. KILLMONGER (Interlude)
8. BLACKOUT (feat. James Blake & Future) [King's Dead]
9. BLOODY HANDS (feat. James Blake, Raekwon & Vince Staples) [Bloody Waters]
10. SEASONS CHANGE (feat. Sjava) [Seasons]
11. WAKANDA FLEX (feat. Travis Scott) [Big Shot]
12. PRAY FOR ME (feat. The Weeknd)
13. Bay Joint (feat. SOB x RBE) [Paramedic!]
14. 490 (feat. Swae Lee & ScHoolboy Q)",Unreleased,,Clear,Leaked,N/A
Black Panther: The Album,Black Panther: The Album [Early Tracklist],"1. Black Panther (feat. Kendrick Lamar)
2. All Of The Stars (feat. Kendrick Lamar & SZA) [All The Stars]
3. 10 (feat. 2 Chainz & Saudi) [X]
4. Power Girl (feat. Khalid & Chance The Rapper) [The Ways]
5. Opps (feat. Vince Staples & Yugen Blakrok)
6. I Am (feat. Jorja Smith)
7. Paramedic! (feat. SOB x RBE)
8. Bloody Hands (feat. James Blake, Raekwon & Nipsey Hussle) [Bloody Waters]
9. King's Dead! (feat. Jay Rock & Future) [King's Dead]
10. King's Dead II (feat. James Blake & Kendrick Lamar)
11. ???
12. Seasons (feat. Sjava, Mozzy & Isaiah Rashad) [Seasons]
13. Wakanda X (feat. Travis Scott) [Big Shot]
14. Pray For Me (feat. The Weeknd)",Unreleased,,Clear,Leaked,N/A
Black Panther: The Album,Black Panther: The Album,"Black Panther: The Album is a compilation of music from and inspired by the 2018 Marvel film Black Panther.

1. Black Panther (feat. Kendrick Lamar)
2. All The Stars (feat. Kendrick Lamar & SZA)
3. X (feat. 2 Chainz & Saudi)
4. The Ways (feat. Khalid & Chance The Rapper)
5. Opps (feat. Vince Staples & Yugen Blakrok)
6. I Am (feat. Jorja Smith)
7. Paramedic! (feat. SOB x RBE)
8. Bloody Waters (feat. Ab-Soul, Anderson .Paak & James Blake)
9. King's Dead (feat. Jay Rock, Future)
10. Redemption Interlude (feat. Zacari)
11. Redemption (feat. Zacari & Babes Wodumo)
12. Seasons (feat. Sjava, Mozzy & Isaiah Rashad)
13. Big Shot (feat. Travis Scott)
14. Pray For Me (feat. The Weeknd)",Released,"Feb 9, 2018",Clear,Official,https://open.spotify.com/album/3pLdWdkj83EYfDN6H2N8MR?si=IAUEb0d6S-SKqKAje32Yfg
Look Woman,Look Woman [2018 Tracklist],"Mid-2018 album that never got finished. The idea was brought back around 2019-2020 but still never got finished.
Words from Kendrick Lamar about Look Woman: ""This album is about women only (maybe). Some phycological shit. Tapping into the process of how men thinks. She thinks , and feel. All female features. Every track Rhianna , Beyoncé , sza , badu etc."" Although Kendrick wanted all woman features, he still had Baby Keem on the album.

1. Nu Couple Alert 
2. Pretty Toes (Pretty T)
3. Hotel Paranoia
4. Swapping Demons
5. Style
6. Light Skin Dark Skin (Tranquilizer)
7. Dumb (We Cry Together)
8. Daddy Issues 
9. Fasting (Fasting From Bullshit)
10. The Nile (feat. Beyoncé) (NILE)
11. One Love 
12. Pillow Talking (feat. Kehlani)
13. Me Too 
14. Everyone's Hurt (Everyone's Hurting)
15. I Fucked Up (Big) [feat. Baby Keem] (Fix Of Heart)
16. I Hate Liar / Fake So Good (Slow Tempo) 

Two songs at the bottom, probably loose meant to be placed somewhere on the album:
?. She Lives for Love
?. Solace (10 Summers)",Unreleased,MId 2018,Clear,Leaked,N/A
Look Woman,Look Woman,"There is a Look Woman tracklist made a few months after V1, however it was lost. Probably contained most of the songs from V1 however more consise and completed.",Unreleased,,Not Available,Leaked,
