Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
F.A.M.E.,"Lights Out
(feat. ???) (prod. Tha Bizness)","Leaked July 15th, 2023 and has an open verse so its unfinished. Unknown who features on verse 2.",,,"Jul 5, 2023",Full,High Quality,https://pillows.su/f/e569b7b7870f5311a819c7692b7ed9d0
Indigo,"⭐ Rahky - How Does It Feel [V1]
(feat. Chris Brown & Meek Mill) (prod. Hitmaka & Cardiak)",Leaked in 2023 on LEAKED.CX but is most likely from 2019 judging by vocals. This was teased in 2020 with a studio recording before being leaked in full. It's unknown why the song went to Chloe in 2023 with no Meek Mill but it might have something to do with Rahky being arrested for Cocaine distribution in mid 2023.,,,"Feb 19, 2023",Full,High Quality,https://pillows.su/f/803bcde581ddc75fb8d0bf9d81efe61c
Breezy,"⭐ Hear Me [V2]
(prod. Metro Boomin)","This version uses the same hook as Don's version, it's likely he gave the song to him. The song was first previewed on Instagram by one of Chris Brown's affliates in January 2022.",,,"Dec 1, 2022",Full,High Quality,https://pillows.su/f/3690a44808e9821c101a9cad5c45781a
Indigo,"⭐ Transparency [V2]
(ref. Chris Brown) (prod. Hitmaka)","V2 was first previewed on August 6th, 2019 as a throwaway from the Indigo album as the MJ sample couldn't get cleared. Chris would later drop V2 via an Instagram post on December 1st, 2022. 2 Chainz would one day hear the song during a session with Hitmaka and that's how the version with Usher came about.",,,"Nov 1, 2022",Full,High Quality,https://pillows.su/f/ba2fd688d1d9f1684ea9ddc353f09fdb
Breezy,"???
(prod. OG Parker & Hitmaka)","Previewed by Hitmaka in 2022, was said to release in that year but this didnt end up happening.",,,"Oct 9, 2022",Snippet,Recording,https://pillows.su/f/813e1972564dd0e863df92c53ba471b3
Graffiti,"Masterpiece
(ref. Andre Merritt)",Graffiti era throwaway.,,,"Aug 17, 2022",Full,High Quality,https://pillows.su/f/0d5cfca6603a4edb7ee8549a18649e9dd
Breezy,"Keep Away [V2]
(feat. Don Toliver)","First previewed on May 12, 2022 through file-sharing websites.",,,"May 12, 2022",Snippet,High Quality,https://pillows.su/f/1cd4945de6269d7ace70566f8b0ca553
Breezy,"Closer [V2]
(feat. Don Toliver) (prod. BRYVN & OG Parker)
(Paradise, Big Body Benz)",Breezy era throwaway. Made in 2020.,,,"Jan 22, 2022",Full,High Quality,https://pillows.su/f/2dac90dea6c46200cc1a4ecc7d2106ad
Indigo,"⭐ Closure
(feat. Tyga) (prod. Mustard)","Leaked on November 1st, 2021, likely recorded around the same time as ""All I Want"" based on the vocals.",,,"Nov 1, 2021",Full,High Quality,https://pillows.su/f/fc267fac9870ce1e4572b02f0a4e0aa0
Indigo,"⭐ Get Wild
(with Jacquees)","Snippet of the song was featured on a live in March 26th, 2018 under the assumed title ""The Long Way"". Later leaked under the title ""Get Wild"" on November 1st, 2021.",,,"Nov 1, 2021",Full,High Quality,https://pillows.su/f/2b25a1267c4234de17e43fc249a83267
