Row,Name,DL Text,DL URL,Stream Text,Stream URL
69,"🌟My Beautiful Dark Twisted Fantasy
(Mike Dean Live Inspired)",MEGA,https://mega.nz/file/Wa40RAZQ#9pQI66s0u0XnA7-uTCJqbooFg6RtKO4d1wlxDTZ3G34,[untitled],https://untitled.stream/library/project/BZxsq9c1InIffgmdQ7h5i
71,"My Beautiful Dark Twisted Fantasy
(Extended)","MEGA
",https://mega.nz/file/rboyjAoY#SO1L3Z9fGrsufVI35Jnyu4TOIvP1I3HXU1BBjj2jp04,,
71,,"MEGA
",https://mega.nz/folder/rgBnSCKC#mFMrKF_aIbxlBxD3L74dqw,,
71,,Google Drive,https://drive.google.com/drive/folders/1pSHRiwGclAcLHpI8kk_FuIstSIDJVXDN?usp=sharing,,
72,Hell Of A Life,"MEGA
",https://mega.nz/file/aOp2xSAA#nYfjDcYI9nx2cY89c_NTeiP0oLl22krb0Fo7GVInLbg,"Yedits.net
",https://yedits.net/comp/3tipXA2Lxl0wgCpDjFo4
72,,MEGA,https://mega.nz/folder/n4QhlLzD#h3Knpezk4yfuXI0J2KlNWw,[untitled],https://untitled.stream/library/project/JhOOyl1lKbIEKNLyP1guC
73,Good Ass Job,"MEGA
",https://mega.nz/file/fTwQ3Ypb#glsMKcG6wniQAWE1Ufo4gZ4JUyBx0pXG65pxiaWnjww,[untitled],https://untitled.stream/library/project/NppHa29uvdJ6BxXKSmqX5
73,,Google Drive,https://drive.google.com/drive/folders/0B70bKNiF26UtLWhfbWZtcUtUb0k?resourcekey=0-fg3800UORyQVIzrgVbT8ZA,,
75,"My Beautiful Dark Twisted Fantasy
Remastered",MEGA,https://mega.nz/folder/AZlEjCBJ#vIRGAlBfXP-34Bxw2QRhSQ,,
76,"G.O.O.D. Fridays
(Remastered)",MEGA,https://mega.nz/folder/0lxDiS4D#DUMbWswUoiZxDSIojwFXuw,,
77,"✨Good Kid, Twisted Fantasy
(with Kendrick Lamar)",MEGA,https://mega.nz/folder/7oInSQJI#leFSrZs6VKgtRIiVtTSNAg,"YouTube
",https://www.youtube.com/watch?v=2_oks8eX5zg
77,,,,Yedits.net,http://yedits.net/
78,"Watch The Throne
(Collaboration with JAY-Z)",,,,
80,The Throne,"MEGA
",https://mega.nz/file/WC5mjYTI#Nak92T6wKh2EOdDfbGnsVSRhJsZIBLYMQQJdz-CcDEM,[untitled],https://untitled.stream/library/project/JViHqRbOYq6DdiKPsFJNB
80,,MEGA,https://mega.nz/folder/G0pElRxL#IgoLyY7i9XzBoxz7C1zrJw,,
82,⭐Return Of The Throne,MEGA,https://mega.nz/folder/SEonDJaT#37f2oyDI3NkXAfTMbIdOVQ,Yedits.net,https://yedits.net/comp/2CxUuvx15HK0DCDTk1pR
84,"Watch The Throne
Remastered",MEGA,https://mega.nz/folder/4Y0kFYTR#cvl_P18OTBRUnBYLwrORRw,,
85,"Cruel Summer
(Collaboration with G.O.O.D. Music)",,,,
87,✨Seasonal Affective Disorder,MEGA,https://mega.nz/file/Mrcy1S4C#V9UC7RfCERoqjo_C9huHlbBDQRkCJTj-LkBCQ9P46TM,[untitled],https://untitled.stream/library/project/VPknzeiGM7lrujiSTlAmE
88,Thank God For Drugs,,,,
90,⭐Thank God For Drugs,MEGA,https://mega.nz/folder/OjgzmSzL#aoiPHQWGX3HcbNwioSAOjA,"Yedits.net
",https://yedits.net/comp/r8lKxX7hdyiOohssrWdI
90,,,,[untitled],https://untitled.stream/library/project/YMaMWH1vaLimqzytXgnX7
91,Thank God For Drugs,"MEGA
",https://mega.nz/folder/yD5WwQbb#N0Ia65CYfDoPF-wHwpCY8A,,
91,,Google Drive,https://drive.google.com/drive/folders/1KWm_Q40tKR3mBrlbTzeQaNhTe-VanbDZ?usp=sharing,,
92,"Thank God For Drugs
Akimbo's Cut",MEGA,https://mega.nz/folder/zWJSlYjS#0bqoqJiz8YAS8uBfwFTV4w,"Yedits.net
",https://yedits.net/comp/X6vFLVeHnyK6YnfvRhmO
92,,,,[untitled],https://untitled.stream/library/project/okBVzDYVMy_OfylEQKNZQ
93,Black American Psycho,MEGA,https://mega.nz/folder/kUtGEARA#Knx0Jx7UDTHkeo9fB5UwRQ,Yedits.net,https://yedits.net/comp/R6ZwCTGT1PvqBfLt2yNO
95,"🌟Lost Yeezus
V2",MEGA,https://mega.nz/folder/IHAzhCQK#v_yV2r21MVOyro31xD7h1Q,Yedits.net,https://yedits.net/comp/GdJSVeNiFtguwrrOZv3H
96,Thank God For Drugs,MEGA,https://mega.nz/folder/o8pwCbhZ#TB1rOqf0TvV3EvYRoTXa_w,,
98,"Yedits Presents:
Thank God For Drugs","MEGA
",https://mega.nz/folder/WN4S3QbD#VMHyRjEYkrpg7K7jSCXGNQ,Yedits.net,https://yedits.net/comp/ngurzkCcswFNgvdsnwxq
98,,MEGA,https://mega.nz/folder/mVhilCrA#Cqi5Plx0GeGkHjzU42zU3A,,
98,,"Google Drive
",https://drive.google.com/drive/folders/1dWIa5MqPmRzqUgF4P-v4nkFekJ9TTe9v?usp=sharing,,
98,,Google Drive,https://drive.google.com/drive/folders/1dvN2P32F5RiR61ZWjioHqql3IoDvyjaC,,
99,Drugs Made Yeezus,MEGA,https://mega.nz/folder/PqYU1QqT#CembP_t-P_jYGUciKcbLGg,,
100,✨Thank God For Drugs,"MEGA
",https://mega.nz/folder/iN1TUbyK#ezKzBWg2L5GVEfc5ZzYHyg,Yedits.net,https://yedits.net/comp/Wcd1zVXe5ySGrIUAK4cD
100,,MEGA,https://mega.nz/folder/DQ4TmJjJ#ZshFBSB1ahDuaaijd4Wvtg,,
101,Thank God For Drugs,MEGA,https://mega.nz/folder/beYGQLrA#TzmNHvYm-CdQ_OvA29LIPg,,
102,Yeezus,,,,
104,⭐GOD WANTS YOU,MEGA,https://mega.nz/folder/XqBDhBLY#K8aCLRA-HT-Juf4gbv7FcQ,"Yedits.net
",https://yedits.net/comp/fynKQXcxriIbX22nNPs3
104,,,,[untitled],https://untitled.stream/library/project/naR2huRDx8GeUrrU32Rgg
106,"YEEZUS
REMASTERED",MEGA,https://mega.nz/folder/CU12yQgS#uldYpF1yBHryLf7yi3iw6g,Yedits.net,https://yedits.net/comp/6dQjlXQhp3FCfzj653fw
107,NOT FOR SALE,MEGA,https://mega.nz/folder/61wzWT5B#tVuedLCmlOj9IvdrjYVliw,Yedits.net,https://yedits.net/comp/Hlxm5DAREavcf8uPFyjf
109,"Yeezus
(Extended)","MEGA
",https://mega.nz/folder/A5ZAxSra#wmxgvOlevJdx0KUz3cjfHg,,
109,,"MEGA
",https://mega.nz/file/AfUhVRLA#n2ltaJbF1-_pgerdMmzhM353uhHsMMx3YsKNqQAyv1o,,
109,,Google Drive,https://drive.google.com/drive/folders/1Ws5YSVNGoHhq59G1V1nPWe2rUDHgyfNS?usp=sharing,,
110,Yeezification,"MEGA
",https://mega.nz/folder/XZgTlYjQ#ejP_Kz8CsA8wIspjJKAaRQ,[untitled],https://untitled.stream/library/project/KE8au0WnwAx9nWvGwu1Kr
110,,Google Drive,https://drive.google.com/drive/folders/1D2z0yufCClOlA-DY-j4x-VPDBy2FqErJ,,
112,"Yeezus
(Extended)","MEGA
",https://mega.nz/folder/ulgEmRZK#TAY_tEf5ADUUxFP_cNoKog,,
112,,Google Drive,https://drive.google.com/drive/folders/1VYdPwZAs9bAtjQ2WcmJDUzom7oHkUIxi?usp=sharing,,
114,"Yeezus
Remastered",MEGA,https://mega.nz/file/9BlQ1bDQ#Ttem3BGSpcx1goG-zrJcDHksE8hLEbYXLjcSpM6KOAA,,
115,Not For Sale,MEGA,https://mega.nz/folder/K8Y0GCaQ#xxrO0cPUskl0tnZ62IrKag,[untitled],https://untitled.stream/library/project/ajGE2AaOpO3sdv2-iE1hO
116,Black American Psycho,"MEGA
",https://mega.nz/folder/S0gmjCQQ#yP6lvV-IiZXo57E__9vulQ,YouTube,https://www.youtube.com/watch?v=t22hLU9k5uQ&list=PLPbYplX7Nu89ZpIkygF6y7j-7IQm34TYW
116,,Google Drive,https://drive.google.com/drive/folders/19016A1WlXyvf7vddLyxIrWIrFwxU34hE?usp=sharing,,
117,✨YESSIAH,"MEGA
",https://mega.nz/folder/EYRUiRDZ#cueypKU6K2GiY6gHYJiQVw,"YouTube
",https://www.youtube.com/watch?v=tUM_irvdhdY&t=2041s
117,,MEGA,https://mega.nz/file/v8wWHAra#P-TlGTNfAuj9EXdkUgH5kotfMCXDoGToDkM1kpB7LEA,[untitled],https://untitled.stream/library/project/dcbEn5jokkyd7xqHrDZM1
118,"✨YEEZUS
REDEEMED",MEGA,https://mega.nz/folder/eQIDCZBS#wSbjeQ5iDfwoaIpFqP7GgA,"YouTube
",https://www.youtube.com/watch?v=54Iu8GsOHWk
118,,,,[untitled],https://untitled.stream/library/project/LZ0h0pkAwmM867bkZX8N6
119,SPECIAL IMPORT,,,[untitled],https://untitled.stream/library/project/eZNEpqPSNZQOtcm7QWzAD
120,"Cruel Winter [V1]
(Collaboration with G.O.O.D. Music)",,,,
122,⭐Cruel Winter,MEGA,https://mega.nz/folder/vtABlKaC#FbeN0_EE-1UT7Hp_rBnhKQ,"Yedits.net
",https://yedits.net/comp/jYgsOlyBNB7PeHUWfrCA
122,,,,[untitled],https://untitled.stream/library/project/P2oP0nadoApJMKRVWyFMd
124,"Cruel Winter
(2014)",MEGA,https://mega.nz/folder/Kgs33DoY#3FU2lh25BCGvaPEm-PPaxg,[untitled],https://untitled.stream/library/project/OMMtL8SC4cPoAsscb0zU6
125,"Yeezus 2
(Lost Yeezus, New Yeezus)",,,,
127,SENSATIONAL,MEGA,https://mega.nz/folder/RddCkbKT#y5kWsCN2KKrxGKJg5Dmpaw,Yedits.net,https://yedits.net/comp/XIKmnYSUVnZsYpoeUr9S
129,⭐Yeezus II,MEGA,https://mega.nz/folder/FPEA2CCI#puXv1LHW8eC6WA-zkWQwXA,"Yedits.net
",https://yedits.net/comp/mCer0ChmhJT32M95Duua
129,,,,[untitled],https://untitled.stream/library/project/7kvpOAFObNYgK7lBPqW5y
