Era,Name,Notes,Length,File Date,Release Date,Type,Streaming,On DSPs,Link(s)
The Real Uzi,"As!an Chicks
(feat. Gillie Da Kid) (prod. Charlie Heat)",Track #13 on The Real Uzi.,4:12,,"Aug 5, 2014",Mixtape,Released on DSPs,No,LINK NEEDED
The Real Uzi,"I Don't Know Nuffin
(prod. Maaly Raw & Don Cannon)",Track #14 on The Real Uzi.,4:50,,"Aug 5, 2014",Mixtape,Released on DSPs,No,LINK NEEDED
The Real Uzi,"Plugged In
(prod. Charlie Heat)",Track #15 on The Real Uzi.,3:31,,"Aug 5, 2014",Mixtape,Released on DSPs,No,LINK NEEDED
The Real Uzi,"Like 50
(prod. Maaly Raw)",Track #16 on The Real Uzi.,3:38,,"Aug 5, 2014",Mixtape,Released on DSPs,No,LINK NEEDED
The Real Uzi,"Trappin Work
(feat. Kur) (prod. Maaly Raw)",Track #17 on The Real Uzi.,4:02,,"Aug 5, 2014",Mixtape,Released on DSPs,No,LINK NEEDED
,"Luv Is Rage
℗ Atlantic Records & Generation Now",,,,,,,,
,Singles and throwaways,,,,,,,,
Luv Is Rage,"Motorola
(prod. Metro Boomin) 
(My Trap Game)",First successful solo Uzi single. Recorded in 2014 in a session with Metro Boomin,3:19,"Sep 2, 2014","Sep 16, 2014",Single,Released on DSPs,No,https://soundcloud.com/liluzivert/liluzivert-motorola-prodby-metro-boomin
Luv Is Rage,"Uzi Manson
(prod. Maaly Raw)",Recorded in 2014,   3:38,"??? ??, 2014","Jan 12, 2015",Single,Released on DSPs,No,https://soundcloud.com/liluzivert/uzi-manson-prodmaalyraw
Luv Is Rage,"Dej Loaf
(prod. HydroBeatz)",SoundCloud single,   3:58,,"Mar 2, 2015",Single,Released on DSPs,No,https://soundcloud.com/liluzivert/def-loaf-prod-hydro-beatz
Luv Is Rage,"Stylin
(prod. TM88)","Solo Uzi released on a various artist album ""Sacii Lyfe""",    5:21,,"Apr 15, 2015",Single,Released on DSPs,Yes,https://open.spotify.com/track/5xUQ05EFlnn6HVsLLZCR2k?si=kHSwdk4VRO-tV4arsRWA3Q
Luv Is Rage,"Made a Million
(prod. Drew Tyranny)",SoundCloud single,   3:27,"May 10, 2014","May 30, 2015",Single,Released on DSPs,No,https://soundcloud.com/liluzivert/made-a-million
Luv Is Rage,"Horse
(prod. Maaly Raw)","Previewed on Instagram in May, 2015. Uzi responded to a fan on Twitter and said that the song was a throwaway",   3:26,,"Jun 6, 2015",Single,Released on DSPs,No,https://soundcloud.com/liluzivert/horse-prodmaalyraw
Luv Is Rage,"JuiceMan
(prod. DJ Plugg & Bobby Kritical)
(Boot Man)",SoundCloud single,   3:20,,"Jun 30, 2015",Single,Released on DSPs,No,https://soundcloud.com/liluzivert/juiceman
Luv Is Rage,"All Night
(prod. Cardo)",SoundCloud single,   3:27,,"Jul 22, 2015",Single,Released on DSPs,No,https://soundcloud.com/liluzivert/all-night-produced-by-cardo-got-wings
Luv Is Rage,"No Wait
(prod. Metro Boomin & Southside)","Previewed in March, 2015",   3:00,,"Aug 1, 2015",Single,Released on DSPs,No,https://soundcloud.com/liluzivert/no-wait-prod-by-metro-boomin
Luv Is Rage,"N I G O HILFIGER
(prod. DJ Plugg)
(Uzi Gang)","Previewed on Twitter on August 19th, 2015",   3:27 ,"Aug 19, 2015","Aug 23, 2015",Single,Released on DSPs,No,https://soundcloud.com/liluzivert/n-i-g-o-hilfiger-prod-dj-plugg
Luv Is Rage,"⭐ Finessin Hearts
(prod. DP Beats & PJ Pipe It Up)
(Left Me 'Lone)","Recorded on September 6th, 2015 alongside the original version of ""Alone Time""",   4:09,"Sep 6, 2015","Sep 6, 2015",Single,Released on DSPs,No,https://soundcloud.com/liluzivert/finessin-hearts-proddp-beats
Luv Is Rage,"Nuyork Nights at 21 ++ [V1]
(prod. FKi-1st)","Previewed on Twitter shortly before release. Original version with differeng mixing, vocal effects and song structure",   2:15,,"Sep 6, 2015",Single,Released on DSPs,No,https://soundcloud.com/liluzivert/nuyork-nights-at-21-prod-first-of-fki
Luv Is Rage,"7 AM (VLone Lifestyle) [V1]
(prod. Xay Scott, Lex Luger & DP Beats)",The final single for LUV is Rage. Has different mixing and lacks the sample intro that the album version has,   3:04,"Oct 8, 2015","Oct 8, 2015",Single,Released on DSPs,No,https://soundcloud.com/liluzivert/7-am-vlone-lifestyle
,Features,,,,,,,,
Luv Is Rage,"Tayyib Ali - Drop
(feat. Lil Uzi Vert & A$AP Ferg) (prod. The Beat Brigade)",Single released by Tayyib Ali featuring Lil Uzi Vert.,4:23,,"Oct 10, 2014",Feature,Released on DSPs,Yes,https://open.spotify.com/track/2WmgOM69M0PYMNkN7hDJgI?si=da9014f3a8954c13
Luv Is Rage,"LaVish - Gettin Money
(feat. Lil Uzi Vert) (prod. Young Straws)",Released in 2014,5:45,,"Oct 15, 2014",Feature,Released on DSPs,No,https://soundcloud.com/yfflavish/lavish-gettin-money
Luv Is Rage,"Phat Geez - Deceiving
(feat. Lil Uzi Vert) (prod. Maaly Raw)",Released in 2014,3:07,,"Aug 27, 2014",Feature,Released on DSPs,No,https://www.youtube.com/watch?v=P8lkH0i32fg
Luv Is Rage,"Phat Geez - Neva Change
(feat. Lil Uzi Vert) (prod. Maaly Raw)","Previewed in 2014
reupload also linked due to restrictions in US upload",3:30,,"Nov 4, 2014",Feature,Released on DSPs,No,"https://soundcloud.com/phatgeez/neva-change-ft-lil-uzi-prod-by-maaly-raw
https://www.youtube.com/watch?v=P7laTM0hUVA"
Luv Is Rage,"DJ Moni - Can't Lose
(feat. Lil Uzi Vert) (prod. ???)","A music video exists on YouTube, not much is known",2:48,,"Nov 8, 2014",Feature,Released on DSPs,No,https://soundcloud.com/djmoni-3/cant-lose-ft-lil-uzi-vert
Luv Is Rage,"Count Dem Rolls
(feat. Uzi Gang) (prod. Germ)",Single released by Lil Uzi Vert.,3:50,,"Nov 30, 2014",Single,Released on DSPs,Yes,https://open.spotify.com/track/1iJa3Lpd1uC0zp5ZBpAr4W?si=2f69fb4dd0154f19
Luv Is Rage,"Bust Down
(feat. Rich The Kid) (prod. JakeGoesDigital)","SoundCloud single. Used as a bonus track on Rich The Kid's label album ""Rich Forever 2""",3:18,,"Dec 2, 2014",Single,Released on DSPs,No,https://soundcloud.com/digital-trapstars/lil-uzi-ft-rich-the-kid-bustdown-prod-by-jakedigital?utm_source=www.xxlmag.com&utm_campaign=wtshare&utm_medium=widget&utm_content=https%253A%252F%252Fsoundcloud.com%252Fdigital-trapstars%252Flil-uzi-ft-rich-the-kid-bustdown-prod-by-jakedigital
Luv Is Rage,"HXV - Made It
(feat. Lil Uzi Vert & Rome Fortune) (prod. HXV)",Recorded in an October 2014 session with HXV,3:42,"Oct ??, 2014","Dec 2, 2014",Feature,Released on DSPs,No,https://open.spotify.com/track/39q3Mfru70XUPD5Dqde3f9
Luv Is Rage,"TrapZillas & Mike Barz - Cocaine In My Chevy [V1]
(feat. Lil Uzi Vert & Charlie Bars) (prod. MikeJerz)","Released in 2014, but later deleted. The long was lost until it leaked in 2016",3:25,,"Dec 10, 2014",Feature,Released on DSPs,No,https://soundcloud.com/trapzillas/trapzillas-mike-jerz-cocaine-in-my-chevy-ft-charlie-bars-lil-uzi-vert
Luv Is Rage,"Monee Del Rey
(feat. DJ Diamond Kuts) (prod. Maaly Raw)","Titled in reference to pop singer ""Lana Del Rey""
 Last known collaboration between Uzi and Diamond Kuts",3:44,,"Dec 23, 2014",Single,Released on DSPs,No,https://soundcloud.com/liluzivert/monee-del-rey-prod-by-maalyraw
Luv Is Rage,"Treez Lowkey - Hoetel (Remix)
(feat. Lil Uzi Vert) (prod. Treez Lowkey)","Released on Soundcloud in 2015, but later deleted. The long was lost until it leaked in 2017. Reupload linked",3:35,,"Jan 1, 2015",Feature,Released on DSPs,No,https://www.youtube.com/watch?v=Dv6NkIf3hO0
Luv Is Rage,"K. Gibbs - Choppa
(feat. Lil Uzi Vert & Young Savage)","Recorded in April, 2014",5:49,"Apr ??, 2014","Jan 24, 2015",Feature,Released on DSPs,No,https://soundcloud.com/kas-gibson/09-k-gibbs-cgoppa
Luv Is Rage,"⭐ Carnage - WDYW [V2]
(feat. Lil Uzi Vert, Rich The Kid & A$AP Ferg) (prod. Carnage)
(Thugger Voice, What You Want)","Single released by Carnage featuring Lil Uzi Vert. Later became track 6 on Carnage's album ""Papi Gordo"".",3:53,,"Jan 27, 2015",Feature,Released on DSPs,Yes,https://open.spotify.com/track/7HLdS2HUpEj2tXGwS1SOBR?si=25de1b5ca3ca4acc
Luv Is Rage,"Kur - Thriller
(feat. Rich The Kid & Lil Uzi Vert) (prod. Flame)",Released in 2015,2:24,,"Mar 4, 2015",Feature,Released on DSPs,No,https://soundcloud.com/kur-sound/kur-thriller-feat-rich-the-kid-x-lil-uzi
Luv Is Rage,"Money June - Hella Bad
(feat. Lil Uzi Vert) (prod. ???)",Released in 2015,4:06,,"Mar 11, 2015",Feature,Released on DSPs,No,https://soundcloud.com/money-june/hella-bad-ft-lil-uzi
Luv Is Rage,"Louie V. Gutta - Pull Up
(feat. Lil Uzi Vert) (prod. Poston)","Recorded on November 20th, 2014 in a session with Louie V. Gutta. Gutta tweeted at Uzi the same day",3:32,"Nov 20, 2014","Mar 16, 2015",Feature,Released on DSPs,No,https://open.spotify.com/track/4bxEQMYJ7IRfVDaXk05F2x
Luv Is Rage,"TrapZillas - Bands
(feat. Charlie Bars, Peedi Crack & Lil Uzi Vert) (prod. BeazyTymes)","Recorded in September 2014, alongside ""Cocaine In My Chevy""",2:56,"Sep ??, 2014","Mar 20, 2015",Feature,Released on DSPs,No,https://soundcloud.com/trapzillas/bands
Luv Is Rage,"TrapZillas - Cocaine In My Chevy V8.1 [V2]
(feat. Lil Uzi Vert & Manolo Rose) (prod. MikeJerz)","Released in 2014, but later deleted. The long was lost until it leaked in 2016",3:25,,"Mar 30, 2015",Feature,Released on DSPs,No,https://soundcloud.com/trapzillas/lil-uzi-x-manolo-rose-cocaine
Luv Is Rage,"TM88 - Stylin
(feat. Lil Uzi Vert) (prod. TM88)","Track 11 on TM88's ""Sacii Life"". Also released on Uzi's spotify account with it being the only place on DSPs",3:26,,"Apr 13, 2015",Feature,Released on DSPs,Yes,https://open.spotify.com/track/5xUQ05EFlnn6HVsLLZCR2k?si=kHSwdk4VRO-tV4arsRWA3Q
Luv Is Rage,"Pressure
(feat. Lil Durk) (prod. DJ L Beats)",Lil Uzi and Lil Durk rap about the Freddie Gray incident from weeks prior in Baltimore,3:17,,"May 1, 2015",Single,Released on DSPs,No,https://soundcloud.com/liluzivert/pressure-ft-lil-durk-produced-by-dj-l
Luv Is Rage,"Y.S.L - 4 DA MONEY
(feat. Lil Uzi Vert) (prod. Maaly Raw)",Released in 2015,3:18,,"May 12, 2015",Feature,Released on DSPs,No,https://open.spotify.com/track/2cZEitHsgkGdpeerDvYXU7
Luv Is Rage,"Skeme - The Man 
(feat. Lil Uzi Vert) (prod. DJ Plugg)","Previewed in a Skeme x Uzi session uploaded to YouTube on April 30th, 2015",3:05,"Apr 30, 2015","Jun 9, 2015",Feature,Released on DSPs,No,https://www.youtube.com/watch?v=PwEUJe3tHsw
Luv Is Rage,"On My Line
(Feat. G Herbo) (prod. DJ Plugg & Bobby Kritical)","Recorded on May 22, 2015 in a session with G Herbo",3:24,"May 22, 2015","Jul 1, 2015",Single,Released on DSPs,No,https://www.youtube.com/watch?v=dZMLSarLAbk
Luv Is Rage,"Eric Carmichael - Dollar Signs
(feat. Lil Uzi Vert) (prod. IrwinDayDream) 
(Where Them Stacks At)","Old feature from 2014. Uzi's verse was cut by a fan and uploaded to youtube as a solo song called ""Where Them Stacks At""",3:01,,"Jun 8, 2015",Feature,Released on DSPs,No,https://soundcloud.com/spencer-gray-767987726/dollar-signs
Luv Is Rage,"iamsu! - Lane Switching
(feat. Lil Uzi Vert) (prod. AKAFrank)",A feature with iamsu! that was released in 2015.,3:47,,"Jul 17, 2015",Feature,Released on DSPs,No,https://soundcloud.com/iamsu/06-lane-switching
Luv Is Rage,"LAMB$ - Everytime
(feat. Lil Uzi Vert) (prod. StakzDaProducer)","Recorded in 2014, reupload linked",3:10,"??? ??, 2014","Jul 26, 2015",Feature,Released on DSPs,No,https://www.youtube.com/watch?v=jPBb60XymzU
Luv Is Rage,"Rizzoo Rizzoo - Fuck Up The Party
(feat. Lil Uzi Vert) (prod. XO)","Recorded on July 26th, 2015 during sessions for LUV is Rage",3:20,"Jul 26, 2015","Sep 21, 2015",Feature,Released on DSPs,Yes,"https://open.spotify.com/track/5n1X58WS3TFXcmNji5o4XK
https://soundcloud.com/rizzoorizzooitzhot/06-rizzoo-f-ck-up-the-party"
Luv Is Rage,"LAMB$ - Rollie
(feat. MidwestMillz & Lil Uzi Vert) (prod. StakzDaProducer)","Recorded in a LAMB$ x Millz x Uzi session on May 4th, 2015. An Uzi only version of the song became popular in 2017",2:48,"May 4, 2015","Sep 24, 2015",Feature,Released on DSPs,No,https://soundcloud.com/insomniaclambs/lamb-x-lil-uzi-vert-x-midwest-millz-rollie-prod-stakzdaproducer
Luv Is Rage,"ManMan Savage - Psycho
(feat. Lil Uzi Vert) (prod. Cool$hit)",Recorded in 2015 in a session with ManMan Savage & Playboi Carti,3:49,"??? ??, 2015","Oct 29, 2015",Feature,Released on DSPs,No,https://soundcloud.com/damncoolshit/psychomanmansavagexliluzivert
,"Luv Is Rage (DSPs) - Released Oct. 30, 2015",,,,,,,,
Luv Is Rage,"✨ Safe House
(prod. Don Cannon & Maaly Raw)","Track 1 on Luv Is Rage. Later received a music video on November 10, 2015, as a WorldStarHipHop exclusive.",3:56,"May 22, 2015","Oct 30, 2015",Mixtape,Released on DSPs,Yes,https://open.spotify.com/track/6EFryfyWOobzFCBDB9qbrz?si=9e8cd123eedd4c42
