Era,Name,"Notes
(yellow border indicates a detag, audio fix, or a good fake)",Made By,Type,Available Length,Link(s)
Fake,Stop Trying To Be God [Demo],Snippet posted in 2020 and resurfaced in 2021; features rough vocals over a different instrumental. The vocals were likely taken from the 2019 Grammy's rehearsal leak.,,Fake,Not Available,
Fake,"BBY GOYARD - Take Off
(feat. Travis Scott)","A version of the 'Astroworld' throwaway with a verse from BBY GOYARD leaked in 2021, but it's unclear how he came into possession of the track. He teased a snippet of his verse plus some unheard Travis parts before it had leaked, so he obviously had it beforehand, but it's extremely unlikely that he got it officially.",,Unofficial,Not Available,
Fake,"Take Off
(feat. NLE Choppa)","Snippet posted in 2024 that previewed an NLE Choppa verse over the ""Take Off"" instrumental. If these NLE vocals are any real, they were definitely not sent to Travis or affiliated with him in any way.",,Fake,Not Available,
Fake,"Telescope
(feat. Playboi Carti)
[prod. Twxn, LL Clawz & 507Kaz]","Fanmade AI song that went viral on TikTok across 2023 and 2024. Was also used in a now-deleted promotional video by Beach! Please Festival in 2024, which announced Travis as their headlining act.",,Fake,Not Available,
Fake,"The Stick
(with Quavo)","Snippet from August 2016. Sounds like Travis in the snippet, but it's actually Quavo; the real song is ""Bag on Em"" by Migo Domingo, released in April 2018.",,Mislabel,Not Available,
Fake,"The Kid LAROI - Therapy
(feat. 2 Chainz & Travis Scott)
[prod. Miracle]","Appeared in a list files shown by either Miracle or Laroi. It's just a remix of ""4AM"" with a Laroi verse and different production.",,Remix,Not Available,
Fake,Kid Cudi - Through the Late Night [Demo],Fake open-verse demo made using multitracks and unused vocal takes.,,Fake,Not Available,
Fake,"Too Many Chances (Remix)
(feat. The Kid LAROI)","Unofficial remix, recorded after Laroi downloaded the leak from YouTube.",,Fake,Not Available,
Fake,Up To Something [Demo],"Demo that leaked as ""act"" in April 2019. Stem edit combining several vocal takes.",,Fake,Not Available,
Fake,Vision [Extended],Edit that loops the snippet to make a longer song and adds fanmade drums over it. Was unofficially fan-uploaded to the Travis Scott Spotify page in 2021. Deserves a mention since it's believed to be real by many people to this day.,,Edit,Not Available,
Fake,Wasted [Demo],A solo demo leaked in 2019 that features new reference vocals from Travis. This was a bounce mistake; the vocals comes from two separate demos that were accidentally combined when being unofficially exported.,,Edit,Not Available,
Fake,"Miguel - Waves [Demo]
(feat. Travis Scott)","Version that leaked on June 26, 2019. The real one has a rough one-take mumble verse, while this one has a partially finished verse. It's a fake version made using unused and re-recorded vocal takes.",,Fake,Not Available,
Fake,"Zon3d
(feat. Hit-Boy)","Instrumental leaked by KTT user xxman in July 2013, supposedly produced with Hit-Boy. xxman later stated that it's fake.",,Fake,Not Available,
Fake,"Bad Bunny - [Unknown]
(with Travis Scott)",Snippet surfaced at the end of July 2023. It's an AI fake. Previously available on the tracker for sometime,,Fake,Not Available,
