Era,Name,Notes,Length,Date Made,Type,Available Length,Quality,Link(s)
,"Escapism
(Collaboration with Chase B)","(10/01/2019) Don and Chase B begin working together during JACKBOYS sessions
(08/07/2020) ""New Delivery"" leaks and Escapism takes a different direction",,,"Don Toliver and Chase B worked together in sessions for JACKBOYS and Heaven Or Hell throughout 2019 and 2020. After Don's album released, Chase B wanted ""Cafeteria"" to be a single for his own producer album. Don suggested they drop a collab album since they have so much music together. Although the lead single was released, the idea was scrapped due to several album tracks leaking in August 2020. In Summer 2023, Chase B hinted at the album now being called BE VERY AFRAID.",,,
,Music Videos,,,,,,,
Escapism,"Chase B - Cafeteria
(feat. Don Toliver & Gunna)","Directed by Neftali Arreola
Released on Jul 23, 2020",,,Music Video,Full,High-Res,https://youtu.be/GlwcRpOUe6s
,"Life of a DON
(2020 - 2021)","(03/13/2020) (Heaven Or Hell is released)
(10/08/2021) (Life of a DON is released)",,,"Don began teasing the album's title on his Instagram stories throughout 2021 after releasing the lead single in May. After releasing a second single, Don performed ""BOGUS"" live on July 31 in anticipation of the album's release. Life of a DON was originally meant to drop on September 3 with ""Theme Song"" as the first track. It is unknown why the tracklist was changed or why the album was pushed back. Many throwaways from this era are seen on whiteboards and computer screens in the ""Behind The Scenes"" documentary.",,,
,Music Videos,,,,,,,
Life of a DON,"Drugs N Hella Melodies
(feat. Kali Uchis)","Directed by Nabil Elderkin
Released on Jun 17, 2021",,,Music Video,Full,High-Res,https://www.youtube.com/watch?v=i_PYqIZoGvo&ab_channel=DonToliver
Life of a DON,"Fast Lane
(feat. Latto & Lil Durk)","Directed by Michael Garcia
Released on Jun 25, 2021",,,Music Video,Full,High-Res,https://www.youtube.com/watch?v=krwAHNfJAco&ab_channel=AtlanticRecords
Life of a DON,"Flocky Flocky
(feat. Travis Scott)","Directed by Cactus Jack
Released on Oct 11, 2021",,,Music Video,Full,High-Res,https://www.youtube.com/watch?v=gB_1xE23gb4&ab_channel=DonToliver
Life of a DON,Way Bigger [Alt Video],"Alternate version of the ""Way Bigger"" Music Video. Contains different shots as well as extra vocals at the end of the video",,,Music Video,Snippet,Low-Res,Link Needed
Life of a DON,Way Bigger,"Directed by Cactus Jack
Released on May 4, 2021",,,Music Video,Full,High-Res,https://www.youtube.com/watch?v=Ulzdqoy57wc&ab_channel=DonToliver
Life of a DON,What You Need,"Directed by Nabil Elderkin
Released on May 4, 2021",,,Music Video,Full,High-Res,https://www.youtube.com/watch?v=qFIJHaylMu4&ab_channel=DonToliver
Life of a DON,"Internet Money - His & Hers
(feat. Don Toliver, Lil Uzi Vert, & Gunna)","Directed by Cole Bennett
Released on May 14, 2021",,,Music Video,Full,High-Res,https://www.youtube.com/watch?v=bth7ViGGpeY&ab_channel=LyricalLemonade
Life of a DON,"Internet Money - Lemonade
(feat. Don Toliver, NAV, & Gunna)","Directed by Cole Bennett
Released on Aug 14, 2020",,,Music Video,Full,High-Res,https://www.youtube.com/watch?v=0opZqh_TprM&ab_channel=LyricalLemonade
Life of a DON,"Kali Uchis - fue mejor
(feat. SZA)","Directed by Cactus Jack
Don has an apperance at the 1:02 mark. 
Released on Sep 29, 2021",,,Appearance,Full,High-Res,https://www.youtube.com/watch?v=3aMLZm8ykoE&ab_channel=KaliUchisVEVO
Life of a DON,"Masego - Mystery Lady
(feat. Don Toliver)
(Produced by Raissa Ladeia Lima)","Directed by Amandla Baraka
Released on Nov 13, 2020",,,Music Video,Full,High-Res,https://www.youtube.com/watch?v=5i6A1IHAQsg&ab_channel=MasegoVEVO
Life of a DON,"Nas - Replace Me
(feat. Don Toliver & Big Sean)","Directed by Christian Sutton
Released on Oct 21, 2020",,,Music Video,Full,High-Res,https://www.youtube.com/watch?v=otuvGvh-Ugc&ab_channel=MassAppeal
Life of a DON,"Skrillex - Don't Go
(feat. Don Toliver & Justin Bieber)","Directed by Salomon Ligthelm
Released on Aug 19, 2021",,,Music Video,Full,High-Res,https://www.youtube.com/watch?v=cds_rfHsJ3Y&ab_channel=Skrillex
,Performances,,,,,,,
Life of a DON,Life of a DON Tour,"Don annouced the Life of a DON Tour on Aug 23, 2021
Opening acts included BIA
The Tour began in Austin TX on Sep 20, 2021 and ended Dec 12, 2021 at Rolling Loud LA",,,Live Performance,,,
Life of a DON,Rolling Loud Los Angeles 2021,The end of the Life of a DON Tour,,,Live Performance,Full,High-Res,https://www.youtube.com/watch?v=owMMLvVAnmA
Life of a DON,Rolling Loud Miami 2021,,,,,,,
,"Love Sick
(2021 - 2023)","(10/08/2021) (Life of a DON is released)
(02/28/2023) (Love Sick [Deluxe] is released)",,,"Love Sick's album title was first introduced by Don Toliver in April 2022. Prior to this, Don had already previewed four songs on social media, including “Time Heals All” and “No Pole.” On July 1, 2022, Don performed ""Rolling Stone"" live. The song appears in early tracklists along with other throwaways, but was cut last-minute. In the week leading up to the album's release, 7 visual episodes were released which would later make up the ""Love Sick"" short film. On the night of the album drop, Don teased a deluxe and went back in the studio for four days to release an additional 4 tracks.",,,
,Music Videos,,,,,,,
Love Sick,Do It Right,"Directed by Alexandre Moors
Was the start of the infamous Atlantic Records botting scandal
Released on Nov 22, 2022",,,Music Video,Full,High-Res,https://www.youtube.com/watch?v=no0RhhdJMlE&ab_channel=DonToliver
Love Sick,No Pole,"Directed by Rubberbands
Released Mar 3, 2025",,,Music Video,Full,High-Res,https://www.youtube.com/watch?v=A5mURRozXtg&ab_channel=DonToliver
Love Sick,"Slow Motion
(feat. Wizkid)","Released Mar 4, 2025 on Dons Instagram",,,Music Video,Full,High-Res,https://www.instagram.com/p/DGyqdNHzMzf/?hl=en
Love Sick,"Justin Bieber - Honest
(feat. Don Toliver)","Directed by Cole Bennett
Released Apr 28, 2022",,,Music Video,Full,High-Res,https://www.youtube.com/watch?v=n1khwOk5dN8&ab_channel=JustinBieberVEVO
Love Sick,Justin Bieber - I Feel Funny,"Directed by Cole Bennett
Spur of the moment Music Video shot before ""Honest."" Don appears at 0:38
Released Apr 26, 2022",,,Appearance,Full,High-Res,https://www.youtube.com/watch?v=EUcvdGfGEj0&ab_channel=LyricalLemonade
Love Sick,"Metro Boomin - Too Many Nights
(feat. Don Toliver & Future)
(Produced by Ceze & Ricky Z, Sina Tash, Derek C)","Directed by Hidji World & Metro Boomin & Zac Facts
Released on Apr 10, 2023",,,Music Video,Full,High-Res,https://www.youtube.com/watch?v=NyTkaQHdySM&ab_channel=MetroBoomin
Love Sick,"Metro Boomin - Too Many Nights [Alt Video]
(feat. Don Toliver & Future)","Alternate version of the ""Too Many Nights"" Music Video. Contains different shots",,,Music Video,Snippet,Low-Res,Link Needed
Love Sick,"NAV - One Time
(feat. Don Toliver & Future)","Released on Sep 13, 2022",,,Music Video,Full,High-Res,https://www.youtube.com/watch?v=UCvK_LxpF5w&ab_channel=NAVVEVO
