Era,Name,Notes,Length,Release Date,Type,Streaming,Link(s)
A Love Letter To You,"Poles 1469
(feat. 6ix9ine) (prod. Pi'erre Bourne)",Track 7 on A Love Letter To You. The third single for the project.,2:29,"Apr 27, 2017",Single,Yes,https://open.spotify.com/track/7o1RFIJYqa7tsbZ79LRR3n?si=bf85efc4b0584b8d
A Love Letter To You,"Poles 1469 [Music Video]
(feat. 6ix9ine) (prod. Pi'erre Bourne)","Official music video for track 7 on A Love Letter To You, uploaded on the channel FCK THEM, directed by Figure Eight Films, Filmed and edited by TrifeDrew, and Mixed and mastered by Wizard Lee of Feet1stmusic.",2:38,"Apr 27, 2017",Other,No,https://open.spotify.com/track/7o1RFIJYqa7tsbZ79LRR3n?si=bf85efc4b0584b8d
A Love Letter To You,"ES Mario - Destiny
(feat. Trippie Redd)",May 2017 feature.,1:57,"May 1, 2017",Feature,No,https://soundcloud.com/es-mario/destiny-ft-trippied-redd
A Love Letter To You,"Blade Of Woe
(feat. Famous Dex) (prod. DJ Flippp, Trippie Redd & 12Hunna)",Track 5 on A Love Letter To You. The final single from the project.,3:08,"May 9, 2017",Single,Yes,https://open.spotify.com/track/6OUH1tn9azIAJZykbKL8hj?si=00244e4d910c458a
A Love Letter To You,"Blade Of Woe [Music Video]
(feat. Famous Dex) (prod. DJ Flippp, Trippie Redd & 12Hunna)","Official music video for track 5 on A Love Letter To You, uploaded on the channel No More Heroes, filmed & edited by Richard Wolfe Films @rwfilmss.",2:58,"May 9, 2017",Other,No,https://www.youtube.com/watch?v=gf8yAg2_N5s
A Love Letter To You,"Romeo & Juliet
(prod. Goose the Guru)",Track 3 on A Love Letter To You.,3:28,"May 12, 2017",Album Track,Yes,https://open.spotify.com/track/3KJOUaUnv6jud8TqFnBcgc?si=8e9bbb6810e24054
A Love Letter To You,"Deeply Scared
(feat. UnoTheActivist) (prod. DJ Flippp & 12Hunna)",Track 4 on A Love Letter To You.,3:20,"May 12, 2017",Album Track,Yes,https://open.spotify.com/track/0urDQgcfUzgt2ETeNMOswm?si=1221cbafc84b4a72
A Love Letter To You,"It Takes Time
(prod. Goose the Guru)",Track 6 on A Love Letter To You.,4:42,"May 12, 2017",Album Track,Yes,https://open.spotify.com/track/3nM4VrvNxVxLY8tCSZHUIb?si=90959d3e14664c23
A Love Letter To You,"Limitless
(feat. Rocket Da Goon & Lil Tracy) (prod. DP Beats)",Track 10 on A Love Letter To You.,4:00,"May 12, 2017",Album Track,Yes,https://open.spotify.com/track/6noXNtw2bAqfi2hw75U1ig?si=2befb5c39ba242e1
A Love Letter To You,"Can You Rap Like Me?
(prod. P. Soul)",Track 11 on A Love Letter To You.,2:42,"May 12, 2017",Album Track,Yes,https://open.spotify.com/track/4Dr27JIX3jMbTUAjfO0hQi?si=d3e8e876e9aa4c8f
A Love Letter To You,"Never Ever Land
(prod. Peyote)",Track 12 on A Love Letter To You.,2:26,"May 12, 2017",Album Track,Yes,https://open.spotify.com/track/6YBUD3rcjkmzQPBn5uXgzz?si=6d7bb33827da4115
"2 Album Track(s)
1 Single(s)
10 Feature(s)
9 Music Video(s)
3 Other",A Love Letter You'll Never Get...,"(May 12, 2017) (A Love Letter To You is released)
(Aug 29, 2017) (A Love Letter You'll Never Get... is released)",,,Other,,
A Love Letter You'll Never Get...,"Never Ever Land [Music Video]
(prod. Peyote)","Official music video for track 12 on A Love Letter To You, shot by ADiTL Production.",3:00,2017,Other,No,https://www.youtube.com/watch?v=-OPIPylGHKc
A Love Letter You'll Never Get...,"Limitless [Music Video]
(feat. Rocket Da Goon & Lil Tracy) (prod. DP Beats)","Official music video for track 10 on A Love Letter To You, shot & edited by GxdlikeVisuals",4:00,"May 29, 2017",Other,No,https://www.youtube.com/watch?v=6AuuLSZmA1Y
A Love Letter You'll Never Get...,"GLEEEMING KARNIVAL
(prod. Digital Nas)",Released on Trippie's Soundcloud.,2:13,"Jun 4, 2017",Other,No,https://soundcloud.com/trippie-hippie-2/gleeeming-karnival
A Love Letter You'll Never Get...,"Oowee / Thots
(prod. Pi’erre Bourne)",Released on Quan'ta's Soundcloud.,1:38,"Jun 5, 2017",Other,No,https://soundcloud.com/isk8money/trippie-redd-oowee
A Love Letter You'll Never Get...,"Gway - Sauce
(feat. Trippie Redd)",Track 12 The G Way.,3:52,"Jun 7, 2017",Feature,Yes,https://open.spotify.com/track/32iLo5RzwnGQj3KWkrqHrk?si=44701136adf44d87
A Love Letter You'll Never Get...,"Gave Her Soul Away [Music Video]
(feat. Lil Wop) (prod. GamerBoomin & Nikko Bunkin)","Official music video for track 1 on Angels & Demons, filmed and edited by Savani Productions.",2:12,"Jun 9, 2017",Other,No,https://www.youtube.com/watch?v=m74AiQpwBWs
A Love Letter You'll Never Get...,"TTO K.T. - Finessin
(feat. Trippie Redd) (prod. AyeyoQueBeats)",Track 14 on PRDB3.,3:10,"Jun 10, 2017",Feature,No,https://soundcloud.com/ttokt/finessin-feat-trippie-redd?in=ttokt/sets/prdb3
A Love Letter You'll Never Get...,"TTO K.T. - Tokyo Drift
(feat. Trippie Redd)",Track 6 on PRDB3.,3:59,"Jun 10, 2017",Feature,No,https://soundcloud.com/ttokt/tokyo-drift-feat-trippie-redd?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
A Love Letter You'll Never Get...,"Romeo & Juliet [Music Video]
(prod. Goose the Guru)","Official music video for track 3 on A Love Letter To You, released on the WORLDSTARHIPHOP channel, directed and edited by Osean World, Clifford Simpson & Damien Aku",3:30,"Jun 12, 2017",Other,No,https://www.youtube.com/watch?v=5eixJgD0OLU
A Love Letter You'll Never Get...,"Chair Falling
(prod. Hollywood Don)",A single released after A Love Letter To You.,2:28,"Jun 13, 2017",Single,Yes,https://open.spotify.com/track/1X2QksDkZ0JXJW7oFbOAOT?si=cc9ad16b31c54bdd
A Love Letter You'll Never Get...,"Quan'ta - No Joke
(feat. Trippie Redd) (prod. WLVS JULES)
(Beat The Box)",June 2017 feature.,3:21,"Jun 18, 2017",Feature,Yes,https://open.spotify.com/track/10uDkqTsaLIbd3cEFxPY2b?si=c2d8055ebe5c47c7
A Love Letter You'll Never Get...,"Love Scars [Music Video]
(prod. Elliott Trent)
(Love Scars/You hurt me)","Official music video for track 1 on A Love Letter To You, directed by Peter Chen and produced by Mikko Kuokka",2:33,"Jun 25, 2017",Other,No,https://www.youtube.com/watch?v=NUNYcwDkBPc
