Era,Name,Notes,Designer(s),Art Type,Image,Project Type,Use,Link(s)
The Perfect LUV Tape,"The Perfect LUV Tape 
[Back Cover Physical]",Official physical back cover for Lil Uzi Vert's - The Perfect LUV Tape. Exclusively for the Vinyl release.,Farris,Photo,,Back Cover,Used,
The Perfect LUV Tape,The Perfect Luv Tape [Insert],"Official artwork that can be seen as an insert for The Perfect Luv Tape's vinyl release, along as a center label.",Farris,Digital,,Physical Packaging,Used,https://ibb.co/jZQzC3xS
The Perfect LUV Tape,"$UB ZERO ++
[Single Cover]",Cover for the song $UB ZERO ++,Unknown,Digital,,Front Cover,Used,
The Perfect LUV Tape,,,,,,Extra,Used,
The Perfect LUV Tape,"Stole Your Luv ++
[Single Cover]",Cover for the song Stole Your Luv ++,Unknown,Digital,,Front Cover,Used,
The Perfect LUV Tape,Brenmar - We Rollin,Cover for the song We Rollin featuring Lil Uzi Vert & Rome Fortune,Unknown,Digital,,Front Cover,Used,
The Perfect LUV Tape,Wiz Khalifa - Pull Up,Cover for the song Pull Up featuring Lil Uzi Vert,Unknown,Digital ,,Front Cover,Used,
The Perfect LUV Tape,SosaMann - Drippin & Saucin ,Cover for the song Drippin & Saucin featuring SauceWalka & Lil Uzi Vert,Unknown ,Digital,,Front Cover,Used,
The Perfect LUV Tape,Ethan Sacii - Semi-Automatic,Cover for the song Semi-Automatic featuring Lil Uzi Vert,Unknown ,Digital ,,Front Cover,Used,
Luv Is Rage 2 [V1],"Luv Is Rage 2
[2016 Cover]","Cover art likely created for the first iteration of Luv Is Rage 2, as it stays consistent with the artstyle that his prior mixtapes had. Showcased on Matt Meiners' Instagram",Matt Meiners,Digital,,Front Cover,Unused,https://ibb.co/9kp8spgK
Luv Is Rage 2 [V1],Buy It $$$$,Cover for the song Buy It $$$$,,Photo,,Front Cover,Used,https://ibb.co/2YLGmfGP
Luv Is Rage 2 [V1],"Buy It
[Uncropped]","Uncropped version of the Buy It $$$$ cover. From left to right, the people featured in this photo are Virgil Abloh, Lil Uzi Vert & Heron Preston",,Photo,,Extra,Used,https://ibb.co/5Xb7mMmb
Luv Is Rage 2 [V1],Ready Set Go (VLone),Ready Set Go (VLone),,Photo,,Front Cover,Used,https://ibb.co/fVJkS2gQ
Luv Is Rage 2 [V1],Woke Up Thankful (Calm Skate Vids),Cover for the song Woke Up Thankful (Calm Skate Vids),,Photo,,Front Cover,Used,https://ibb.co/Vc4249HD
Luv Is Rage 2 [V1],Grow Up,Cover for the song Grow Up,,Photo,,Front Cover,Used,https://ibb.co/KjL4BZYS
Luv Is Rage 2 [V1],"Grow Up
[Uncropped]",Uncropped version of the Grow Up cover.,,Photo,,Extra,Used,
Luv Is Rage 2 [V1],Miss Cleo,Cover for the song Miss Cleo,,Photo,,Front Cover,Used,https://ibb.co/rRygzKfC
1017 Vs. The World,1017 vs. The World,"Official cover art for Lil Uzi Vert & Gucci Mane's mixtape 1017 vs. The World. For whatever reason, there's a picture of the same cover but shrunk down in the bottom left of the image.",Farris,Digital,,Front Cover,Used,https://ibb.co/nv739x0
1017 Vs. The World,"1017 vs. The World
[Promo]","Promotional art posted by Farris to his socials, was likely the first iteration of the 1017 vs. The World cover, as all aspects from the promo image are seen in the official cover.",Farris,Digital,,Extra,Promotional,https://ibb.co/0RcVQyfb
Luv Is Rage 1.5,Boring Shit,Single cover for the song Boring Shit,Uzi,Photo,,Front Cover,Used,https://ibb.co/SSPXnsD
Luv Is Rage 1.5,Boring Shit [Uncropped],Uncropped version of the cover for Boring Shit,Uzi,Photo,,Front Cover,Used,
Luv Is Rage 1.5,LUV SCARS K.o 1600,Single cover for the song LUV SCARS K.o 1600,Uzi,Photo,,Front Cover,Used,https://ibb.co/1Gzy2n65
Luv Is Rage 1.5,"XO Tour Llif3  
[1.5 Cover]",Single cover for the Luv Is Rage 1.5 release of XO Tour Llif3,Unknown ,Photo,,Front Cover,Used,https://ibb.co/wZLnsXZp
