Era,Name,Notes,Image / Length,Date Made,Date,Type,Available Length,Quality,Link(s)
Luv Is Rage 2 [V1],"Migos - Bad and Boujee
(feat. Lil Uzi Vert) (prod. Metro Boomin & G Koop)","Music video for ""Bad and Boujee"". Features a cameo from Travis Scott. Directed by @flexgoddaps.",3:40,"Sept-Oct, 2016","Oct 31, 2016",Music Video,Full,Officially Released,https://www.youtube.com/watch?v=S-sJp1FfG7Q&list=RDS-sJp1FfG7Q&start_radio=1
Luv Is Rage 2 [V1],"Felix Snow - Love
(feat. Lil Uzi Vert) (prod. Felix Snow)","Music video for ""Love"". Sort of features Uzi in the video.",2:10,"??? ??, 2016","Nov 30, 2016",Music Video,Full,Officially Released,https://www.youtube.com/watch?v=svVWxA1-m1E&list=RDsvVWxA1-m1E&start_radio=1
,Other,,,,,,,,
Luv Is Rage 2 [V1],A Very Uzi Christmas,"Promotion to win two free tickets to Uzi's show in Philly called ""A Very Uzi Christmas"" on December 22nd, 2017.",0:22,N/A,"Nov 11, 2016",Promotional Content,Full,Officially Released,https://www.youtube.com/watch?v=N28fXTtsE7g
,Luv Is Rage 2 [V2],,,,,,,,
,Music Videos,,,,,,,,
Luv Is Rage 2 [V2],"XO TOUR Llif3
(prod. TM88 & JW Lucas)
(All My Friends Are Dead, XO Tour, P1)","Music video for ""XO Tour Llif3"". Directed by Virgil Abloh, who also played a role in the video. Filmed mostly in Paris during The Weeknd's StarBoy: Legend of the Fall Tour when Uzi was the opening act of the European leg. Features cameos from The Weeknd, NAV, Ike Beatz, and Spike Jordan. The video was very controversial due to the graphic and satanic scenes paired with the dark imagery shown throughout the video. The Arabic subtitles present in the video also faced backlash because it translated to gibberish and was only put in because the co-director thought it looked cool. Despite the heavy critism, the music video stands as one of if not the most iconic pieces of media in Uzi's career.",4:16,"Feb 27, 2017
Aug ??, 2017","Sep 4, 2017",Music Video,Full,Officially Released,https://www.youtube.com/watch?v=WrsFXgQk5UI
Luv Is Rage 2 [V2],"Go Off
(feat. Travis Scott & Quavo) (prod. Murda Beatz, Breyan Isaac & The Featherstones)","Official Music Video for ""Go Off"".",3:39,"Jan-Feb, 2017","Mar 2, 2017",Music Video,Full,Officially Released,https://www.youtube.com/watch?v=0TxcJ3Ud-To
Luv Is Rage 2 [V2],"The Way Life Goes (Remix)
(feat. Nicki Minaj & Oh Wonder) (prod. Don Cannon & Ike Beatz)","Music video for the remix of ""The Way Life Goes"" feauting Nicki Minaj. Directed by @flexgoddaps",4:46,"Nov 18, 2017","Dec 4, 2017",Music Video,Full,Officially Released,https://www.youtube.com/watch?v=SxAp27sFaIM&list=RDSxAp27sFaIM&start_radio=1
Luv Is Rage 2 [V2],"Break The Bank
(with Playboi Carti) (prod. Pi'erre Bourne)","Music video for ""Break The Bank"". Directed by AWGE.",3:31,"Mar 21, 2017","Aug 26, 2022",Music Video,Full,Unreleased,https://mega.nz/file/JqQ0iTBI#0d75w1lMrQCOxMGDNg8VBAnMjFlKuM2bqRwZycSfImw
,Visualizers,,,,,,,,
Luv Is Rage 2 [V2],"XO TOUR Llif3
(prod. TM88 & JW Lucas)
(All My Friends Are Dead, XO Tour, P1)","Visualizer for ""XO Tour Llif3"". Released on Uzi's Youtube channel on March 13, 2017 but got unlisted after the release of the music video in September despite it gaining almost 300 million views in that timespan.",3:00,N/A,"Mar 13, 2017",Visualizer,Full,Officially Released,https://www.youtube.com/watch?v=Zgmvg-zzctI
Luv Is Rage 2 [V2],"XO TOUR Llif3
(prod. TM88 & JW Lucas)
(All My Friends Are Dead, XO Tour, P1)","Official Lyric Video for ""XO Tour Llif3"".",3:00,N/A,"Aug 4, 2017",Visualizer,Full,Officially Released,https://www.youtube.com/watch?v=VcyFfcJbyeM
Luv Is Rage 2 [V2],"Two®
(feat. Kesha Lee) (prod. Lil Uzi Vert, Lyle Leduff & Don Cannon)
(2 (Intro), Two (Intro))","Official Visualizer for ""Two®"".",3:05,N/A,"Oct 10, 2017",Visualizer,Full,Officially Released,https://www.youtube.com/watch?v=EepkVbNveX1
Luv Is Rage 2 [V2],"444+222
(prod. Ike Beatz & Maaly Raw)
(Go Fast, Slow Down, 666)","Official Visualizer for ""444+222"".",4:06,N/A,"Oct 10, 2017",Visualizer,Full,Officially Released,https://www.youtube.com/watch?v=EepkVbNveX0
Luv Is Rage 2 [V2],"Sauce It Up
(prod. BeldonDidThat, Don Cannon, Michael Piroli & NorthFirst55)
(Ain't Enough)","Official Visualizer for ""Sauce It Up"".",3:27,N/A,"Oct 10, 2017",Visualizer,Full,Officially Released,https://www.youtube.com/watch?v=bncb3dm8K7g
