Year,YearTotal,Era,Name,Content,Price,Start,End,Type,Status,Link
2025,,Pink Tape [V3],"Hand Crushed By A Mallet (Remix)
(with 100 gecs) (prod. Laura Les & Dylan Brady)
(hand crushed by a mallet (Remix))","- Main Song (Blind) -
Hand Crushed By A Mallet (Remix) (2023)

Announced by Cold, almost garunteed to be ""Hand Crushed By A Mallet (Remix)""","$2,000","Aug 28, 2025","Aug 30, 2025",Blind,Completed,N/A
2025,,ALL WHITE,"WondaGurl - FORGET [V1]
(feat. Lil Uzi Vert) (prod. WondaGurl & Dilip)
(FORGET (Pt. 2), Forget)","- Main Song (Blind) -
WondaGurl - FORGET (with Lil Uzi Vert) (2025)

- Bonuses -
Black Sheep (OG File)

Ran by Bueberries, song is said to be 2023+ but turned out to be 2025.","$2,000","Aug 25, 2025","Aug 26, 2025",Blind,Completed,N/A
2025,,Pink Tape [V3],"🥉 666
(prod. Akachi)","- Main Song (Blind) -
666 (2023)

Ran by Nimbad, song is a blind 2023 and is one of the following: Disposable, 666, Riches or Rogaine. 666 was the song and it forceleaked alongside a ton of others.","$2,000","Aug 24, 2025",-,Blind,Force Leaked,N/A
2025,,Pink Tape [V3],"🏆 Black Sheep
(prod. Benjamin Thomas, Marc Platt, Edgar Wright & Nigel Godrich)
(Black Sheep (Cover), Black Sheep (Remix))","- Main Song -
Black Sheep (2023)

Asked to be finished tonight (8/23/2023), for any of these songs: 'Disposable', 'Scrape The Ground', 'Riches', 'Black Sheep', 'Practice (Spikes On My Body)', or 'Noose'.","$2,000","Aug 23, 2025","Aug 24, 2025",Blind,Completed,N/A
2025,,Delta Pink Tape [V1],"Count
(prod. Brandon Finessin)","- Main Song -
Count (2021)

- Bonuses -
Ballistic (2021)

Another buy that was ran by Bueberries. This one was 2020+ and had a bonus alongside it.","$1,300","Aug 23, 2025","Aug 23, 2025",Blind,Completed,N/A
2025,,Pink Tape [V3],"🥉 Yo Voy
(prod. Ike Beatz & Don Cannon)
(Vo Voy, Yo Voy (Remix))","- Main Song -
Yo Voy (2022)

A buy ran by Bueberries, was hinted at being Yo Voy before even starting.","$1,125","Aug 21, 2025","Aug 23, 2025",Blind,Completed,N/A
2025,,Forever Young,"🥉 Cool
(prod. Astrid, LRBG & Brandon Finessin)
(I'm So Cool, Revenge)","- Main Song -
Cool

- Bonuses -
Roll

Another buy from cold, ""Roll"" will be added as a free bonus when it finishes.","$3,000","Aug 19, 2025","Aug 21, 2025",Normal,Completed,N/A
2025,,Pink Tape [V3],"Margiela Kicks
(prod. Akachi)","- Main Song -
Margiela Kicks

First song from cold, he had the price deducted by $500 a bit after starting.","$2,500","Aug 17, 2025","Aug 19, 2025",Normal,Completed,N/A
2025,,Lil Uzi Vert vs. The World 2 [V1],"More Pre 2020
(prod. ???)","- Main Song (Blind) -
???

Even more pre-2020 to buy. (was cancelled the next day since cold was going to step over running songs)","$2,500","Aug 16, 2025",-,Blind,Cancelled,N/A
2025,,Eternal Atake [V1],"10x
(prod. Oogie Mane, Brandon Finessin & Akachi)","- Main Song (Blind) -
10x (2018)

Yet another pre-2020 song buy.","$2,500","Aug 14, 2025","Aug 16, 2025",Blind,Completed,N/A
