"Era","Name","Notes","Quality","Creator","Image","Link(s)"
"Chloe Burbank Volume 1 [V2]","ears bleed [V2]
aka. beat 4 rent","The cover art for ""Ears Bleed"", a private track uploaded to Joji's SoundCloud account.
The woman in the photo is Mila Dago, who is infamously texted ""Drunk driving woo..."" just before a fatal car crash. The cover art was first seen in a photo on Joji's Instagram with him playing a private track titled ""beat 4 rent"" which was later titled ""Ears Bleed"".
This version has a square crop.","772x772","","","https://drive.google.com/file/d/1PnD68APr5q3Eo2Vvw-ucFNDET_-qT3QZ/view"
"Chloe Burbank Volume 1 [V2]","ears bleed [V3]
aka. beat 4 rent","The cover art for ""Ears Bleed"", a private track uploaded to Joji's SoundCloud account.
The woman in the photo is Mila Dago, who is infamously texted ""Drunk driving woo..."" just before a fatal car crash. The cover art was first seen in a photo on Joji's Instagram with him playing a private track titled ""beat 4 rent"" which was later titled ""Ears Bleed"".
This version has a square crop.","772x772","","","https://drive.google.com/file/d/1fPPhBLhOKI1Glgl2r0MydWHl8I2jL4Jb/view"
"Chloe Burbank Volume 1 [V2]","ears bleed [V4]
aka. beat 4 rent","Cover art for ""Ears Bleed"", a private track uploaded to Joji's SoundCloud account.
The woman in the photo is Mila Dago, who is infamously texted ""Drunk driving woo..."" just before a fatal car crash. The cover art was first seen in a photo on Joji's Instagram with him playing a private track titled ""beat 4 rent"" which was later titled ""Ears Bleed"".
Dated January 12th, 2016.","772x996","","","https://drive.google.com/file/d/1PpUDieUV296X_tzYItk9yhRF3WzzD2N0/view"
"Chloe Burbank Volume 1 [V2]","foie
aka. foie <bump>","Cover Art for ""foie"" on Joji's SoundCloud account.","344x344","","","https://drive.google.com/file/d/1wJHU0ycHmFzBKVDJTZgBSVAd2mZcYjaR/view?usp=drive_link"
"Chloe Burbank Volume 1 [V2]","i dont wanna waste my time
aka. I Don't Wanna Waste My Time, IDWWMT","Cover Art for ""i don't wanna waste my time"" on Joji's SoundCloud account.","2100x2100","","","https://drive.google.com/file/d/1Y-vP97xYTLjqXm4pYkc5zt1ZnWJpRLD7/view?usp=drive_link"
"Chloe Burbank Volume 1 [V2]","im weird
aka. int","Cover Art for ""im weird"", a private track uploaded to Joji's SoundCloud account.
The person in the photo is JHB, and was originally posted to their Twitter in 2016.
","400x400","George Miller","","Link"
"Chloe Burbank Volume 1 [V2]","im weird 2
aka. int, Ai ai cpn","Cover Art for ""im weird 2"", a private track uploaded to Joji's SoundCloud account.
The person in the photo is JHB, and was originally posted to their Twitter in 2016.
There are no differences between the two besides a very slightly different crop.","399x399","George Miller","","Link"
"Chloe Burbank Volume 1 [V2]","im weird [Original Photo]","The original photo of JHB at a bowling alley that Joji used as a cover for ""im weird"".
A big thank you to JHB for sharing the original photo with us in this post here.","1080x1445","JHB","","/jojigold/art/im-weird-original-photo.png"
"Chloe Burbank Volume 1 [V2]","misjoji
aka. Wonderwall","Cover Art used in MISOGI's upload of ""Wonderwall / misjoji"".","720x720","","","https://drive.google.com/file/d/1m4R5-lTyFHk0bxcUxMUead_pXcKqL0tC/view"
"Chloe Burbank Volume 1 [V2]","old yeller
aka. old yeller <bump>","Cover Art for ""old yeller"" on Joji's SoundCloud account, which is now privated.
It's a screencap of the Walt Disney movie appropiately named ""Old Yeller"".","900x900","Disney","","https://drive.google.com/file/d/1gSXFXCRPnlO4qmrKK6IV-w48JF4910_C/view"
