Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
Atavista [V1],"What's This Life [V1]
(ref. NOVA WAV)
(All My Life)","OG Filename: WHATS THIS LIFE_NOVA_DONALDGLOVER_06-21-19
OG Filename (Metadata): NOVA_ALLMyLIFE_DONALDGLOVER
Song recorded for Beyonce's Lion King soundtrack album. Leaked along with many other demos for that album. Has some vocals from Donald on the outro and reuses choir from ""All Night"".",4:16,"Jun 21, 2019","Jun 17, 2024",OG File,CD Quality,https://pillows.su/f/2bf35f15811e2b00200aaaa5a2fd95e2
Atavista [V1],"⭐ What's This Life [V2]
(feat. Savannah Ré)","OG Filename: Whats This Life_Savannah_Verse 2 and Hook_6.24.19_
Song recorded for Beyonce's Lion King soundtrack album. Leaked along with many other demos for that album. Has new full first verse done by Donald and second verse from Savannah, then missing the final Donald outro and has different piano for outro.",4:21,"Jun 24, 2019","Jun 17, 2024",OG File,Loseless,https://pillows.su/f/00b5a388ea9a4542d5152aeacb9fdca3
Atavista [V1],"⭐ What's This Life [V3]
(feat. Mustafa The Poet)","OG Filename: What's This Life_Mustafa 2nd Verse_6.25.19
Song recorded for Beyonce's Lion King soundtrack album. Leaked along with many other demos for that album. Mustafa does the second verse on this version, and has both Donald Verses.",4:11,"Jun 25, 2019","Jun 17, 2024",OG File,CD Quality,https://pillows.su/f/765f8a0e4a37ee7505b00529d4a7e392
ROYALTY,Make It Go Right,"OG Filename: Childish Gambino Make It Go Right (ft Kilo Kish) 
main mix 320615 DMP.hi
An OG File for Make It Go Right Mixing.",4:24,,"Jun 12, 2024",OG File,CD Quality,https://pillows.su/f/2ea16093895450720ada48bb7be8cf76
Atavista [V1],"Warlords [V2]
(feat. Kid Cudi)",Version of Warlords played on episode 2 of GILGA Radio that features less production than the August version.,4:56,,"Apr 22, 2024",Full,CD Quality,https://pillows.su/f/de08285b0620ecd8d95aed38cd041416
Atavista [V2],"Time [V11]
(feat. Ariana Grande)",Very short snippet of a version of 3.15.20 time without the transition on intro played at the end of Episode 2 of Gilga Radio.,,,"Apr 22, 2024",Snippet,Recording,https://pillows.su/f/8a93123b74a8b6a195c6b4d61fe66769
Bando Stone and The New World,"A Place Where Love Goes [V2]
(prod. Ludwig Görranson)",Snippet of the same song heard during a radio ad skit advertising the release of the 'The New World Tour' during GILGA Radio Episode 2. Contains more crowd cheering and no scene vocals.,,,"Apr 22, 2024",Snippet,High Quality,https://pillows.su/f/ce8ff1467012e488d06f1ed29d22922c
Bando Stone and The New World,"⭐ Say Less / Timeless
(feat. ""Kanye West"") (prod. Jay Versace)",New song played during Season 1 Episode 2 of GILGA Radio. Features AI Kanye West vocals.,4:42,,"Apr 22, 2024",Full,CD Quality,https://pillows.su/f/821a5f16384d951eef2d1086f5423543
Atavista [V2],"Little Foot Big Foot [V5]
(feat. Young Nudy) (prod. Donald Glover, James Francies, Ely Rise, Sam Sugarman & DJ Dahi)
(Little Big Foot, Move This Way, 35.31)","Played by Donald on Episode 1 of GILGA Radio on April 15th, 2024. Features re-recorded vocals and a Young Nudy verse with new drums and updated production. Young Nudy verse is timed incorrectly, and the song features more production than the release version.",3:47,,"Apr 15, 2024",Full,CD Quality,https://pillows.su/f/c2e70be4b7a4a2a50b6cbef5090908c2
Atavista [V2],"Human Sacrifice [V12]
(39.28, Human Sacrifice, Human Dillemma, Why Go To The Party)","Played by Donald on Episode 1 of GILGA Radio on April 15th, 2024.",5:43,,"Apr 15, 2024",Full,CD Quality,https://pillows.su/f/715e26498a1117dc572eba288a1f7e2a
