Era,Name,Notes,Image / Length,Date Made,"Leak
Date",Type,Available Length,Quality,Link(s)
Atavista [V1],"Shock [Coachella Live Version - Week 1]
(feat. Brent Jones and The Best Life Singers) (prod. DJ Dahi & Ludwig Göransson)
(32.22)","Debuted during Donald's Coachella 2019 set on April 12th, 2019. Full HQ leaked with extremely loud volume on March 16th, 2023 after being included as a bonus for the Algorhythm + Die With You + Time groupbuy.",3:14,,"Mar 16, 2023",Live Performance,Full,High Quality,https://pillows.su/f/e378fab700265fe79b6d1378fb39abe2
Atavista [V1],"Shock [Coachella Live Version - Week 2]
(feat. Brent Jones and The Best Life Singers) (prod. DJ Dahi & Ludwig Göransson)
(32.22)","Played during Donald's Coachella 2019 set on April 19th, 2019. Full CDQ leaked on March 16th, 2023 after being included as a bonus for the Algorhythm + Die With You + Time groupbuy.",4:33,,"Mar 16, 2023",Live Performance,Full,CD Quality,https://pillows.su/f/2b004b97750670fd467e7cce3399fd58
Atavista [V1],"This Is America [SNL Version]
(prod. Donald Glover & Ludwig Göransson)
(Capitalism)","Version of This Is America performed live on SNL on May 5th, 2018.",3:46,,"May 5, 2018",Live Performance,Full,CD Quality,https://pillows.su/f/f3f5ebfcc4b94ff4f885a429b6853719
Atavista [V1],⭐ Coachella 2019 Week 1 & 2,"Official Coachella video feed of both his April 12th and April 19th, 2019 performances. ",,,"Mar 21, 2023",Live Performance,Full,High Quality,"Week 1
Week 2"
,"3.15.20
(Atavista)",,,,,,,,
3.15.20,,,,,,,,,
,"Atavista [V2]
(3.15.20)",,,,,,,,
Atavista [V2],"Little Foot Big Foot [Music Video]
(dir. Hiro Murai)",Mentioned by Donald on GILGA Radio that a music video for 'Little Foot Big Foot' was shot by Hiro Murai.,,,,Music Video,Confirmed,Not Available,
Atavista [V2],To Be Hunted [Music Video],"Teased by Donald on the 'childishgambino' Instagram on April 18th, 2024.",,,,Music Video,Confirmed,Not Available,
Atavista [V2],??? [Music Video],Teased by Donald on the 'childishgambino' Instagram page with sketch outlines of himself and an unknown female figure. Unknown for which song on the album this video is for but it is most likely for 'Psilocybae (Millenial Love)' considering the lyrical content of the song.,,,,Music Video,Confirmed,Not Available,
,Bando Stone In The New World,"(03/22/2020) (3.15.20 is released)
(05/13/2024) (Atavista is released)
(07/19/2024) (Bando Stone and The New World is released)",,,,,,,
,Sessions,,,,,,,,
